104:79,S,'42',77@1:42_cluster_WAC00631|62e2e5|0-452|5412|WAC00631_2058_0083,103
103:79,S,'42',77@1;77,S,76,73@1:9,102
102:77,S,76,73@1;73,S,71,'47'@1:48,101
101:73,S,71,'47'@1;'47',TTD,-1,'47'@0.0083:71_cluster_Kistamicin|db8e74|0-428|9768|Kistamicin_3717_0084,100
100:'47',TTD,-1,'47'@0.0083;'47',TTD,-1,'47'@0.0083:52,99
99:'47',TTD,-1,'47'@0.0083;'47',TTD,-1,'47'@0.0083:48_cluster_WAC1424cluster109|10729e|0-417|6291|WAC1424cluster109_2467_0084,98
98:'47',TTD,-1,'47'@0.0083;'47',T,'47',36@0.0015:56,97
97:'47',T,'47',36@0.0015;36,T,39,36@0.0015:59,96
96:36,T,39,36@0.0015;36,S,32,35@0.0085:68,95
95:36,S,32,35@0.0085;35,T,35,21@0.093:71,94
94:35,T,35,21@0.093;21,T,29,21@0.11:86,93
93:21,T,29,21@0.11;21,S,'04',19@1:04_cluster_AazureaDSM43854|3ecc07|0-433|400|AazureaDSM43854_177_0084,92
92:21,S,'04',19@1;19,S,'52','08'@1:52_cluster_WAC4182cluster089|d411f6|0-428|6948|WAC4182cluster089_2725_0084,91
91:19,S,'52','08'@1;'08',T,'08','55'@0.5:08_cluster_AlurRistocetin|55ec21|0-434|976|AlurRistocetin_414_0084,55_cluster_WAC05977|d750d3|0-434|7375|WAC05977_2919_0084
86:21,T,29,21@0.11;29,T,29,12@0.093:76,85
85:29,T,29,12@0.093;12,S,11,6@0.35:07_cluster_AkerFH1893nogabecin|0f5999|0-434|832|AkerFH1893nogabecin_353_0084,84
84:12,S,11,6@0.35;6,S,'06',4@1:06_cluster_Ajap-Ristocetin|6cbbf6|0-453|702|Ajap-Ristocetin_303_0084,83
83:6,S,'06',4@1;4,S,'53',2@1:53_cluster_WAC4197cluster073|05cfa7|0-417|7107|WAC4197cluster073_2804_0084,82
82:4,S,'53',2@1;2,S,'25','27'@1:25_cluster_JPLW01000007|0b8a0d|0-440|3232|JPLW01000007_1298_0084,27_cluster_KF882511-Ristocetin|e2666e|0-428|3526|KF882511-Ristocetin_1432_0084
07_cluster_AkerFH1893nogabecin|0f5999|0-434|832|AkerFH1893nogabecin_353_0084:12,S,11,6@0.35;11,SL,9,'07'@0.35
76:29,T,29,12@0.093;29,S,'45',27@1:45_cluster_WAC1376cluster143|da21fd|0-417|5830|WAC1376cluster143_2246_0084,75
75:29,S,'45',27@1;27,S,'44','46'@1:44_cluster_WAC1375|c9adad|0-457|5653|WAC1375_2143_0084,46_cluster_WAC1416cluster068|d8da6f|0-417|5987|WAC1416cluster068_2320_0084
71:35,T,35,21@0.093;35,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|558828|0-428|545|AbalhimycinaFH1894_244_0084,14_cluster_Balhimycin|bef541|0-434|1807|Balhimycin_722_0084
68:36,S,32,35@0.0085;32,S,30,'11'@0.0026:03_cluster_AalbaDSM44262|6a720c|0-434|253|AalbaDSM44262_108_0084,67
67:32,S,30,'11'@0.0026;'11',T,'11',9@0.084:11_cluster_AregGY080|35c473|0-428|1402|AregGY080_615_0084,66
66:'11',T,'11',9@0.084;9,T,'09',9@0.18:09_cluster_AOHO0100074|d78f18|0-434|1114|AOHO0100074_475_0084,65
65:9,T,'09',9@0.18;9,S,'40','51'@1:40_cluster_Vancomycin|8338cd|0-440|5169|Vancomycin_1968_0084,51_cluster_WAC4169cluster051|3f7501|0-428|6773|WAC4169cluster051_2626_0084
03_cluster_AalbaDSM44262|6a720c|0-434|253|AalbaDSM44262_108_0084:32,S,30,'11'@0.0026;30,SL,29,24@0.0013;24,SL,22,'03'@0.0043
59:36,T,39,36@0.0015;39,S,'18','26'@1:18_cluster_Chloroeremomycin-2|e4a199|0-438|2438|Chloroeremomycin-1_976_0084,26_cluster_KaridNRRLB16535chlor|e4a199|0-438|3383|KaridNRRLB16535chlor_1369_0084
56:'47',T,'47',36@0.0015;'47',T,'29','47'@0.5:29_cluster_pekiskomycin|18217d|0-417|3786|pekiskomycin_1540_0084,47_cluster_WAC1420|c4528d|0-402|6179|WAC1420_2429_0084
48_cluster_WAC1424cluster109|10729e|0-417|6291|WAC1424cluster109_2467_0084:'47',TTD,-1,'47'@0.0083;-1,TLFD,-1,'48'@0.5
52:'47',TTD,-1,'47'@0.0083;-1,DD,-1,-1@0.084:01_cluster_A40926|fdb376|0-419|1|A40926_1_0084,28_cluster_NcoxDSM45129|6dcb35|0-428|3651|NcoxDSM45129_1477_0084
28_cluster_NcoxDSM45129|6dcb35|0-428|3651|NcoxDSM45129_1477_0084:-1,DD,-1,-1@0.084;-1,TLFD,-1,'28'@0.33
01_cluster_A40926|fdb376|0-419|1|A40926_1_0084:-1,DD,-1,-1@0.084;-1,TLFD,-1,'01'@0.34
71_cluster_Kistamicin|db8e74|0-428|9768|Kistamicin_3717_0084:'47',TTD,-1,'47'@0.0083;-1,TLFD,-1,'71'@0.58
48:73,S,71,'47'@1;71,T,'69',71@0.5:69_cluster_MchersinaDSM44151|1a423a|0-441|9404|MchersinaDSM44151_3584_0071,47
47:71,T,'69',71@0.5;71,T,'67',71@0.5:67_cluster_STLI053.cluster001|fb9bc7|0-815|9016|STLI053_3485_0069,46
46:71,T,'67',71@0.5;71,TTD,-1,71@1:49_cluster_WAC1438rc4d|308c1a|0-429|6408|WAC1438rc4d_2516_0071,45
45:71,TTD,-1,71@1;71,T,'68',71@0.5:68_cluster_HdaliensisNBRC106472.cluster001|ac3209|0-794|9198|HdaliensisNBRC106472_3530_0070,44
44:71,T,'68',71@0.5;71,TTD,-1,71@1:70_cluster_TLI55.cluster001|ae9c98|0-412|9627|TLI55_3670_0071,43
43:71,TTD,-1,71@1;71,T,71,'10'@0.039:23,42
42:71,T,71,'10'@0.039;'10',T,90,'10'@0.039:36,41
41:'10',T,90,'10'@0.039;'10',T,'02','10'@0.089:02_cluster_A47934|82721f|0-471|125|A47934_53_0071,40
40:'10',T,'02','10'@0.089;'10',T,'10','39'@0.2:10_cluster_ArectNRRLB16090|bac4e3|0-410|1257|ArectNRRLB16090_545_0071,39_cluster_UK68597|f2f8e8|0-445|5065|UK68597_1939_0071
36:'10',T,90,'10'@0.039;90,S,89,86@1:26,35
35:90,S,89,86@1;86,T,'62',86@0.5:62_cluster_SspCNQ329.cluster001|5384fc|0-477|8262|SspCNQ329_3203_0071,34
34:86,T,'62',86@0.5;86,TTD,-1,86@1:66_cluster_SspCNY243.cluster001|30735a|0-464|8862|SspCNY243_3426_0071,33
33:86,TTD,-1,86@1;86,S,'63',84@1:63_cluster_SspCNQ525.cluster001|e5bb13|0-464|8411|SspCNQ525_3260_0071,32
32:86,S,'63',84@1;84,S,82,'65'@1:64_cluster_SspCNQ865.cluster001|97bcfd|0-464|8562|SspCNQ865_3316_0071,65_cluster_SspCNT371.cluster001|894036|0-464|8713|SspCNT371_3372_0071
64_cluster_SspCNQ865.cluster001|97bcfd|0-464|8562|SspCNQ865_3316_0071:84,S,82,'65'@1;82,SL,'66','64'@1
66_cluster_SspCNY243.cluster001|30735a|0-464|8862|SspCNY243_3426_0071:86,TTD,-1,86@1;-1,TLFD,-1,'66'@1
26:90,S,89,86@1;89,S,'33','58'@1:33_cluster_SspCNQ509|2a9de0|0-463|4315|SspCNQ509_1682_0071,58_cluster_WAC06738cluster004|5b1de4|0-464|7770|WAC06738cluster004_3012_0071
23:71,T,71,'10'@0.039;71,S,63,70@1:13_cluster_AspOK074cluster1|6b77ff|0-790|1670|AspOK074cluster1_675_0071,22
22:71,S,63,70@1;70,S,69,66@1:18,21
21:70,S,69,66@1;66,S,'35','50'@1:35_cluster_SspNRRLS1521-1|e4fe3e|0-715|4584|SspNRRLS1521-1_1748_0071,50_cluster_WAC01529|ab80fe|0-758|6613|WAC01529_2557_0071
18:70,S,69,66@1;69,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|b0342c|0-784|4036|SluteocolorNRBC13826_1600_0071,32_cluster_Ssilaceus-1|d5ea82|0-784|4177|Ssilaceus-1_1643_0071
13_cluster_AspOK074cluster1|6b77ff|0-790|1670|AspOK074cluster1_675_0071:71,S,63,70@1;63,SL,61,'13'@1
70_cluster_TLI55.cluster001|ae9c98|0-412|9627|TLI55_3670_0071:71,TTD,-1,71@1;-1,TLFD,-1,'70'@1
49_cluster_WAC1438rc4d|308c1a|0-429|6408|WAC1438rc4d_2516_0071:71,TTD,-1,71@1;-1,TLFD,-1,'49'@1
9:77,S,76,73@1;76,T,76,51@0.5:3,8
8:76,T,76,51@0.5;51,S,'43','54'@1:43_cluster_WAC01325|eedb5b|0-434|5526|WAC01325_2089_0083,7
7:51,S,'43','54'@1;'54',T,'54','61'@0.5:54_cluster_WAC05379-4|4a9181|0-443|7312|WAC05379-1_2862_0083,61_cluster_FNTE|379ba6|0-420|8133|FNTE_3147_0083
3:76,T,76,51@0.5;76,S,'57','59'@1:57_cluster_WAC06725|8b6c50|0-469|7668|WAC06725_2988_0083,59_cluster_WAC06783|52774e|0-469|7914|WAC06783_3069_0083
