66:36,TTD,-1,36@0.54:18,65
65:36,TTD,-1,36@0.54;36,S,35,32@0.88:21,64
64:36,S,35,32@0.88;32,TTD,-1,32@0.56:30,63
63:32,TTD,-1,32@0.56;32,S,'11',30@0.91:11_cluster_AregGY080_2bc834,62
62:32,S,'11',30@0.91;30,S,24,29@0.74:03_cluster_AalbaDSM44262_642248,61
61:30,S,24,29@0.74;29,T,'04',29@0.19:04_cluster_AazureaDSM43854_981daf,60
60:29,T,'04',29@0.19;29,TTD,-1,29@0.26:54,59
59:29,TTD,-1,29@0.26;29,S,'45',27@1:45_cluster_WAC1376cluster143_2ffb8d,58
58:29,S,'45',27@1;27,S,'44','46'@1:44_cluster_WAC1375_4bda5f,46_cluster_WAC1416cluster068_4bda5f
54:29,TTD,-1,29@0.26;-1,TFD,19,-1@0.056:38,53
53:-1,TFD,19,-1@0.056;-1,TFD,'09',-1@0.087:09_cluster_AOHO0100074_a4d400,52
52:-1,TFD,'09',-1@0.087;-1,DD,-1,-1@0.28:40_cluster_Vancomycin_0be6f9,51
51:-1,DD,-1,-1@0.28;-1,TFD,-1,6@0.057:51_cluster_WAC4169cluster051_ab3181,50
50:-1,TFD,-1,6@0.057;6,TTD,-1,6@0.39:07_cluster_AkerFH1893nogabecin_c2598b,49
49:6,TTD,-1,6@0.39;6,S,'06',4@1:06_cluster_Ajap-Ristocetin_6bcdc5,48
48:6,S,'06',4@1;4,S,'53',2@1:53_cluster_WAC4197cluster073_6bcdc5,47
47:4,S,'53',2@1;2,S,'25','27'@1:25_cluster_JPLW01000007_6bcdc5,27_cluster_KF882511-Ristocetin_6bcdc5
07_cluster_AkerFH1893nogabecin_c2598b:6,TTD,-1,6@0.39;-1,TLFD,-1,'07'@0.5
51_cluster_WAC4169cluster051_ab3181:-1,TFD,-1,6@0.057;-1,TLFD,-1,'51'@0.99
40_cluster_Vancomycin_0be6f9:-1,DD,-1,-1@0.28;-1,TLFD,-1,'40'@0.99
38:-1,TFD,19,-1@0.056;19,S,'52','08'@0.98:52_cluster_WAC4182cluster089_e6ad62,37
37:19,S,'52','08'@0.98;'08',T,'08','55'@0.49:08_cluster_AlurRistocetin_017af1,55_cluster_WAC05977_580ddd
03_cluster_AalbaDSM44262_642248:30,S,24,29@0.74;24,SL,22,'03'@0.74
30:32,TTD,-1,32@0.56;-1,TFD,-1,39@0.08:26,29
29:-1,TFD,-1,39@0.08;39,S,'18','26'@1:18_cluster_Chloroeremomycin-2_a2398f,26_cluster_KaridNRRLB16535chlor_a2398f
26:-1,TFD,-1,39@0.08;-1,TLFD,-1,102@0.38;102,S,'48',100@1:48_cluster_WAC1424cluster109_a19904,25
25:102,S,'48',100@1;100,S,98,'28'@1:01_cluster_A40926_b6eae6,28_cluster_NcoxDSM45129_63b57d
01_cluster_A40926_b6eae6:100,S,98,'28'@1;98,SL,'71','01'@1
21:36,S,35,32@0.88;35,S,'05','14'@1:05_cluster_AbalhimycinaFH1894_699c7a,14_cluster_Balhimycin_7dfdd2
18:36,TTD,-1,36@0.54;-1,TFD,-1,47@0.062:71_cluster_Kistamicin_3fb9d1,17
17:-1,TFD,-1,47@0.062;47,TTD,-1,47@0.55:02_cluster_A47934_3086cc,16
16:47,TTD,-1,47@0.55;47,TTD,-1,47@0.55:10,15
15:47,TTD,-1,47@0.55;47,S,'69',45@1:69_cluster_MchersinaDSM44151_41d89a,14
14:47,S,'69',45@1;45,S,'10',43@1:10_cluster_ArectNRRLB16090_8ed110,39_cluster_UK68597_acbdd0
39_cluster_UK68597_acbdd0:45,S,'10',43@1;43,SL,'60','39'@1
10:47,TTD,-1,47@0.55;-1,TFD,-1,107@0.047:4,9
9:-1,TFD,-1,107@0.047;107,T,'70',107@0.25:70_cluster_TLI55cluster001_5aeb44,8
8:107,T,'70',107@0.25;107,S,'12','56'@1:12_cluster_ArifDSM43936-1_386bcb,56_cluster_WAC06369_386bcb
4:-1,TFD,-1,107@0.047;-1,TFD,'67',-1@0.065:67_cluster_STLI053cluster001_5a4508,68_cluster_HdaliensisNBRC106472cluster001_033151
68_cluster_HdaliensisNBRC106472cluster001_033151:-1,TFD,'67',-1@0.065;-1,TLFD,-1,'68'@0.36
02_cluster_A47934_3086cc:47,TTD,-1,47@0.55;-1,TLFD,-1,'02'@1
71_cluster_Kistamicin_3fb9d1:-1,TFD,-1,47@0.062;-1,TLFD,-1,'71'@1
