44:40,S,39,36@1:2,43
43:40,S,39,36@1;36,T,'47',36@0.75:5,42
42:36,T,'47',36@0.75;36,S,35,32@1:8,41
41:36,S,35,32@1;32,S,'11',30@1:11_cluster_AregGY080|2cb649|0-582|1404|AregGY080_617_0076,40
40:32,S,'11',30@1;30,S,24,29@0.75:16,39
39:30,S,24,29@0.75;29,T,'04',29@0.75:04_cluster_AazureaDSM43854|c18f09|0-577|402|AazureaDSM43854_179_0076,38
38:29,T,'04',29@0.75;29,T,29,19@0.38:22,37
37:29,T,29,19@0.38;19,T,19,6@0.62:27,36
36:19,T,19,6@0.62;6,S,'06',4@1:06_cluster_Ajap-Ristocetin|7ee856|0-577|704|Ajap-Ristocetin_305_0076,35
35:6,S,'06',4@1;4,S,'53',2@1:53_cluster_WAC4197cluster073|e8faea|0-577|7109|WAC4197cluster073_2806_0076,34
34:4,S,'53',2@1;2,T,'07',2@1:07_cluster_AkerFH1893nogabecin|18a5b1|0-577|834|AkerFH1893nogabecin_355_0076,33
33:2,T,'07',2@1;2,S,'25','27'@1:25_cluster_JPLW01000007|940109|0-577|3234|JPLW01000007_1300_0076,27_cluster_KF882511-Ristocetin|940109|0-577|3528|KF882511-Ristocetin_1434_0076
27:19,T,19,6@0.62;19,S,'08','52'@1:08_cluster_AlurRistocetin|65b375|0-578|974|AlurRistocetin_412_0076,26
26:19,S,'08','52'@1;'52',T,'52','55'@1:52_cluster_WAC4182cluster089|e3fee6|0-578|6946|WAC4182cluster089_2723_0076,55_cluster_WAC05977|c4b3f2|0-578|7377|WAC05977_2921_0076
22:29,T,29,19@0.38;29,S,'45',27@1:45_cluster_WAC1376cluster143|1bbe84|0-577|5828|WAC1376cluster143_2244_0076,21
21:29,S,'45',27@1;27,S,'44','46'@1:44_cluster_WAC1375|b562cb|0-577|5655|WAC1375_2145_0076,46_cluster_WAC1416cluster068|b562cb|0-577|5989|WAC1416cluster068_2322_0076
16:30,S,24,29@0.75;24,S,'03',22@0.75:03_cluster_AalbaDSM44262|7607f9|0-578|255|AalbaDSM44262_110_0076,15
15:24,S,'03',22@0.75;22,SL,21,16@0.75;16,S,'09',14@0.5:09_cluster_AOHO0100074|57e1c8|0-578|1116|AOHO0100074_477_0076,14
14:16,S,'09',14@0.5;14,SL,'55',12@0.5;12,SL,6,11@0.5;11,SL,'07',9@0.5;9,S,'40','51'@1:40_cluster_Vancomycin|ab753b|0-578|5171|Vancomycin_1970_0076,51_cluster_WAC4169cluster051|c5c3a2|0-578|6771|WAC4169cluster051_2624_0076
8:36,S,35,32@1;35,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|817ced|0-581|547|AbalhimycinaFH1894_246_0076,14_cluster_Balhimycin|5f6fbb|0-581|1809|Balhimycin_724_0076
5:36,T,'47',36@0.75;'47',T,'29','47'@0.75:29_cluster_pekiskomycin|3476da|0-578|3789|pekiskomycin_1543_0076,47_cluster_WAC1420|96e4b7|0-578|6182|WAC1420_2432_0076
2:40,S,39,36@1;39,S,'18','26'@1:18_cluster_Chloroeremomycin-2|c050b8|0-580|2440|Chloroeremomycin-1_978_0076,26_cluster_KaridNRRLB16535chlor|c050b8|0-580|3385|KaridNRRLB16535chlor_1371_0076
