102:79,S,'42',77@1:6,101
101:79,S,'42',77@1;77,S,76,73@1:9,100
100:77,S,76,73@1;73,TTD,-1,73@0.84:22,99
99:73,TTD,-1,73@0.84;73,S,71,'47'@1:49,98
98:73,S,71,'47'@1;'47',TTD,-1,'47'@1:71_cluster_Kistamicin|62eeb1|0-382|9776|Kistamicin_3725_0355,97
97:'47',TTD,-1,'47'@1;'47',TTD,-1,'47'@1:48_cluster_WAC1424cluster109|d8351a|0-361|6289|WAC1424cluster109_2465_0380,96
96:'47',TTD,-1,'47'@1;'47',T,'47',36@0.5:58,95
95:'47',T,'47',36@0.5;36,S,35,32@1:61,94
94:36,S,35,32@1;32,S,'11',30@1:70,93
93:32,S,'11',30@1;30,S,29,26@1:04_cluster_AazureaDSM43854|2c3736|0-358|405|AazureaDSM43854_182_0380,92
92:30,S,29,26@1;26,S,25,20@1:86,91
91:26,S,25,20@1;20,S,16,19@1:55_cluster_WAC05977|a2535d|0-356|7380|WAC05977_2924_0380,90
90:20,S,16,19@1;19,S,'08','52'@1:08_cluster_AlurRistocetin|7ff305|0-356|971|AlurRistocetin_409_0380,52_cluster_WAC4182cluster089|bcf4f3|0-356|6943|WAC4182cluster089_2720_0380
55_cluster_WAC05977|a2535d|0-356|7380|WAC05977_2924_0380:20,S,16,19@1;16,SL,14,'55'@1
86:26,S,25,20@1;25,TTD,25,-1@0.5:76,85
85:25,TTD,25,-1@0.5;-1,TFD,-1,6@0.17:07_cluster_AkerFH1893nogabecin|b4b565|0-358|837|AkerFH1893nogabecin_358_0380,84
84:-1,TFD,-1,6@0.17;6,S,'06',4@1:06_cluster_Ajap-Ristocetin|d12802|0-356|707|Ajap-Ristocetin_308_0380,83
83:6,S,'06',4@1;4,S,'53',2@1:53_cluster_WAC4197cluster073|e9725f|0-356|7112|WAC4197cluster073_2809_0380,82
82:4,S,'53',2@1;2,S,'25','27'@1:25_cluster_JPLW01000007|514704|0-357|3237|JPLW01000007_1303_0380,27_cluster_KF882511-Ristocetin|514704|0-357|3531|KF882511-Ristocetin_1437_0380
07_cluster_AkerFH1893nogabecin|b4b565|0-358|837|AkerFH1893nogabecin_358_0380:-1,TFD,-1,6@0.17;-1,TLFD,-1,'07'@0.67
76:25,TTD,25,-1@0.5;25,S,'45',23@1:45_cluster_WAC1376cluster143|43b136|0-358|5825|WAC1376cluster143_2241_0380,75
75:25,S,'45',23@1;23,S,'44','46'@1:44_cluster_WAC1375|f0456f|0-358|5658|WAC1375_2148_0380,46_cluster_WAC1416cluster068|f0456f|0-358|5992|WAC1416cluster068_2325_0380
04_cluster_AazureaDSM43854|2c3736|0-358|405|AazureaDSM43854_182_0380:30,S,29,26@1;29,SL,'03','04'@1
70:32,S,'11',30@1;'11',TTD,'11',-1@0.66:11_cluster_AregGY080|f67b16|0-359|1407|AregGY080_620_0380,69
69:'11',TTD,'11',-1@0.66;-1,TFD,'03',-1@0.12:03_cluster_AalbaDSM44262|5741eb|0-359|258|AalbaDSM44262_113_0380,68
68:-1,TFD,'03',-1@0.12;-1,TFD,'09',-1@0.071:09_cluster_AOHO0100074|305c0e|0-359|1119|AOHO0100074_480_0380,67
67:-1,TFD,'09',-1@0.071;-1,TLFD,-1,9@0.34;9,S,'40','51'@1:40_cluster_Vancomycin|c9eb35|0-359|5174|Vancomycin_1973_0380,51_cluster_WAC4169cluster051|1d13e1|0-359|6768|WAC4169cluster051_2621_0380
61:36,S,35,32@1;35,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|02f6e2|0-358|550|AbalhimycinaFH1894_249_0380,14_cluster_Balhimycin|02f6e2|0-358|1812|Balhimycin_727_0380
58:'47',T,'47',36@0.5;'47',T,'47',39@0.5:54,57
57:'47',T,'47',39@0.5;39,S,'18','26'@1:18_cluster_Chloroeremomycin-2|46d2ea|0-357|2443|Chloroeremomycin-1_981_0380,26_cluster_KaridNRRLB16535chlor|46d2ea|0-357|3388|KaridNRRLB16535chlor_1374_0380
54:'47',T,'47',39@0.5;'47',T,'29','47'@0.5:29_cluster_pekiskomycin|00b626|0-358|3792|pekiskomycin_1546_0380,47_cluster_WAC1420|d763f2|0-358|6185|WAC1420_2435_0380
48_cluster_WAC1424cluster109|d8351a|0-361|6289|WAC1424cluster109_2465_0380:'47',TTD,-1,'47'@1;-1,TLFD,-1,'48'@1
71_cluster_Kistamicin|62eeb1|0-382|9776|Kistamicin_3725_0355:'47',TTD,-1,'47'@1;-1,TLFD,-1,'71'@1
49:73,S,71,'47'@1;71,TTD,-1,71@0.96:35,48
48:71,TTD,-1,71@0.96;71,TTD,71,-1@1:44,47
47:71,TTD,71,-1@1;-1,TFD,'02',-1@0.14:02_cluster_A47934|c2349a|0-366|122|A47934_50_0304,39_cluster_UK68597|d032d8|0-381|5062|UK68597_1936_0345
39_cluster_UK68597|d032d8|0-381|5062|UK68597_1936_0345:-1,TFD,'02',-1@0.14;-1,TLFD,-1,'39'@0.43
44:71,TTD,71,-1@1;71,S,63,70@1:13_cluster_AspOK074cluster1|085d22|0-354|1667|AspOK074cluster1_672_0304,43
43:71,S,63,70@1;70,S,66,69@1:39,42
42:70,S,66,69@1;69,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|4dcb3c|0-394|4033|SluteocolorNRBC13826_1597_0304,32_cluster_Ssilaceus-1|9bf4cf|0-403|4173|Ssilaceus-1_1639_0304
39:70,S,66,69@1;66,S,'50','35'@1:50_cluster_WAC01529|fcc246|0-392|6610|WAC01529_2554_0304,35_cluster_SspNRRLS1521-1|47d661|0-385|4581|SspNRRLS1521-1_1745_0304
13_cluster_AspOK074cluster1|085d22|0-354|1667|AspOK074cluster1_672_0304:71,S,63,70@1;63,SL,61,'13'@1
35:71,TTD,-1,71@0.96;-1,TFD,89,-1@0.14:25,34
34:-1,TFD,89,-1@0.14;-1,TFD,'62',-1@0.06:62_cluster_SspCNQ329.cluster001|533864|0-377|8259|SspCNQ329_3200_0304,33
33:-1,TFD,'62',-1@0.06;-1,TLFD,-1,84@0.3;84,S,'65',82@0.94:65_cluster_SspCNT371.cluster001|52581b|0-377|8710|SspCNT371_3369_0304,32
32:84,S,'65',82@0.94;82,T,'63',82@0.47:63_cluster_SspCNQ525.cluster001|0bc133|0-377|8408|SspCNQ525_3257_0304,31
31:82,T,'63',82@0.47;82,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|442746|0-377|8559|SspCNQ865_3313_0304,66_cluster_SspCNY243.cluster001|c5895d|0-377|8859|SspCNY243_3423_0304
25:-1,TFD,89,-1@0.14;89,S,'33','58'@1:33_cluster_SspCNQ509|f7d4ec|0-377|4312|SspCNQ509_1679_0304,58_cluster_WAC06738cluster004|c7480e|0-257|7767|WAC06738cluster004_3009_0304
22:73,TTD,-1,73@0.84;-1,TFD,'01',-1@0.065:12,21
21:-1,TFD,'01',-1@0.065;-1,TFD,'10',-1@0.097:10_cluster_ArectNRRLB16090|cd7efc|0-365|1261|ArectNRRLB16090_549_0388,20
20:-1,TFD,'10',-1@0.097;-1,TFD,'69',-1@0.099:69_cluster_MchersinaDSM44151|09c9c1|0-352|9433|MchersinaDSM44151_3613_0432,19
19:-1,TFD,'69',-1@0.099;-1,TFD,-1,'67'@0.027:49_cluster_WAC1438rc4d|7fc6f0|0-363|6399|WAC1438rc4d_2507_0395,18
18:-1,TFD,-1,'67'@0.027;'67',T,'68','67'@0.2:68_cluster_HdaliensisNBRC106472.cluster001|ac3209|0-794|9198|HdaliensisNBRC106472_3530_0070,67_cluster_STLI053.cluster001|fb9bc7|0-815|9016|STLI053_3485_0069
49_cluster_WAC1438rc4d|7fc6f0|0-363|6399|WAC1438rc4d_2507_0395:-1,TFD,-1,'67'@0.027;-1,TLFD,-1,'49'@0.31
12:-1,TFD,'01',-1@0.065;'01',T,'01','28'@0.19:01_cluster_A40926|6e33c5|0-408|40|A40926_40_0286,28_cluster_NcoxDSM45129|0f2cde|0-382|3649|NcoxDSM45129_1475_0286
9:77,S,76,73@1;76,S,'57','59'@1:57_cluster_WAC06725|7c2ce4|0-383|7666|WAC06725_2986_0304,59_cluster_WAC06783|0400eb|0-383|7912|WAC06783_3067_0304
6:79,S,'42',77@1;'42',T,'42',51@0.5:42_cluster_WAC00631|c6c3ce|0-400|5410|WAC00631_2056_0304,5
5:'42',T,'42',51@0.5;51,S,'54','43'@1:54_cluster_WAC05379-4|26d4a2|0-372|7310|WAC05379-1_2860_0304,4
4:51,S,'54','43'@1;'43',T,'43','61'@0.5:43_cluster_WAC01325|a77a07|0-372|5524|WAC01325_2087_0304,61_cluster_FNTE|227a08|0-372|8131|FNTE_3145_0304
