66:51,S,'48',49@1:48_cluster_WAC1424cluster109_a19904,65
65:51,S,'48',49@1;49,S,'01','71'@1:3,64
64:49,S,'01','71'@1;'71',T,100,'71'@1:6,63
63:'71',T,100,'71'@1;'71',T,'71',84@0.5:29,62
62:'71',T,'71',84@0.5;84,T,'11',84@0.5:11_cluster_AregGY080_2bc834,61
61:84,T,'11',84@0.5;84,S,'03','04'@1:03_cluster_AalbaDSM44262_642248,60
60:84,S,'03','04'@1;'04',T,'04',90@0.5:04_cluster_AazureaDSM43854_981daf,59
59:'04',T,'04',90@0.5;90,T,76,90@0.25:53,58
58:90,T,76,90@0.25;90,S,'45',88@1:45_cluster_WAC1376cluster143_2ffb8d,57
57:90,S,'45',88@1;88,S,'44','46'@1:44_cluster_WAC1375_4bda5f,46_cluster_WAC1416cluster068_4bda5f
53:90,T,76,90@0.25;76,T,76,'09'@0.5:37,52
52:76,T,76,'09'@0.5;'09',T,'09',70@1:09_cluster_AOHO0100074_a4d400,51
51:'09',T,'09',70@1;70,S,'40','51'@1:40_cluster_Vancomycin_0be6f9,50
50:70,S,'40','51'@1;'51',T,'51','07'@0.5:51_cluster_WAC4169cluster051_ab3181,49
49:'51',T,'51','07'@0.5;'07',T,'07','53'@0.25:07_cluster_AkerFH1893nogabecin_c2598b,48
48:'07',T,'07','53'@0.25;'53',T,'53',63@0.25:53_cluster_WAC4197cluster073_6bcdc5,47
47:'53',T,'53',63@0.25;63,T,'06',63@0.5:06_cluster_Ajap-Ristocetin_6bcdc5,46
46:63,T,'06',63@0.5;63,S,'25','27'@1:25_cluster_JPLW01000007_6bcdc5,27_cluster_KF882511-Ristocetin_6bcdc5
37:76,T,76,'09'@0.5;76,S,'52','08'@1:52_cluster_WAC4182cluster089_e6ad62,36
36:76,S,'52','08'@1;'08',T,'08','55'@1:08_cluster_AlurRistocetin_017af1,55_cluster_WAC05977_580ddd
29:'71',T,'71',84@0.5;'71',T,'71',96@1:25,28
28:'71',T,'71',96@1;96,S,'05','14'@1:05_cluster_AbalhimycinaFH1894_699c7a,14_cluster_Balhimycin_7dfdd2
25:'71',T,'71',96@1;'71',T,'71','02'@0.5:71_cluster_Kistamicin_3fb9d1,24
24:'71',T,'71','02'@0.5;'02',T,'02','69'@0.12:02_cluster_A47934_3086cc,23
23:'02',T,'02','69'@0.12;'69',T,58,'69'@0.062:17,22
22:'69',T,58,'69'@0.062;'69',T,'69','10'@0.25:69_cluster_MchersinaDSM44151_41d89a,21
21:'69',T,'69','10'@0.25;'10',T,'10','39'@0.5:10_cluster_ArectNRRLB16090_8ed110,39_cluster_UK68597_acbdd0
17:'69',T,58,'69'@0.062;58,T,'67',58@0.12:11,16
16:58,T,'67',58@0.12;58,T,'70',58@0.5:70_cluster_TLI55cluster001_5aeb44,15
15:58,T,'70',58@0.5;58,S,'12','56'@1:12_cluster_ArifDSM43936-1_386bcb,56_cluster_WAC06369_386bcb
11:58,T,'67',58@0.12;'67',T,'67','68'@0.5:67_cluster_STLI053cluster001_5a4508,68_cluster_HdaliensisNBRC106472cluster001_033151
6:'71',T,100,'71'@1;100,S,'18','26'@1:18_cluster_Chloroeremomycin-2_a2398f,26_cluster_KaridNRRLB16535chlor_a2398f
3:49,S,'01','71'@1;'01',T,'01','28'@1:01_cluster_A40926_b6eae6,28_cluster_NcoxDSM45129_63b57d
