40:81,S,'09',79@1:16,39
39:81,S,'09',79@1;79,S,78,73@1:27,38
38:79,S,78,73@1;73,S,67,72@1:34,37
37:73,S,67,72@1;72,T,72,'04'@0.33:07_cluster_AkerFH1893nogabecin|bed456|0-205|842|AkerFH1893nogabecin_363_0765,04_cluster_AazureaDSM43854|367ff2|0-210|409|AazureaDSM43854_186_0765
07_cluster_AkerFH1893nogabecin|bed456|0-205|842|AkerFH1893nogabecin_363_0765:72,T,72,'04'@0.33;72,SL,70,'07'@0.33
34:73,S,67,72@1;67,S,'06',65@1:06_cluster_Ajap-Ristocetin|e982fe|0-205|711|Ajap-Ristocetin_312_0765,33
33:67,S,'06',65@1;65,S,'53',63@1:53_cluster_WAC4197cluster073|61a03a|0-205|7116|WAC4197cluster073_2813_0765,32
32:65,S,'53',63@1;63,S,'25','27'@1:25_cluster_JPLW01000007|61a03a|0-205|3241|JPLW01000007_1307_0765,27_cluster_KF882511-Ristocetin|61a03a|0-205|3535|KF882511-Ristocetin_1441_0765
27:79,S,78,73@1;78,S,76,'55'@1:19,26
26:78,S,76,'55'@1;'55',T,'55','39'@0.5:55_cluster_WAC05977|118a72|0-205|7384|WAC05977_2928_0765,25
25:'55',T,'55','39'@0.5;'39',T,'39','10'@0.25:39_cluster_UK68597|caaf3b|0-211|5041|UK68597_1915_0760,24
24:'39',T,'39','10'@0.25;'10',T,'60','10'@0.5:60_cluster_AsubtropicusNRRLB24665|e16c60|0-201|8031|AsubtropicusNRRLB24665_3107_0763,10_cluster_ArectNRRLB16090|e5b9eb|0-202|1238|ArectNRRLB16090_526_0763
19:78,S,76,'55'@1;76,S,'08','52'@1:08_cluster_AlurRistocetin|37b2cd|0-205|967|AlurRistocetin_405_0765,52_cluster_WAC4182cluster089|9edaa5|0-205|6939|WAC4182cluster089_2716_0765
16:81,S,'09',79@1;'09',T,'09',100@1:12,15
15:'09',T,'09',100@1;100,S,'18','26'@1:18_cluster_Chloroeremomycin-2|88ca7d|0-205|2447|Chloroeremomycin-1_985_0765,26_cluster_KaridNRRLB16535chlor|88ca7d|0-205|3392|KaridNRRLB16535chlor_1378_0765
12:'09',T,'09',100@1;'09',T,96,'09'@0.5:4,11
11:'09',T,96,'09'@0.5;'09',T,'03','09'@1:03_cluster_AalbaDSM44262|f0331a|0-204|263|AalbaDSM44262_118_0765,10
10:'09',T,'03','09'@1;'09',T,'09',70@1:09_cluster_AOHO0100074|a3167f|0-205|1124|AOHO0100074_485_0765,9
9:'09',T,'09',70@1;70,S,'40','51'@1:40_cluster_Vancomycin|0b787a|0-205|5179|Vancomycin_1978_0765,51_cluster_WAC4169cluster051|ca3da4|0-205|6763|WAC4169cluster051_2616_0765
4:'09',T,96,'09'@0.5;96,T,'11',96@0.5:11_cluster_AregGY080|4a73a4|0-200|1412|AregGY080_625_0765,3
3:96,T,'11',96@0.5;96,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|3e1191|0-205|555|AbalhimycinaFH1894_254_0765,14_cluster_Balhimycin|b9c88f|0-205|1817|Balhimycin_732_0765
