238:79,S,'42',77@1:6,237
237:79,S,'42',77@1;77,S,76,73@1:73,236
236:77,S,76,73@1;73,TTD,73,-1@0.71:114,235
235:73,TTD,73,-1@0.71;-1,TFD,45,-1@0.18:173,234
234:-1,TFD,45,-1@0.18;-1,TLFD,-1,45@0.24;45,TTD,-1,45@0.53:71_cluster_Kistamicin|8e9844|2374-2548|9804|71_cluster_Kistamicin-3712-Item17-E-Item18-Cond_Fill_0,233
233:45,TTD,-1,45@0.53;45,S,'10',43@1:10_cluster_ArectNRRLB16090|9ee539|2804-2970|1327|10_cluster_ArectNRRLB16090-520-Item15-E-Item16-Cond_Fill_0,232
232:45,S,'10',43@1;43,S,'60','39'@1:60_cluster_AsubtropicusNRRLB24665|294514|2833-3009|8086|60_cluster_AsubtropicusNRRLB24665-3100-Item20-E-Item21-Cond_Fill_0,231
231:43,S,'60','39'@1;'39',T,'39',29@0.47:39_cluster_UK68597|e5e4cd|2841-3018|5127|39_cluster_UK68597-1912-Item20-E-Item21-Cond_Fill_0,230
230:'39',T,'39',29@0.47;29,S,'04','03'@0.94:200,229
229:29,S,'04','03'@0.94;'03',TTD,'03',-1@0.6:225,228
228:'03',TTD,'03',-1@0.6;-1,TFD,'02',-1@0.091:02_cluster_A47934|3c365b|2834-3009|178|02_cluster_A47934-65-Item23-E-Item24-Cond_Fill_0,48_cluster_WAC1424cluster109|2a4bff|2848-3025|6343|48_cluster_WAC1424cluster109-2483-Item12-E-Item11-Cond_Fill_0
48_cluster_WAC1424cluster109|2a4bff|2848-3025|6343|48_cluster_WAC1424cluster109-2483-Item12-E-Item11-Cond_Fill_0:-1,TFD,'02',-1@0.091;-1,TLFD,-1,'48'@0.36
225:'03',TTD,'03',-1@0.6;'03',TTD,-1,'03'@0.65:207,224
224:'03',TTD,-1,'03'@0.65;'03',T,39,'03'@0.47:210,223
223:'03',T,39,'03'@0.47;'03',T,'03',35@0.47:219,222
222:'03',T,'03',35@0.47;35,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|903de1|2841-3018|640|05_cluster_AbalhimycinaFH1894-231-Item18-E-Item19-Cond_Fill_0,14_cluster_Balhimycin|69cf6a|2841-3018|1853|14_cluster_Balhimycin-709-Item18-E-Item19-Cond_Fill_0
219:'03',T,'03',35@0.47;'03',TTD,'03',-1@0.62:03_cluster_AalbaDSM44262|311e81|2813-2989|302|03_cluster_AalbaDSM44262-96-Item19-E-Item20-Cond_Fill_0,218
218:'03',TTD,'03',-1@0.62;-1,TFD,'11',-1@0.12:11_cluster_AregGY080|ac6242|2828-3004|1510|11_cluster_AregGY080-602-Item19-E-Item20-Cond_Fill_0,217
217:-1,TFD,'11',-1@0.12;-1,TFD,'09',-1@0.073:09_cluster_AOHO0100074|ca1b25|2821-2998|1195|09_cluster_AOHO0100074-462-Item18-E-Item19-Cond_Fill_0,216
216:-1,TFD,'09',-1@0.073;-1,TLFD,-1,9@0.34;9,S,'51','40'@1:51_cluster_WAC4169cluster051|66fb6a|2815-2992|6877|51_cluster_WAC4169cluster051-2638-Item15-E-Item14-Cond_Fill_0,40_cluster_Vancomycin|aa4140|2815-2991|5229|40_cluster_Vancomycin-1956-Item18-E-Item19-Cond_Fill_0
210:'03',T,39,'03'@0.47;39,S,'18','26'@1:18_cluster_Chloroeremomycin-1|2871d2|2841-3018|2410|18_cluster_Chloroeremomycin-1-961-Item18-E-Item19-Cond_Fill_0,26_cluster_KaridNRRLB16535chlor|2871d2|2841-3018|3470|26_cluster_KaridNRRLB16535chlor-1355-Item18-E-Item19-Cond_Fill_0
207:'03',TTD,-1,'03'@0.65;-1,TFD,'01',-1@0.05:203,206
206:-1,TFD,'01',-1@0.05;-1,TFD,'29',-1@0.068:29_cluster_pekiskomycin|61ac15|2864-3041|3838|29_cluster_pekiskomycin-1529-Item18-E-Item19-Cond_Fill_0,47_cluster_WAC1420|713508|2872-3048|6223|47_cluster_WAC1420-2418-Item18-E-Item19-Cond_Fill_0
47_cluster_WAC1420|713508|2872-3048|6223|47_cluster_WAC1420-2418-Item18-E-Item19-Cond_Fill_0:-1,TFD,'29',-1@0.068;-1,TLFD,-1,'47'@0.33
203:-1,TFD,'01',-1@0.05;'01',T,'01','28'@0.2:01_cluster_A40926|2105e4|2836-3013|74|01_cluster_A40926-23-Item22-E-Item23-Cond_Fill_0,28_cluster_NcoxDSM45129|26d899|2837-3014|3744|28_cluster_NcoxDSM45129-1495-Item22-E-Item23-Cond_Fill_0
200:29,S,'04','03'@0.94;'04',TTD,-1,'04'@0.94:07_cluster_AkerFH1893nogabecin|5b689a|2829-3004|910|07_cluster_AkerFH1893nogabecin-340-Item19-E-Item20-Cond_Fill_0,199
199:'04',TTD,-1,'04'@0.94;'04',TTD,'04',-1@0.64:04_cluster_AazureaDSM43854|40c465|2869-3045|504|04_cluster_AazureaDSM43854-159-Item18-E-Item19-Cond_Fill_0,198
198:'04',TTD,'04',-1@0.64;-1,TFD,25,-1@0.15:184,197
197:-1,TFD,25,-1@0.15;-1,TLFD,-1,19@0.2;19,TTD,-1,19@0.56:191,196
196:19,TTD,-1,19@0.56;19,S,'52','08'@1:52_cluster_WAC4182cluster089|6721ad|2781-2942|7005|52_cluster_WAC4182cluster089-2741-Item15-E-Item14-Cond_Fill_0,195
195:19,S,'52','08'@1;'08',T,'08','55'@0.5:08_cluster_AlurRistocetin|b5adf0|2782-2943|1058|08_cluster_AlurRistocetin-429-Item15-E-Item14-Cond_Fill_0,55_cluster_WAC05977|7779c3|2776-2937|7441|55_cluster_WAC05977-2904-Item18-E-Item19-Cond_Fill_0
191:19,TTD,-1,19@0.56;-1,TLFD,-1,6@1;6,S,'06',4@1:06_cluster_Ajap-Ristocetin|b7eff3|2778-2943|788|06_cluster_Ajap-Ristocetin-286-Item19-E-Item20-Cond_Fill_0,190
190:6,S,'06',4@1;4,S,'53',2@1:53_cluster_WAC4197cluster073|a35ef6|2777-2943|7190|53_cluster_WAC4197cluster073-2789-Item18-E-Item19-Cond_Fill_0,189
