238:101,S,97,100@1:12,237
237:101,S,97,100@1;100,T,100,24@1:15,236
236:100,T,100,24@1;24,S,'47',22@1:18,235
235:24,S,'47',22@1;22,S,14,21@1:37,234
234:22,S,14,21@1;21,T,21,51@1:112,233
233:21,T,21,51@1;51,S,'48',49@1:171,232
232:51,S,'48',49@1;49,S,'71','01'@1:71_cluster_Kistamicin|8e9844|2374-2548|9804|71_cluster_Kistamicin-3712-Item17-E-Item18-Cond_Fill_0,231
231:49,S,'71','01'@1;'01',T,'10','01'@1:10_cluster_ArectNRRLB16090|9ee539|2804-2970|1327|10_cluster_ArectNRRLB16090-520-Item15-E-Item16-Cond_Fill_0,230
230:'01',T,'10','01'@1;'01',T,'60','01'@1:60_cluster_AsubtropicusNRRLB24665|294514|2833-3009|8086|60_cluster_AsubtropicusNRRLB24665-3100-Item20-E-Item21-Cond_Fill_0,229
229:'01',T,'60','01'@1;'01',T,'39','01'@1:39_cluster_UK68597|e5e4cd|2841-3018|5127|39_cluster_UK68597-1912-Item20-E-Item21-Cond_Fill_0,228
228:'01',T,'39','01'@1;'01',T,73,'01'@1:198,227
227:'01',T,73,'01'@1;'01',T,'01','02'@0.5:223,226
226:'01',T,'01','02'@0.5;'02',T,'02','48'@0.5:02_cluster_A47934|3c365b|2834-3009|178|02_cluster_A47934-65-Item23-E-Item24-Cond_Fill_0,48_cluster_WAC1424cluster109|2a4bff|2848-3025|6343|48_cluster_WAC1424cluster109-2483-Item12-E-Item11-Cond_Fill_0
223:'01',T,'01','02'@0.5;'01',T,'01',100@0.5:205,222
222:'01',T,'01',100@0.5;100,T,100,96@0.25:208,221
221:100,T,100,96@0.25;96,T,'03',96@0.25:217,220
220:96,T,'03',96@0.25;96,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|903de1|2841-3018|640|05_cluster_AbalhimycinaFH1894-231-Item18-E-Item19-Cond_Fill_0,14_cluster_Balhimycin|69cf6a|2841-3018|1853|14_cluster_Balhimycin-709-Item18-E-Item19-Cond_Fill_0
217:96,T,'03',96@0.25;'03',T,'03','11'@0.25:03_cluster_AalbaDSM44262|311e81|2813-2989|302|03_cluster_AalbaDSM44262-96-Item19-E-Item20-Cond_Fill_0,216
216:'03',T,'03','11'@0.25;'11',T,'11',70@0.25:11_cluster_AregGY080|ac6242|2828-3004|1510|11_cluster_AregGY080-602-Item19-E-Item20-Cond_Fill_0,215
215:'11',T,'11',70@0.25;70,T,'09',70@0.5:09_cluster_AOHO0100074|ca1b25|2821-2998|1195|09_cluster_AOHO0100074-462-Item18-E-Item19-Cond_Fill_0,214
214:70,T,'09',70@0.5;70,S,'51','40'@1:51_cluster_WAC4169cluster051|66fb6a|2815-2992|6877|51_cluster_WAC4169cluster051-2638-Item15-E-Item14-Cond_Fill_0,40_cluster_Vancomycin|aa4140|2815-2991|5229|40_cluster_Vancomycin-1956-Item18-E-Item19-Cond_Fill_0
208:100,T,100,96@0.25;100,S,'18','26'@1:18_cluster_Chloroeremomycin-1|2871d2|2841-3018|2410|18_cluster_Chloroeremomycin-1-961-Item18-E-Item19-Cond_Fill_0,26_cluster_KaridNRRLB16535chlor|2871d2|2841-3018|3470|26_cluster_KaridNRRLB16535chlor-1355-Item18-E-Item19-Cond_Fill_0
205:'01',T,'01',100@0.5;'01',T,'01','29'@0.5:201,204
204:'01',T,'01','29'@0.5;'29',T,'29','47'@0.5:29_cluster_pekiskomycin|61ac15|2864-3041|3838|29_cluster_pekiskomycin-1529-Item18-E-Item19-Cond_Fill_0,47_cluster_WAC1420|713508|2872-3048|6223|47_cluster_WAC1420-2418-Item18-E-Item19-Cond_Fill_0
201:'01',T,'01','29'@0.5;'01',T,'01','28'@1:01_cluster_A40926|2105e4|2836-3013|74|01_cluster_A40926-23-Item22-E-Item23-Cond_Fill_0,28_cluster_NcoxDSM45129|26d899|2837-3014|3744|28_cluster_NcoxDSM45129-1495-Item22-E-Item23-Cond_Fill_0
198:'01',T,73,'01'@1;73,S,72,67@1:07_cluster_AkerFH1893nogabecin|5b689a|2829-3004|910|07_cluster_AkerFH1893nogabecin-340-Item19-E-Item20-Cond_Fill_0,197
