98:28,S,27,24@1:4,97
97:28,S,27,24@1;24,S,22,'47'@1:13,96
96:24,S,22,'47'@1;'47',T,'47',43@0.38:45_cluster_WAC1376cluster143|2f68bd|1013-1021|5879|45_cluster_WAC1376cluster143-2259-Item8-PCP-Item7-X_Fill_0,95
95:'47',T,'47',43@0.38;43,T,43,106@0.19:35,94
94:43,T,43,106@0.19;106,T,106,'42'@0.25:44,93
93:106,T,106,'42'@0.25;'42',T,'04','42'@0.5:04_cluster_AazureaDSM43854|7a2c10|1040-1048|441|04_cluster_AazureaDSM43854-160-Item25-PCP-Item26-X_Fill_0,92
92:'42',T,'04','42'@0.5;'42',T,'03','42'@0.5:03_cluster_AalbaDSM44262|3f5634|1036-1044|317|03_cluster_AalbaDSM44262-97-Item26-PCP-Item27-X_Fill_0,91
91:'42',T,'03','42'@0.5;'42',T,78,'42'@0.25:69,90
90:'42',T,78,'42'@0.25;'42',T,'47','42'@0.062:82,89
89:'42',T,'47','42'@0.062;'42',T,'42',70@0.38:42_cluster_WAC00631|01badb|1036-1044|5492|42_cluster_WAC00631-2043-Item32-PCP-Item33-X_Fill_0,88
88:'42',T,'42',70@0.38;70,T,'09',70@0.5:09_cluster_AOHO0100074|586f66|1046-1054|1156|09_cluster_AOHO0100074-463-Item25-PCP-Item26-X_Fill_0,87
87:70,T,'09',70@0.5;70,S,'40','51'@1:40_cluster_Vancomycin|0a9770|1046-1054|5244|40_cluster_Vancomycin-1957-Item25-PCP-Item26-X_Fill_0,51_cluster_WAC4169cluster051|0dd5c9|1046-1054|6855|51_cluster_WAC4169cluster051-2637-Item8-PCP-Item7-X_Fill_0
82:'42',T,'47','42'@0.062;'47',T,'02','47'@0.44:02_cluster_A47934|f1a9cd|1049-1058|193|02_cluster_A47934-66-Item30-PCP-Item31-X_Fill_0,81
81:'47',T,'02','47'@0.44;'47',T,'47',96@0.25:75,80
80:'47',T,'47',96@0.25;96,T,'29',96@0.5:29_cluster_pekiskomycin|3b5b44|1049-1057|3853|29_cluster_pekiskomycin-1530-Item25-PCP-Item26-X_Fill_0,79
79:96,T,'29',96@0.5;96,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|d4f558|1038-1046|655|05_cluster_AbalhimycinaFH1894-232-Item25-PCP-Item26-X_Fill_0,14_cluster_Balhimycin|638910|1038-1046|1868|14_cluster_Balhimycin-710-Item25-PCP-Item26-X_Fill_0
75:'47',T,'47',96@0.25;'47',T,'47',100@0.62:47_cluster_WAC1420|f1adce|1049-1057|6238|47_cluster_WAC1420-2419-Item25-PCP-Item26-X_Fill_0,74
74:'47',T,'47',100@0.62;100,S,'18','26'@1:18_cluster_Chloroeremomycin-1|1dfbcd|1049-1057|2425|18_cluster_Chloroeremomycin-1-962-Item25-PCP-Item26-X_Fill_0,26_cluster_KaridNRRLB16535chlor|661409|1040-1048|3485|26_cluster_KaridNRRLB16535chlor-1356-Item25-PCP-Item26-X_Fill_0
69:'42',T,78,'42'@0.25;78,T,'71',78@0.5:71_cluster_Kistamicin|c2bb94|1022-1038|9819|71_cluster_Kistamicin-3713-Item24-PCP-Item25-X_Fill_0,68
68:78,T,'71',78@0.5;78,S,76,'55'@1:58,67
67:78,S,76,'55'@1;'55',T,'55','28'@0.5:55_cluster_WAC05977|27f9dd|1039-1047|7456|55_cluster_WAC05977-2905-Item25-PCP-Item26-X_Fill_0,66
66:'55',T,'55','28'@0.5;'28',T,'28',88@0.25:28_cluster_NcoxDSM45129|80f814|1046-1054|3690|28_cluster_NcoxDSM45129-1496-Item29-PCP-Item30-X_Fill_0,65
65:'28',T,'28',88@0.25;88,T,'01',88@0.5:01_cluster_A40926|6a1658|1045-1053|89|01_cluster_A40926-24-Item29-PCP-Item30-X_Fill_0,64
64:88,T,'01',88@0.5;88,S,'44','46'@1:44_cluster_WAC1375|26826b|1039-1047|5705|44_cluster_WAC1375-2130-Item25-PCP-Item26-X_Fill_0,46_cluster_WAC1416cluster068|d7004d|1013-1021|6113|46_cluster_WAC1416cluster068-2307-Item24-PCP-Item25-X_Fill_0
58:78,S,76,'55'@1;76,T,76,67@1:50,57
57:76,T,76,67@1;67,S,'06',65@1:06_cluster_Ajap-Ristocetin|41a04d|1039-1047|726|06_cluster_Ajap-Ristocetin-288-Item26-PCP-Item27-X_Fill_0,56
56:67,S,'06',65@1;65,S,'53',63@1:53_cluster_WAC4197cluster073|45ffd8|1039-1047|7205|53_cluster_WAC4197cluster073-2790-Item25-PCP-Item26-X_Fill_0,55
55:65,S,'53',63@1;63,S,'25','27'@1:25_cluster_JPLW01000007|e66a00|1039-1047|3326|25_cluster_JPLW01000007-1284-Item26-PCP-Item27-X_Fill_0,27_cluster_KF882511-Ristocetin|e66a00|1039-1047|3630|27_cluster_KF882511-Ristocetin-1417-Item26-PCP-Item27-X_Fill_0
50:76,T,76,67@1;76,S,'08','52'@1:08_cluster_AlurRistocetin|0f4616|1068-1076|1030|08_cluster_AlurRistocetin-428-Item8-PCP-Item7-X_Fill_0,52_cluster_WAC4182cluster089|e7dbb3|1039-1047|7025|52_cluster_WAC4182cluster089-2740-Item8-PCP-Item7-X_Fill_0
44:106,T,106,'42'@0.25;106,S,104,'10'@1:40,43
43:106,S,104,'10'@1;'10',T,'10','48'@1:10_cluster_ArectNRRLB16090|35a3e5|1035-1043|1342|10_cluster_ArectNRRLB16090-521-Item22-PCP-Item23-X_Fill_0,48_cluster_WAC1424cluster109|1e552c|1014-1022|6317|48_cluster_WAC1424cluster109-2482-Item6-PCP-Item5-X_Fill_0
40:106,S,104,'10'@1;104,S,'39','60'@1:39_cluster_UK68597|13b231|1045-1053|5142|39_cluster_UK68597-1913-Item27-PCP-Item28-X_Fill_0,39
39:104,S,'39','60'@1;'60',T,'11','60'@1:11_cluster_AregGY080|643e69|1038-1046|1488|11_cluster_AregGY080-603-Item26-PCP-Item27-X_Fill_0,60_cluster_AsubtropicusNRRLB24665|46c496|1044-1052|8101|60_cluster_AsubtropicusNRRLB24665-3101-Item27-PCP-Item28-X_Fill_0
35:43,T,43,106@0.19;43,S,'62',41@1:07_cluster_AkerFH1893nogabecin|007425|1040-1048|925|07_cluster_AkerFH1893nogabecin-341-Item26-PCP-Item27-X_Fill_0,34
34:43,S,'62',41@1;41,S,40,37@1:20,33
33:41,S,40,37@1;37,T,37,4@1:27,32
32:37,T,37,4@1;4,S,'61',2@1:61_cluster_FNTE|ff42bb|1029-1038|8216|61_cluster_FNTE-3138-Item29-PCP-Item30-X_Fill_0,31
31:4,S,'61',2@1;2,S,'43','54'@1:43_cluster_WAC01325|b58f24|1029-1038|5591|43_cluster_WAC01325-2081-Item29-PCP-Item30-X_Fill_0,54_cluster_WAC05379-3|c68161|1029-1038|7296|54_cluster_WAC05379-1-2852-Item18-PCP-Item19-X_Fill_0
27:37,T,37,4@1;37,S,'63',35@1:63_cluster_SspCNQ525.cluster001|286c95|1029-1037|8524|63_cluster_SspCNQ525.cluster001-3273-Item40-PCP-Item41-X_Fill_0,26
26:37,S,'63',35@1;35,S,'65',33@1:65_cluster_SspCNT371.cluster001|25c062|1029-1037|8825|65_cluster_SspCNT371.cluster001-3385-Item40-PCP-Item41-X_Fill_0,25
25:35,S,'65',33@1;33,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|c6a231|1029-1037|8633|64_cluster_SspCNQ865.cluster001-3329-Item40-PCP-Item41-X_Fill_0,66_cluster_SspCNY243.cluster001|fe4486|1029-1037|8984|66_cluster_SspCNY243.cluster001-3439-Item40-PCP-Item41-X_Fill_0
20:41,S,40,37@1;40,T,'62',40@1:62_cluster_SspCNQ329.cluster001|7c2c30|1028-1037|8334|62_cluster_SspCNQ329.cluster001-3217-Item38-PCP-Item39-X_Fill_0,19
19:40,T,'62',40@1;40,S,'33','58'@1:33_cluster_SspCNQ509|511064|1027-1036|4438|33_cluster_SspCNQ509-1695-Item40-PCP-Item41-X_Fill_0,58_cluster_WAC06738cluster004|67b8a2|1027-1036|7812|58_cluster_WAC06738cluster004-3024-Item37-PCP-Item38-X_Fill_0
07_cluster_AkerFH1893nogabecin|007425|1040-1048|925|07_cluster_AkerFH1893nogabecin-341-Item26-PCP-Item27-X_Fill_0:43,S,'62',41@1;'62',TL,'62','07'@1
45_cluster_WAC1376cluster143|2f68bd|1013-1021|5879|45_cluster_WAC1376cluster143-2259-Item8-PCP-Item7-X_Fill_0:'47',T,'47',43@0.38;'47',TL,'47','45'@0.75
13:24,S,22,'47'@1;22,S,14,21@1:13_cluster_AspOK074cluster1|2f3ccd|2584-2592|1757|13_cluster_AspOK074cluster1-691-Item37-PCP-Item38-X_Fill_0,12
12:22,S,14,21@1;21,S,17,20@1:8,11
11:21,S,17,20@1;20,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|26e45e|2578-2586|4154|31_cluster_SluteocolorNRBC13826-1611-Item42-PCP-Item43-X_Fill_0,32_cluster_Ssilaceus-3|0da9d1|2578-2586|4281|32_cluster_Ssilaceus-1-1656-Item11-PCP-Item12-X_Fill_0
8:21,S,17,20@1;17,S,'35','50'@1:35_cluster_SspNRRLS1521-3|4d8679|2586-2594|4656|35_cluster_SspNRRLS1521-1-1760-Item17-PCP-Item18-X_Fill_0,50_cluster_WAC01529|b2e10b|2604-2612|6722|50_cluster_WAC01529-2568-Item38-PCP-Item39-X_Fill_0
