868:109,S,108,95@1:142,867
867:109,S,108,95@1;95,TTD,95,-1@1:859,866
866:95,TTD,95,-1@1;-1,DD,-1,-1@0.17:862,865
865:-1,DD,-1,-1@0.17;-1,TLFD,-1,107@0.5;107,S,'12','56'@1:12_cluster_ArifDSM43936-4|04fca8|430-636|1642|12_cluster_ArifDSM43936-1-661-Item2-Cond-Item3-A_nrp_Fill_0,56_cluster_WAC06369|6e6f2f|5479-5685|7625|56_cluster_WAC06369-2953-Item56-Cond-Item57-A_nrp_Fill_0
862:-1,DD,-1,-1@0.17;-1,TLFD,-1,107@0.5;107,S,'12','56'@1:12_cluster_ArifDSM43936-2|6da040|1059-1248|1545|12_cluster_ArifDSM43936-1-657-Item3-Cond-Item4-A_thr_Fill_0,56_cluster_WAC06369|394215|1329-1518|7578|56_cluster_WAC06369-2952-Item33-Cond-Item34-A_thr_Fill_0
859:95,TTD,95,-1@1;95,S,'67',93@0.37:165,858
858:95,S,'67',93@0.37;93,T,93,'67'@0.013:790,857
857:93,T,93,'67'@0.013;'67',T,'68','67'@0.33:68_cluster_HdaliensisNBRC106472.cluster001|77aaf4|2377-2557|9258|68_cluster_HdaliensisNBRC106472.cluster001-3532-Item7-Cond-Item8-A_asp_Fill_0,856
856:'67',T,'68','67'@0.33;'67',T,'68','67'@0.084:804,855
855:'67',T,'68','67'@0.084;'67',D,'67','67'@0.047:829,854
854:'67',D,'67','67'@0.047;'67',T,'49','67'@0.085:850,853
853:'67',T,'49','67'@0.085;'67',T,'67','69'@0.25:67_cluster_STLI053.cluster001|4e2fef|2510-2689|9088|67_cluster_STLI053.cluster001-3497-Item19-Cond-Item20-A_no_call_Fill_0,69_cluster_MchersinaDSM44151|60540f|1419-1599|9470|69_cluster_MchersinaDSM44151-3596-Item12-Cond-Item13-A_nrp_Fill_0
850:'67',T,'49','67'@0.085;'49',D,'49','49'@0.12:832,849
849:'49',D,'49','49'@0.12;'49',D,'49','49'@0.14:49_cluster_WAC1438rc4d|f4aa9d|4603-4784|6568|49_cluster_WAC1438rc4d-2522-Item64-Cond-Item65-A_phe_Fill_0,848
