36:93,S,79,92@1:4,35
35:93,S,79,92@1;92,T,55,92@1:21,34
34:92,T,55,92@1;92,S,'62',90@1:62_cluster_SspCNQ329.cluster001|7c2c30|1343-1535|8336|62_cluster_SspCNQ329.cluster001-3217-Item39-X-Item40-A_no_call_Fill_0,33
33:92,S,'62',90@1;90,S,89,86@1:25,32
32:90,S,89,86@1;86,S,'63',84@1:28,31
31:86,S,'63',84@1;84,S,'65',82@1:65_cluster_SspCNT371.cluster001|25c062|1343-1535|8827|65_cluster_SspCNT371.cluster001-3385-Item41-X-Item42-A_no_call_Fill_0,66_cluster_SspCNY243.cluster001|fe4486|1343-1535|8986|66_cluster_SspCNY243.cluster001-3439-Item41-X-Item42-A_no_call_Fill_0
66_cluster_SspCNY243.cluster001|fe4486|1343-1535|8986|66_cluster_SspCNY243.cluster001-3439-Item41-X-Item42-A_no_call_Fill_0:84,S,'65',82@1;82,SL,'64','66'@1
28:86,S,'63',84@1;'63',T,'63','64'@1:63_cluster_SspCNQ525.cluster001|286c95|1343-1535|8526|63_cluster_SspCNQ525.cluster001-3273-Item41-X-Item42-A_no_call_Fill_0,64_cluster_SspCNQ865.cluster001|c6a231|1343-1535|8635|64_cluster_SspCNQ865.cluster001-3329-Item41-X-Item42-A_no_call_Fill_0
25:90,S,89,86@1;89,S,'33','58'@1:33_cluster_SspCNQ509|511064|1342-1534|4440|33_cluster_SspCNQ509-1695-Item41-X-Item42-A_nrp_Fill_0,58_cluster_WAC06738cluster004|67b8a2|1342-1534|7814|58_cluster_WAC06738cluster004-3024-Item38-X-Item39-A_nrp_Fill_0
21:92,T,55,92@1;55,S,53,'70'@1:9,20
20:55,S,53,'70'@1;'70',T,'70',66@1:70_cluster_TLI55.cluster001|412004|8672-8868|9732|70_cluster_TLI55.cluster001-3659-Item35-X-Item36-A_no_call_Fill_0,19
19:'70',T,'70',66@1;66,S,'35','50'@1:35_cluster_SspNRRLS1521-3|4d8679|2901-3093|4658|35_cluster_SspNRRLS1521-1-1760-Item18-X-Item19-A_nrp_Fill_0,18
18:66,S,'35','50'@1;'50',T,'50',69@0.5:50_cluster_WAC01529|b2e10b|2919-3112|6724|50_cluster_WAC01529-2568-Item39-X-Item40-A_nrp_Fill_0,17
17:'50',T,'50',69@0.5;69,T,'13',69@0.5:13_cluster_AspOK074cluster1|2f3ccd|2899-3092|1759|13_cluster_AspOK074cluster1-691-Item38-X-Item39-A_nrp_Fill_0,16
16:69,T,'13',69@0.5;69,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|26e45e|2893-3088|4156|31_cluster_SluteocolorNRBC13826-1611-Item43-X-Item44-A_nrp_Fill_0,32_cluster_Ssilaceus-3|0da9d1|2893-3088|4283|32_cluster_Ssilaceus-1-1656-Item12-X-Item13-A_nrp_Fill_0
9:55,S,53,'70'@1;53,D,53,53@0.33:54_cluster_WAC05379-3|c68161|1345-1534|7298|54_cluster_WAC05379-1-2852-Item19-X-Item20-A_no_call_Fill_0,8
8:53,D,53,53@0.33;53,S,51,'61'@0.33:43_cluster_WAC01325|b58f24|1345-1533|5593|43_cluster_WAC01325-2081-Item30-X-Item31-A_nrp_Fill_0,61_cluster_FNTE|ff42bb|1345-1533|8218|61_cluster_FNTE-3138-Item30-X-Item31-A_no_call_Fill_0
43_cluster_WAC01325|b58f24|1345-1533|5593|43_cluster_WAC01325-2081-Item30-X-Item31-A_nrp_Fill_0:53,S,51,'61'@0.33;51,SL,'54','43'@0.33
54_cluster_WAC05379-3|c68161|1345-1534|7298|54_cluster_WAC05379-1-2852-Item19-X-Item20-A_no_call_Fill_0:53,D,53,53@0.33;53,SL,'61',51@0.33;51,SL,'43','54'@0.67
4:93,S,79,92@1;79,S,'42',77@1:42_cluster_WAC00631|01badb|1351-1543|5494|42_cluster_WAC00631-2043-Item33-X-Item34-A_nrp_Fill_0,3
3:79,S,'42',77@1;77,SL,73,76@1;76,S,'57','59'@1:57_cluster_WAC06725|689653|1353-1545|7746|57_cluster_WAC06725-2979-Item33-X-Item34-A_no_call_Fill_0,59_cluster_WAC06783|725a6d|1353-1545|7994|59_cluster_WAC06783-3060-Item33-X-Item34-A_nrp_Fill_0
