238:30,S,'42',28@1:6,237
237:30,S,'42',28@1;28,S,27,24@1:73,236
236:28,S,27,24@1;24,T,24,106@0.29:114,235
235:24,T,24,106@0.29;106,D,106,106@0.12:173,234
234:106,D,106,106@0.12;106,TTD,-1,106@0.53:71_cluster_Kistamicin|8e9844|2374-2548|9804|71_cluster_Kistamicin-3712-Item17-E-Item18-Cond_Fill_0,233
233:106,TTD,-1,106@0.53;106,S,'10',104@1:10_cluster_ArectNRRLB16090|9ee539|2804-2970|1327|10_cluster_ArectNRRLB16090-520-Item15-E-Item16-Cond_Fill_0,232
232:106,S,'10',104@1;104,S,'60','39'@1:60_cluster_AsubtropicusNRRLB24665|294514|2833-3009|8086|60_cluster_AsubtropicusNRRLB24665-3100-Item20-E-Item21-Cond_Fill_0,231
231:104,S,'60','39'@1;'39',T,'39',84@0.5:39_cluster_UK68597|e5e4cd|2841-3018|5127|39_cluster_UK68597-1912-Item20-E-Item21-Cond_Fill_0,230
230:'39',T,'39',84@0.5;84,S,'04','03'@1:200,229
229:84,S,'04','03'@1;'03',T,'03','02'@0.18:225,228
228:'03',T,'03','02'@0.18;'02',T,'02','48'@0.18:02_cluster_A47934|3c365b|2834-3009|178|02_cluster_A47934-65-Item23-E-Item24-Cond_Fill_0,48_cluster_WAC1424cluster109|2a4bff|2848-3025|6343|48_cluster_WAC1424cluster109-2483-Item12-E-Item11-Cond_Fill_0
225:'03',T,'03','02'@0.18;'03',T,'01','03'@0.078:207,224
224:'03',T,'01','03'@0.078;'03',T,100,'03'@0.5:210,223
223:'03',T,100,'03'@0.5;'03',T,'03',96@0.5:219,222
222:'03',T,'03',96@0.5;96,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|903de1|2841-3018|640|05_cluster_AbalhimycinaFH1894-231-Item18-E-Item19-Cond_Fill_0,14_cluster_Balhimycin|69cf6a|2841-3018|1853|14_cluster_Balhimycin-709-Item18-E-Item19-Cond_Fill_0
219:'03',T,'03',96@0.5;'03',T,'03',70@0.071:03_cluster_AalbaDSM44262|311e81|2813-2989|302|03_cluster_AalbaDSM44262-96-Item19-E-Item20-Cond_Fill_0,218
218:'03',T,'03',70@0.071;70,T,'11',70@0.071:11_cluster_AregGY080|ac6242|2828-3004|1510|11_cluster_AregGY080-602-Item19-E-Item20-Cond_Fill_0,217
