232:93,S,92,79@1:12,231
231:93,S,92,79@1;79,S,77,'42'@1:43,230
230:79,S,77,'42'@1;'42',T,'67','42'@1:46,229
229:'42',T,'67','42'@1;'42',T,'67','42'@1:53,228
228:'42',T,'67','42'@1;'42',T,'42',45@1:50_genome_WAC01529___0_6194,227
227:'42',T,'42',45@1;45,S,43,'10'@1:97,226
226:45,S,43,'10'@1;'10',T,'29','10'@1:29_genome_Pekiskomycin___26_5,225
225:'10',T,'29','10'@1;'10',T,'29','10'@1:105,224
224:'10',T,'29','10'@1;'10',T,'10',98@0.27:160,223
223:'10',T,'10',98@0.27;98,T,107,98@0.27:163,222
222:98,T,107,98@0.27;98,D,98,98@0.067:172,221
221:98,D,98,98@0.067;98,S,'71','01'@1:71_cluster_Kistamicin|b84230|0-373|9753|Kistamicin_3702_0354,220
220:98,S,'71','01'@1;'01',T,39,'01'@0.33:176,219
219:'01',T,39,'01'@0.33;'01',T,'01',21@0.33:181,218
218:'01',T,'01',21@0.33;21,S,'04',19@0.33:184,217
217:21,S,'04',19@0.33;19,T,11,19@0.33:187,216
216:19,T,11,19@0.33;19,T,35,19@0.33:190,215
215:19,T,35,19@0.33;19,T,19,29@0.17:205,214
214:19,T,19,29@0.17;29,T,29,'03'@0.25:210,213
213:29,T,29,'03'@0.25;'03',T,'03','09'@0.5:03_cluster_AalbaDSM44262|221782|0-276|238|AalbaDSM44262_93_0354,09_cluster_AOHO0100074|e03d99|0-271|1098|AOHO0100074_459_0354
210:29,T,29,'03'@0.25;29,S,'45',27@1:45_cluster_WAC1376cluster143|e8f47b|0-281|5849|WAC1376cluster143_2265_0354,209
209:29,S,'45',27@1;27,S,'44','46'@1:44_cluster_WAC1375|411137|0-281|5635|WAC1375_2125_0354,46_cluster_WAC1416cluster068|411137|0-281|5969|WAC1416cluster068_2302_0354
205:19,T,19,29@0.17;19,T,'11',19@0.33:11_cluster_AregGY080|0f8c3e|0-274|1386|AregGY080_599_0354,204
204:19,T,'11',19@0.33;19,T,6,19@0.33:198,203
203:19,T,6,19@0.33;19,S,'08','52'@1:08_cluster_AlurRistocetin|daa137|0-283|995|AlurRistocetin_433_0354,202
202:19,S,'08','52'@1;'52',T,'52','55'@1:52_cluster_WAC4182cluster089|57e451|0-280|6969|WAC4182cluster089_2746_0354,55_cluster_WAC05977|4c845c|0-283|7356|WAC05977_2900_0541
198:19,T,6,19@0.33;6,S,'06',4@1:06_cluster_Ajap-Ristocetin|f1fe28|0-276|681|Ajap-Ristocetin_282_0354,197
197:6,S,'06',4@1;4,S,'53',2@1:53_cluster_WAC4197cluster073|757094|0-276|7087|WAC4197cluster073_2784_0354,196
196:4,S,'53',2@1;2,S,'25','27'@1:25_cluster_JPLW01000007|b3ae00|0-276|3213|JPLW01000007_1279_0354,27_cluster_KF882511-Ristocetin|b3ae00|0-276|3506|KF882511-Ristocetin_1412_0354
190:19,T,35,19@0.33;35,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|bf3ab6|0-291|529|AbalhimycinaFH1894_228_0354,14_cluster_Balhimycin|30ed33|0-291|1790|Balhimycin_705_0354
187:19,T,11,19@0.33;11,SL,'07',9@1;9,S,'40','51'@1:40_cluster_Vancomycin|22f948|0-283|5154|Vancomycin_1953_0354,51_cluster_WAC4169cluster051|a045e5|0-283|6789|WAC4169cluster051_2642_0354
184:21,S,'04',19@0.33;'04',T,'07','04'@1:07_cluster_AkerFH1893nogabecin|7f5981|0-303|815|AkerFH1893nogabecin_336_0541,04_cluster_AazureaDSM43854|bac402|0-273|378|AazureaDSM43854_155_0354
181:'01',T,'01',21@0.33;'01',T,'48','01'@1:48_genome_WAC01424___19_40,180
180:'01',T,'48','01'@1;'01',T,'01','28'@1:01_cluster_A40926|b0d3bc|0-369|35|A40926_35_0354,28_cluster_NcoxDSM45129|f32610|0-363|3681|NcoxDSM45129_1507_0354
176:'01',T,39,'01'@0.33;39,S,'18','26'@1:18_cluster_Chloroeremomycin-1|fa4621|0-367|2363|Chloroeremomycin-1_958_0354,26_cluster_KaridNRRLB16535chlor|b93082|0-369|3366|KaridNRRLB16535chlor_1352_0354
172:98,D,98,98@0.067;98,T,'68',98@0.067:68_genome_HdaliensisNBRC106472___2_105,171
171:98,T,'68',98@0.067;98,T,'48',98@0.2:48_genome_WAC01424___0_576,170
170:98,T,'48',98@0.2;98,T,'28',98@0.47:28_genome_NcoxDSM45129___89_214,169
169:98,T,'28',98@0.47;98,S,'71','01'@1:71_genome_kistamicin___0_5472,01_genome_A40926___3_4287
