82:30,S,'42',28@1:2,81
81:30,S,'42',28@1;28,T,58,28@1:7,80
80:28,T,58,28@1;28,S,24,27@1:14,79
79:28,S,24,27@1;27,D,27,27@1:17,78
78:27,D,27,27@1;27,T,27,6@1:22,77
77:27,T,27,6@1;6,S,4,'70'@1:31,76
76:6,S,4,'70'@1;'70',T,27,'70'@0.93:34,75
75:'70',T,27,'70'@0.93;'70',T,'70',43@0.93:70_cluster_TLI55.cluster001|1dcea7|3285-3442|9677|70_cluster_TLI55.cluster001-3658-Item8-E-Item9-NRPS-COM_Cterm_Fill_0,74
74:'70',T,'70',43@0.93;43,S,41,'62'@0.13:46,73
73:43,S,41,'62'@0.13;'62',T,'62',41@0.13:59,72
72:'62',T,'62',41@0.13;41,S,40,37@0.63:62,71
71:41,S,40,37@0.63;37,T,'62',37@0.63:62_cluster_SspCNQ329.cluster001|288edd|3190-3345|8368|62_cluster_SspCNQ329.cluster001-3213-Item11-E-Item12-NRPS-COM_Cterm_Fill_0,70
70:37,T,'62',37@0.63;37,S,'63',35@1:63_cluster_SspCNQ525.cluster001|47a90b|3184-3339|8463|63_cluster_SspCNQ525.cluster001-3269-Item11-E-Item12-NRPS-COM_Cterm_Fill_0,69
69:37,S,'63',35@1;35,S,'65',33@1:65_cluster_SspCNT371.cluster001|e00a01|3187-3342|8764|65_cluster_SspCNT371.cluster001-3381-Item11-E-Item12-NRPS-COM_Cterm_Fill_0,68
68:35,S,'65',33@1;33,S,'66','64'@1:66_cluster_SspCNY243.cluster001|26108b|3133-3288|8923|66_cluster_SspCNY243.cluster001-3435-Item11-E-Item12-NRPS-COM_Cterm_Fill_0,64_cluster_SspCNQ865.cluster001|1efe89|3187-3342|8667|64_cluster_SspCNQ865.cluster001-3325-Item11-E-Item12-NRPS-COM_Cterm_Fill_0
62:41,S,40,37@0.63;40,S,'33','58'@1:33_cluster_SspCNQ509|c57782|3051-3206|4376|33_cluster_SspCNQ509-1691-Item11-E-Item12-NRPS-COM_Cterm_Fill_0,58_cluster_WAC06738cluster004|1bd006|3054-3209|7840|58_cluster_WAC06738cluster004-3020-Item9-E-Item10-NRPS-COM_Cterm_Fill_0
59:'62',T,'62',41@0.13;'62',T,'62',41@0.27:62_cluster_SspCNQ329.cluster001|f73c1e|4415-4571|8323|62_cluster_SspCNQ329.cluster001-3216-Item33-E-Item34-NRPS-COM_Cterm_Fill_0,58
58:'62',T,'62',41@0.27;41,S,37,40@1:54,57
57:41,S,37,40@1;40,S,'33','58'@1:33_cluster_SspCNQ509|436ed9|4419-4575|4427|33_cluster_SspCNQ509-1694-Item35-E-Item36-NRPS-COM_Cterm_Fill_0,58_cluster_WAC06738cluster004|d9a549|4410-4566|7888|58_cluster_WAC06738cluster004-3023-Item32-E-Item33-NRPS-COM_Cterm_Fill_0
54:41,S,37,40@1;37,S,35,'63'@0.47:65_cluster_SspCNT371.cluster001|f326c5|4412-4569|8815|65_cluster_SspCNT371.cluster001-3384-Item35-E-Item36-NRPS-COM_Cterm_Fill_0,53
53:37,S,35,'63'@0.47;'63',T,'63',33@0.47:63_cluster_SspCNQ525.cluster001|4ed3e5|4418-4575|8514|63_cluster_SspCNQ525.cluster001-3272-Item35-E-Item36-NRPS-COM_Cterm_Fill_0,52
52:'63',T,'63',33@0.47;33,S,'66','64'@1:66_cluster_SspCNY243.cluster001|731b10|4423-4580|8974|66_cluster_SspCNY243.cluster001-3438-Item35-E-Item36-NRPS-COM_Cterm_Fill_0,64_cluster_SspCNQ865.cluster001|180773|4414-4571|8623|64_cluster_SspCNQ865.cluster001-3328-Item35-E-Item36-NRPS-COM_Cterm_Fill_0
65_cluster_SspCNT371.cluster001|f326c5|4412-4569|8815|65_cluster_SspCNT371.cluster001-3384-Item35-E-Item36-NRPS-COM_Cterm_Fill_0:37,S,35,'63'@0.47;35,SL,33,'65'@0.53
46:43,S,41,'62'@0.13;41,S,37,40@1:42,45
45:41,S,37,40@1;40,S,'33','58'@1:33_cluster_SspCNQ509|68d264|1349-1505|4398|33_cluster_SspCNQ509-1693-Item21-E-Item22-NRPS-COM_Cterm_Fill_0,58_cluster_WAC06738cluster004|bcc467|1343-1499|7859|58_cluster_WAC06738cluster004-3022-Item18-E-Item19-NRPS-COM_Cterm_Fill_0
42:41,S,37,40@1;37,S,'63',35@1:63_cluster_SspCNQ525.cluster001|a73d35|1347-1503|8485|63_cluster_SspCNQ525.cluster001-3271-Item21-E-Item22-NRPS-COM_Cterm_Fill_0,41
41:37,S,'63',35@1;35,S,'65',33@1:65_cluster_SspCNT371.cluster001|830555|1347-1503|8786|65_cluster_SspCNT371.cluster001-3383-Item21-E-Item22-NRPS-COM_Cterm_Fill_0,40
40:35,S,'65',33@1;33,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|1b0239|1347-1503|8689|64_cluster_SspCNQ865.cluster001-3327-Item21-E-Item22-NRPS-COM_Cterm_Fill_0,66_cluster_SspCNY243.cluster001|3b57c3|1344-1500|8945|66_cluster_SspCNY243.cluster001-3437-Item21-E-Item22-NRPS-COM_Cterm_Fill_0
34:'70',T,27,'70'@0.93;27,S,'57','59'@1:57_cluster_WAC06725|20c8cf|1337-1493|7702|57_cluster_WAC06725-2977-Item13-E-Item14-NRPS-COM_Cterm_Fill_0,59_cluster_WAC06783|108337|1367-1523|7950|59_cluster_WAC06783-3058-Item13-E-Item14-NRPS-COM_Cterm_Fill_0
31:6,S,4,'70'@1;4,S,2,'61'@0.73:27,30
30:4,S,2,'61'@0.73;'61',T,'61','43'@0.73:61_cluster_FNTE|890b38|1333-1486|8176|61_cluster_FNTE-3136-Item11-E-Item12-NRPS-COM_Cterm_Fill_0,43_cluster_WAC01325|e1a992|1332-1486|5624|43_cluster_WAC01325-2079-Item11-E-Item12-NRPS-COM_Cterm_Fill_0
27:4,S,2,'61'@0.73;2,S,'43','54'@0.87:43_cluster_WAC01325|536b71|1928-2087|5613|43_cluster_WAC01325-2078-Item6-E-Item7-NRPS-COM_Cterm_Fill_0,26
26:2,S,'43','54'@0.87;'54',T,'54','61'@0.87:54_cluster_WAC05379-1|edff73|1933-2092|7244|54_cluster_WAC05379-1-2847-Item6-E-Item7-NRPS-COM_Cterm_Fill_0,61_cluster_FNTE|5a217a|1926-2085|8238|61_cluster_FNTE-3135-Item6-E-Item7-NRPS-COM_Cterm_Fill_0
