46:104,S,'68',102@1:68_genome_HdaliensisNBRC106472___2_104,45
45:104,S,'68',102@1;102,S,100,'48'@1:7,44
44:102,S,100,'48'@1;'48',T,107,'48'@1:10,43
43:'48',T,107,'48'@1;'48',T,'48',60@0.5:48_cluster_WAC1424cluster109|032d7e|0-121|6281|WAC1424cluster109_2457_0965,42
42:'48',T,'48',60@0.5;60,T,'39',60@0.5:39_cluster_UK68597|07c461|0-120|5066|UK68597_1940_0965,41
41:60,T,'39',60@0.5;60,S,'29',58@1:29_genome_Pekiskomycin___286_0,40
40:60,S,'29',58@1;58,T,76,58@1:16,39
39:58,T,76,58@1;58,T,'47',58@1:47_genome_WAC01420___199_8,38
38:58,T,'47',58@1;58,T,70,58@1:24,37
37:58,T,70,58@1;58,T,58,55@0.5:27,36
36:58,T,58,55@0.5;55,T,'13',55@0.5:13_genome_AspOK074cluster1___20_6,35
35:55,T,'13',55@0.5;55,S,'70',53@1:70_genome_TLI55___9_1768,34
34:55,S,'70',53@1;53,S,'61',51@1:61_genome_FNTE___1_5643,33
33:53,S,'61',51@1;51,S,'54','43'@1:54_genome_WAC05379___281_10,43_genome_WAC01325___104_6
27:58,T,58,55@0.5;58,S,'02','49'@1:02_genome_A47934___47_7,49_genome_WAC01438___0_5751
24:58,T,70,58@1;70,S,69,66@1:20,23
23:70,S,69,66@1;66,S,'35','50'@1:35_genome_SspNRRLS1521___263_9,50_genome_WAC01529___0_1461
20:70,S,69,66@1;69,S,'31','32'@1:31_genome_SluteocolorNRBC13826___100_22,32_genome_Ssilaceus___518_3
16:58,T,76,58@1;76,S,'59','57'@1:59_genome_WAC06783___1_374,57_genome_WAC06725___42_10
10:'48',T,107,'48'@1;107,S,'56','12'@1:56_genome_WAC06369___192_12,12_genome_ArifDSM43936___0_643
7:102,S,100,'48'@1;100,S,'28',98@1:28_genome_NcoxDSM45129___89_215,6
6:100,S,'28',98@1;98,T,'48',98@1:48_genome_WAC01424___0_577,5
5:98,T,'48',98@1;98,S,'71','01'@1:71_genome_kistamicin___0_5473,01_genome_A40926___3_4286
