1008:30,S,'42',28@1:42_cluster_WAC00631|c8684d|3971-4063|5477|42_cluster_WAC00631-2042-Item25-A_tyr-Item26-PCP_Fill_0,1007
1007:30,S,'42',28@1;28,S,27,24@1:3,1006
1006:28,S,27,24@1;24,T,43,24@0.61:76,1005
1005:24,T,43,24@0.61;24,T,24,55@0.97:133,1004
1004:24,T,24,55@0.97;55,S,53,'68'@0.97:848,1003
1003:55,S,53,'68'@0.97;'68',T,'49','68'@0.47:959,1002
1002:'68',T,'49','68'@0.47;'68',D,'68','68'@0.75:68_cluster_HdaliensisNBRC106472.cluster001|77aaf4|2958-3039|9260|68_cluster_HdaliensisNBRC106472.cluster001-3532-Item8-A_asp-Item9-PCP_Fill_0,1001
1001:'68',D,'68','68'@0.75;'68',D,'68','68'@0.54:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|7062-7131|9306|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item29-A_no_call-Item30-PCP_Fill_0,1000
1000:'68',D,'68','68'@0.54;'68',T,'68','49'@0.19:68_cluster_HdaliensisNBRC106472.cluster001|4de7cc|8124-8197|9379|68_cluster_HdaliensisNBRC106472.cluster001-3548-Item65-A_asp-Item66-PCP_Fill_0,999
999:'68',T,'68','49'@0.19;'49',T,'68','49'@0.6:985,998
998:'49',T,'68','49'@0.6;'49',T,'49','68'@0.52:49_cluster_WAC1438rc4d|d6be1d|5189-5298|6469|49_cluster_WAC1438rc4d-2521-Item50-A_ser-Item51-PCP_Fill_0,997
997:'49',T,'49','68'@0.52;'68',T,'49','68'@0.22:993,996
996:'68',T,'49','68'@0.22;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|4de7cc|6000-6068|9367|68_cluster_HdaliensisNBRC106472.cluster001-3548-Item59-A_asp-Item60-PCP_Fill_0,68_cluster_HdaliensisNBRC106472.cluster001|55deb0|11178-11246|9330|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item41-A_asp-Item42-PCP_Fill_0
993:'68',T,'49','68'@0.22;'49',T,'68','49'@0.39:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|1939-2008|9276|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item14-A_asp-Item15-PCP_Fill_0,992
992:'49',T,'68','49'@0.39;'49',T,'49','67'@0.3:49_cluster_WAC1438rc4d|da5867|889-976|6476|49_cluster_WAC1438rc4d-2520-Item5-A_hpg-Item6-PCP_Fill_0,991
991:'49',T,'49','67'@0.3;'67',T,'67','49'@0.7:67_cluster_STLI053.cluster001|3a97f0|1962-2048|9071|67_cluster_STLI053.cluster001-3496-Item11-A_asp-Item12-PCP_Fill_0,49_cluster_WAC1438rc4d|f4aa9d|7334-7420|6582|49_cluster_WAC1438rc4d-2522-Item71-A_ser-Item72-PCP_Fill_0
985:'49',T,'68','49'@0.6;'68',D,'68','68'@1:981,984
984:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|4de7cc|3973-4042|9355|68_cluster_HdaliensisNBRC106472.cluster001-3548-Item53-A_tyr-Item54-PCP_Fill_0,68_cluster_HdaliensisNBRC106472.cluster001|55deb0|2945-3014|9282|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item17-A_ser-Item18-PCP_Fill_0
981:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|4de7cc|870-939|9337|68_cluster_HdaliensisNBRC106472.cluster001-3548-Item44-A_asn-Item45-PCP_Fill_0,980
980:'68',D,'68','68'@1;'68',D,'68','68'@1:972,979
979:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|3980-4050|9288|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item20-A_no_call-Item21-PCP_Fill_0,978
978:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|6064-6133|9300|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item26-A_no_call-Item27-PCP_Fill_0,977
977:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|4de7cc|1885-1954|9343|68_cluster_HdaliensisNBRC106472.cluster001-3548-Item47-A_tyr-Item48-PCP_Fill_0,68_cluster_HdaliensisNBRC106472.cluster001|55deb0|10144-10213|9324|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item38-A_tyr-Item39-PCP_Fill_0
972:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|4de7cc|4977-5046|9361|68_cluster_HdaliensisNBRC106472.cluster001-3548-Item56-A_asp-Item57-PCP_Fill_0,971
971:'68',D,'68','68'@1;'68',D,'68','68'@1:967,970
970:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|5060-5128|9294|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item23-A_no_call-Item24-PCP_Fill_0,68_cluster_HdaliensisNBRC106472.cluster001|4de7cc|2943-3012|9349|68_cluster_HdaliensisNBRC106472.cluster001-3548-Item50-A_no_call-Item51-PCP_Fill_0
967:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|4de7cc|7087-7156|9373|68_cluster_HdaliensisNBRC106472.cluster001-3548-Item62-A_no_call-Item63-PCP_Fill_0,68_cluster_HdaliensisNBRC106472.cluster001|55deb0|9129-9198|9318|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item35-A_no_call-Item36-PCP_Fill_0
959:'68',T,'49','68'@0.47;'49',T,'68','49'@0.081:893,958
958:'49',T,'68','49'@0.081;'49',T,'49','69'@0.2:49_cluster_WAC1438rc4d|da5867|6271-6357|6506|49_cluster_WAC1438rc4d-2520-Item20-A_thr-Item21-PCP_Fill_0,957
957:'49',T,'49','69'@0.2;'69',T,'69','68'@0.12:913,956
956:'69',T,'69','68'@0.12;'68',T,'69','68'@0.2:952,955
955:'68',T,'69','68'@0.2;'68',T,'68','67'@0.56:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|878-959|9270|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item11-A_no_call-Item12-PCP_Fill_0,67_cluster_STLI053.cluster001|e171e6|8357-8439|9161|67_cluster_STLI053.cluster001-3498-Item55-A_leu-Item56-PCP_Fill_0
952:'68',T,'69','68'@0.2;'69',T,'69','67'@0.32:920,951
951:'69',T,'69','67'@0.32;'67',T,'67','69'@0.44:943,950
950:'67',T,'67','69'@0.44;'69',T,'69','71'@0.23:69_cluster_MchersinaDSM44151|4931ca|879-962|9453|69_cluster_MchersinaDSM44151-3595-Item4-A_asn-Item5-PCP_Fill_0,949
949:'69',T,'69','71'@0.23;'71',T,'69','71'@0.55:69_cluster_MchersinaDSM44151|89c115|5140-5222|9531|69_cluster_MchersinaDSM44151-3597-Item42-A_gly-Item43-PCP_Fill_0,948
948:'71',T,'69','71'@0.55;'71',T,'69','71'@0.77:69_cluster_MchersinaDSM44151|89c115|7273-7358|9543|69_cluster_MchersinaDSM44151-3597-Item48-A_ala-Item49-PCP_Fill_0,71_cluster_Kistamicin|c2bb94|873-952|9817|71_cluster_Kistamicin-3713-Item23-A_no_call-Item24-PCP_Fill_0
943:'67',T,'67','69'@0.44;'67',D,'67','67'@1:67_cluster_STLI053.cluster001|4e2fef|2016-2101|9084|67_cluster_STLI053.cluster001-3497-Item17-A_glu-Item18-PCP_Fill_0,942
942:'67',D,'67','67'@1;'67',D,'67','67'@1:924,941
941:'67',D,'67','67'@1;'67',D,'67','67'@1:67_cluster_STLI053.cluster001|e171e6|5150-5229|9143|67_cluster_STLI053.cluster001-3498-Item46-A_gly-Item47-PCP_Fill_0,940
940:'67',D,'67','67'@1;'67',D,'67','67'@1:928,939
939:'67',D,'67','67'@1;'67',D,'67','67'@1:67_cluster_STLI053.cluster001|e171e6|4087-4165|9137|67_cluster_STLI053.cluster001-3498-Item43-A_no_call-Item44-PCP_Fill_0,938
938:'67',D,'67','67'@1;'67',D,'67','67'@1:932,937
937:'67',D,'67','67'@1;'67',D,'67','67'@1:67_cluster_STLI053.cluster001|4e2fef|5211-5289|9102|67_cluster_STLI053.cluster001-3497-Item26-A_no_call-Item27-PCP_Fill_0,936
936:'67',D,'67','67'@1;'67',D,'67','67'@1:67_cluster_STLI053.cluster001|4e2fef|4158-4236|9096|67_cluster_STLI053.cluster001-3497-Item23-A_no_call-Item24-PCP_Fill_0,67_cluster_STLI053.cluster001|e171e6|6235-6313|9149|67_cluster_STLI053.cluster001-3498-Item49-A_val-Item50-PCP_Fill_0
932:'67',D,'67','67'@1;'67',D,'67','67'@1:67_cluster_STLI053.cluster001|4e2fef|926-1004|9078|67_cluster_STLI053.cluster001-3497-Item14-A_no_call-Item15-PCP_Fill_0,67_cluster_STLI053.cluster001|e171e6|7286-7364|9155|67_cluster_STLI053.cluster001-3498-Item52-A_no_call-Item53-PCP_Fill_0
928:'67',D,'67','67'@1;'67',D,'67','67'@1:67_cluster_STLI053.cluster001|e171e6|3028-3106|9131|67_cluster_STLI053.cluster001-3498-Item40-A_thr-Item41-PCP_Fill_0,67_cluster_STLI053.cluster001|e171e6|1966-2044|9125|67_cluster_STLI053.cluster001-3498-Item37-A_hpg-Item38-PCP_Fill_0
924:'67',D,'67','67'@1;'67',D,'67','67'@1:67_cluster_STLI053.cluster001|4e2fef|3094-3174|9090|67_cluster_STLI053.cluster001-3497-Item20-A_no_call-Item21-PCP_Fill_0,67_cluster_STLI053.cluster001|e171e6|902-982|9119|67_cluster_STLI053.cluster001-3498-Item34-A_no_call-Item35-PCP_Fill_0
920:'69',T,'69','67'@0.32;'69',D,'69','69'@1:69_cluster_MchersinaDSM44151|60540f|2002-2084|9472|69_cluster_MchersinaDSM44151-3596-Item13-A_nrp-Item14-PCP_Fill_0,919
