868:60,D,60,60@1:142,867
867:60,D,60,60@1;60,S,46,59@1:859,866
866:60,S,46,59@1;59,SL,55,58@1;58,D,58,58@1:862,865
865:58,D,58,58@1;58,S,'12','56'@1:12_cluster_ArifDSM43936-4|04fca8|430-636|1642|12_cluster_ArifDSM43936-1-661-Item2-Cond-Item3-A_nrp_Fill_0,56_cluster_WAC06369|6e6f2f|5479-5685|7625|56_cluster_WAC06369-2953-Item56-Cond-Item57-A_nrp_Fill_0
862:58,D,58,58@1;58,S,'12','56'@1:12_cluster_ArifDSM43936-2|6da040|1059-1248|1545|12_cluster_ArifDSM43936-1-657-Item3-Cond-Item4-A_thr_Fill_0,56_cluster_WAC06369|394215|1329-1518|7578|56_cluster_WAC06369-2952-Item33-Cond-Item34-A_thr_Fill_0
859:60,S,46,59@1;46,D,46,46@1:165,858
858:46,D,46,46@1;46,S,44,'67'@1:790,857
857:46,S,44,'67'@1;'67',T,'68','67'@1:68_cluster_HdaliensisNBRC106472.cluster001|77aaf4|2377-2557|9258|68_cluster_HdaliensisNBRC106472.cluster001-3532-Item7-Cond-Item8-A_asp_Fill_0,856
856:'67',T,'68','67'@1;'67',T,'68','67'@0.5:804,855
855:'67',T,'68','67'@0.5;'67',D,'67','67'@1:829,854
854:'67',D,'67','67'@1;'67',T,'49','67'@1:850,853
853:'67',T,'49','67'@1;'67',T,'67','69'@1:67_cluster_STLI053.cluster001|4e2fef|2510-2689|9088|67_cluster_STLI053.cluster001-3497-Item19-Cond-Item20-A_no_call_Fill_0,69_cluster_MchersinaDSM44151|60540f|1419-1599|9470|69_cluster_MchersinaDSM44151-3596-Item12-Cond-Item13-A_nrp_Fill_0
850:'67',T,'49','67'@1;'49',D,'49','49'@1:832,849
849:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|f4aa9d|4603-4784|6568|49_cluster_WAC1438rc4d-2522-Item64-Cond-Item65-A_phe_Fill_0,848
848:'49',D,'49','49'@1;'49',D,'49','49'@1:836,847
847:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|da5867|4580-4762|6498|49_cluster_WAC1438rc4d-2520-Item16-Cond-Item17-A_nrp_Fill_0,846
846:'49',D,'49','49'@1;'49',D,'49','49'@1:842,845
845:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|d6be1d|2464-2645|6455|49_cluster_WAC1438rc4d-2521-Item43-Cond-Item44-A_nrp_Fill_0,49_cluster_WAC1438rc4d|d6be1d|4592-4786|6467|49_cluster_WAC1438rc4d-2521-Item49-Cond-Item50-A_ser_Fill_0
842:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|f4aa9d|6743-6936|6580|49_cluster_WAC1438rc4d-2522-Item70-Cond-Item71-A_ser_Fill_0,841
841:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|da5867|11020-11202|6534|49_cluster_WAC1438rc4d-2520-Item34-Cond-Item35-A_ser_Fill_0,49_cluster_WAC1438rc4d|f4aa9d|1404-1601|6550|49_cluster_WAC1438rc4d-2522-Item55-Cond-Item56-A_ser_Fill_0
836:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|da5867|9952-10133|6528|49_cluster_WAC1438rc4d-2520-Item31-Cond-Item32-A_hpg_Fill_0,49_cluster_WAC1438rc4d|d6be1d|1382-1566|6449|49_cluster_WAC1438rc4d-2521-Item40-Cond-Item41-A_nrp_Fill_0
832:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|da5867|2449-2630|6486|49_cluster_WAC1438rc4d-2520-Item10-Cond-Item11-A_nrp_Fill_0,49_cluster_WAC1438rc4d|da5867|3514-3698|6492|49_cluster_WAC1438rc4d-2520-Item13-Cond-Item14-A_asp_Fill_0
829:'67',D,'67','67'@1;'67',D,'67','67'@1:815,828
828:'67',D,'67','67'@1;'67',D,'67','67'@0.5:67_cluster_STLI053.cluster001|4e2fef|1415-1605|9082|67_cluster_STLI053.cluster001-3497-Item16-Cond-Item17-A_glu_Fill_0,827
827:'67',D,'67','67'@0.5;'67',T,'67','69'@0.5:823,826
826:'67',T,'67','69'@0.5;'69',D,'69','69'@1:69_cluster_MchersinaDSM44151|89c115|3515-3692|9523|69_cluster_MchersinaDSM44151-3597-Item38-Cond-Item39-A_nrp_Fill_0,69_cluster_MchersinaDSM44151|60540f|2491-2668|9476|69_cluster_MchersinaDSM44151-3596-Item15-Cond-Item16-A_thr_Fill_0
823:'67',T,'67','69'@0.5;'67',D,'67','67'@0.5:819,822
822:'67',D,'67','67'@0.5;'67',T,'67','69'@0.5:67_cluster_STLI053.cluster001|3a97f0|1376-1556|9069|67_cluster_STLI053.cluster001-3496-Item10-Cond-Item11-A_asp_Fill_0,69_cluster_MchersinaDSM44151|4931ca|1371-1549|9457|69_cluster_MchersinaDSM44151-3595-Item6-Cond-Item7-A_asn_Fill_0
819:'67',D,'67','67'@0.5;'67',T,'69','67'@0.5:69_cluster_MchersinaDSM44151|89c115|5631-5810|9535|69_cluster_MchersinaDSM44151-3597-Item44-Cond-Item45-A_val_Fill_0,67_cluster_STLI053.cluster001|e171e6|5639-5825|9147|67_cluster_STLI053.cluster001-3498-Item48-Cond-Item49-A_val_Fill_0
815:'67',D,'67','67'@1;'67',D,'67','67'@1:811,814
814:'67',D,'67','67'@1;'67',D,'67','67'@1:67_cluster_STLI053.cluster001|e171e6|3515-3692|9135|67_cluster_STLI053.cluster001-3498-Item42-Cond-Item43-A_no_call_Fill_0,67_cluster_STLI053.cluster001|e171e6|7774-7963|9159|67_cluster_STLI053.cluster001-3498-Item54-Cond-Item55-A_leu_Fill_0
811:'67',D,'67','67'@1;'67',T,'69','67'@1:807,810
810:'67',T,'69','67'@1;'67',D,'67','67'@1:67_cluster_STLI053.cluster001|4e2fef|3584-3764|9094|67_cluster_STLI053.cluster001-3497-Item22-Cond-Item23-A_no_call_Fill_0,67_cluster_STLI053.cluster001|e171e6|1392-1572|9123|67_cluster_STLI053.cluster001-3498-Item36-Cond-Item37-A_hpg_Fill_0
807:'67',T,'69','67'@1;'69',D,'69','69'@1:69_cluster_MchersinaDSM44151|89c115|1391-1568|9511|69_cluster_MchersinaDSM44151-3597-Item32-Cond-Item33-A_hpg_Fill_0,69_cluster_MchersinaDSM44151|60540f|3567-3748|9482|69_cluster_MchersinaDSM44151-3596-Item18-Cond-Item19-A_hpg_Fill_0
804:'67',T,'68','67'@0.5;'68',T,'69','68'@0.5:69_cluster_MchersinaDSM44151|89c115|7764-7950|9547|69_cluster_MchersinaDSM44151-3597-Item50-Cond-Item51-A_hpg_Fill_0,803
803:'68',T,'69','68'@0.5;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|4450-4622|9292|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item22-Cond-Item23-A_no_call_Fill_0,802
802:'68',D,'68','68'@1;'68',D,'68','68'@1:798,801
801:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|3413-3592|9286|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item19-Cond-Item20-A_no_call_Fill_0,68_cluster_HdaliensisNBRC106472.cluster001|4de7cc|3412-3594|9353|68_cluster_HdaliensisNBRC106472.cluster001-3548-Item52-Cond-Item53-A_tyr_Fill_0
798:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|6518-6691|9304|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item28-Cond-Item29-A_no_call_Fill_0,797
797:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|10615-10803|9328|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item40-Cond-Item41-A_asp_Fill_0,68_cluster_HdaliensisNBRC106472.cluster001|4de7cc|5448-5631|9365|68_cluster_HdaliensisNBRC106472.cluster001-3548-Item58-Cond-Item59-A_asp_Fill_0
790:46,S,44,'67'@1;44,T,58,44@0.84:750,789
789:44,T,58,44@0.84;44,S,30,43@0.88:773,788
788:44,S,30,43@0.88;43,T,'70',43@1:70_cluster_TLI55.cluster001|1dcea7|1978-2155|9671|70_cluster_TLI55.cluster001-3658-Item5-Cond-Item6-A_no_call_Fill_0,787
787:43,T,'70',43@1;43,S,'62',41@1:62_cluster_SspCNQ329.cluster001|288edd|1086-1261|8356|62_cluster_SspCNQ329.cluster001-3213-Item5-Cond-Item6-A_no_call_Fill_0,786
786:43,S,'62',41@1;41,S,40,37@1:778,785
785:41,S,40,37@1;37,S,35,'63'@0.5:781,784
784:37,S,35,'63'@0.5;'63',T,'63','65'@0.5:63_cluster_SspCNQ525.cluster001|47a90b|1085-1261|8451|63_cluster_SspCNQ525.cluster001-3269-Item5-Cond-Item6-A_no_call_Fill_0,65_cluster_SspCNT371.cluster001|e00a01|1085-1261|8752|65_cluster_SspCNT371.cluster001-3381-Item5-Cond-Item6-A_no_call_Fill_0
781:37,S,35,'63'@0.5;35,SL,'65',33@0.5;33,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|1efe89|1085-1261|8655|64_cluster_SspCNQ865.cluster001-3325-Item5-Cond-Item6-A_no_call_Fill_0,66_cluster_SspCNY243.cluster001|26108b|1031-1207|8911|66_cluster_SspCNY243.cluster001-3435-Item5-Cond-Item6-A_no_call_Fill_0
778:41,S,40,37@1;40,S,'33','58'@1:33_cluster_SspCNQ509|c57782|941-1117|4364|33_cluster_SspCNQ509-1691-Item5-Cond-Item6-A_nrp_Fill_0,58_cluster_WAC06738cluster004|1bd006|950-1125|7828|58_cluster_WAC06738cluster004-3020-Item3-Cond-Item4-A_nrp_Fill_0
773:44,S,30,43@0.88;30,S,'42',28@0.29:763,772
772:30,S,'42',28@0.29;28,SL,27,24@0.29;24,SL,'47',22@0.59;22,SL,14,21@0.88;21,S,20,17@1:766,771
771:21,S,20,17@1;17,T,'13',17@1:13_cluster_AspOK074cluster1|2f3ccd|1845-2032|1753|13_cluster_AspOK074cluster1-691-Item35-Cond-Item36-A_nrp_Fill_0,770
770:17,T,'13',17@1;17,S,'35','50'@1:35_cluster_SspNRRLS1521-3|4d8679|1837-2025|4652|35_cluster_SspNRRLS1521-1-1760-Item15-Cond-Item16-A_nrp_Fill_0,50_cluster_WAC01529|b2e10b|1846-2034|6718|50_cluster_WAC01529-2568-Item36-Cond-Item37-A_nrp_Fill_0
766:21,S,20,17@1;20,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|26e45e|1838-2024|4150|31_cluster_SluteocolorNRBC13826-1611-Item40-Cond-Item41-A_nrp_Fill_0,32_cluster_Ssilaceus-3|0da9d1|1838-2024|4277|32_cluster_Ssilaceus-1-1656-Item9-Cond-Item10-A_nrp_Fill_0
763:30,S,'42',28@0.29;'42',TL,'42',41@0.2;41,S,37,40@0.65:757,762
762:41,S,37,40@0.65;40,T,'62',40@0.65:62_cluster_SspCNQ329.cluster001|288edd|2138-2323|8362|62_cluster_SspCNQ329.cluster001-3213-Item8-Cond-Item9-A_no_call_Fill_0,761
761:40,T,'62',40@0.65;40,S,'33','58'@1:33_cluster_SspCNQ509|c57782|1994-2185|4370|33_cluster_SspCNQ509-1691-Item8-Cond-Item9-A_val_Fill_0,58_cluster_WAC06738cluster004|1bd006|1999-2187|7834|58_cluster_WAC06738cluster004-3020-Item6-Cond-Item7-A_val_Fill_0
757:41,S,37,40@0.65;37,SL,'63',35@0.35;35,S,'65',33@0.65:65_cluster_SspCNT371.cluster001|e00a01|2132-2317|8758|65_cluster_SspCNT371.cluster001-3381-Item8-Cond-Item9-A_no_call_Fill_0,756
756:35,S,'65',33@0.65;33,T,'63',33@0.65:63_cluster_SspCNQ525.cluster001|47a90b|2129-2314|8457|63_cluster_SspCNQ525.cluster001-3269-Item8-Cond-Item9-A_no_call_Fill_0,755
755:33,T,'63',33@0.65;33,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|1efe89|2132-2317|8661|64_cluster_SspCNQ865.cluster001-3325-Item8-Cond-Item9-A_no_call_Fill_0,66_cluster_SspCNY243.cluster001|26108b|2078-2263|8917|66_cluster_SspCNY243.cluster001-3435-Item8-Cond-Item9-A_no_call_Fill_0
750:44,T,58,44@0.84;58,D,58,58@0.84:176,749
749:58,D,58,58@0.84;58,D,58,58@0.84:179,748
748:58,D,58,58@0.84;58,T,44,58@0.72:744,747
747:58,T,44,58@0.72;58,S,'12','56'@1:12_cluster_ArifDSM43936-3|b905de|1143-1317|1591|12_cluster_ArifDSM43936-1-659-Item3-Cond-Item4-A_nrp_Fill_0,56_cluster_WAC06369|3856d8|1119-1293|7524|56_cluster_WAC06369-2950-Item7-Cond-Item8-A_nrp_Fill_0
744:58,T,44,58@0.72;44,D,44,44@0.72:722,743
743:44,D,44,44@0.72;44,T,44,101@0.72:725,742
742:44,T,44,101@0.72;101,S,97,100@0.88:738,741
741:101,S,97,100@0.88;100,S,'18','26'@1:18_cluster_Chloroeremomycin-1|4e2bb9|2381-2563|2387|18_cluster_Chloroeremomycin-1-960-Item7-Cond-Item8-A_asn_Fill_0,26_cluster_KaridNRRLB16535chlor|4e2bb9|2381-2563|3447|26_cluster_KaridNRRLB16535chlor-1354-Item7-Cond-Item8-A_asn_Fill_0
738:101,S,97,100@0.88;97,S,96,93@1:728,737
737:97,S,96,93@1;93,S,'11',91@1:11_cluster_AregGY080|d0f836|2384-2562|1470|11_cluster_AregGY080-601-Item7-Cond-Item8-A_asn_Fill_0,736
736:93,S,'11',91@1;91,SL,90,85@1;85,S,84,81@1:03_cluster_AalbaDSM44262|b89e0c|2362-2540|356|03_cluster_AalbaDSM44262-95-Item7-Cond-Item8-A_asn_Fill_0,735
735:85,S,84,81@1;81,S,'09',79@1:09_cluster_AOHO0100074|5a50ae|2378-2556|1216|09_cluster_AOHO0100074-461-Item7-Cond-Item8-A_asn_Fill_0,734
734:81,S,'09',79@1;79,SL,78,73@1;73,SL,67,72@1;72,SL,'07',70@1;70,S,'40','51'@1:40_cluster_Vancomycin|b91546|2379-2557|5207|40_cluster_Vancomycin-1955-Item7-Cond-Item8-A_asn_Fill_0,51_cluster_WAC4169cluster051|ba280c|2381-2559|6827|51_cluster_WAC4169cluster051-2640-Item26-Cond-Item25-A_asn_Fill_0
03_cluster_AalbaDSM44262|b89e0c|2362-2540|356|03_cluster_AalbaDSM44262-95-Item7-Cond-Item8-A_asn_Fill_0:85,S,84,81@1;84,SL,'04','03'@1
728:97,S,96,93@1;96,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|8cd520|2382-2562|617|05_cluster_AbalhimycinaFH1894-230-Item7-Cond-Item8-A_asn_Fill_0,14_cluster_Balhimycin|c600a7|2382-2562|1887|14_cluster_Balhimycin-708-Item7-Cond-Item8-A_asn_Fill_0
725:44,T,44,101@0.72;44,SL,43,30@0.7;30,SL,'42',28@0.69;28,SL,27,24@0.68;24,S,22,'47'@0.67:29_cluster_pekiskomycin|cb4f2e|724-906|3815|29_cluster_pekiskomycin-1527-Item7-Cond-Item8-A_leu_Fill_0,47_cluster_WAC1420|6cb684|2399-2580|6269|47_cluster_WAC1420-2415-Item7-Cond-Item8-A_leu_Fill_0
