40:109,S,101,108@1:8,39
39:109,S,101,108@1;108,S,106,'69'@1:13,38
38:108,S,106,'69'@1;'69',T,'69',84@0.33:07_cluster_AkerFH1893nogabecin|72c7b1|0-369|841|AkerFH1893nogabecin_362_0096,37
37:'69',T,'69',84@0.33;84,S,'03','04'@0.67:21,36
36:84,S,'03','04'@0.67;'04',T,'04',78@0.67:04_cluster_AazureaDSM43854|cdd9f8|0-369|408|AazureaDSM43854_185_0096,35
35:'04',T,'04',78@0.67;78,S,'55',76@1:55_cluster_WAC05977|30bfb1|0-369|7383|WAC05977_2927_0370,34
34:78,S,'55',76@1;76,T,67,76@1:30,33
33:76,T,67,76@1;76,S,'52','08'@1:52_cluster_WAC4182cluster089|e2e3c8|0-369|6940|WAC4182cluster089_2717_0370,08_cluster_AlurRistocetin|3f6e12|0-369|968|AlurRistocetin_406_0096
30:76,T,67,76@1;67,S,'06',65@1:06_cluster_Ajap-Ristocetin|13e2ae|0-369|710|Ajap-Ristocetin_311_0096,29
29:67,S,'06',65@1;65,S,'53',63@1:53_cluster_WAC4197cluster073|4c5234|0-369|7115|WAC4197cluster073_2812_0096,28
28:65,S,'53',63@1;63,S,'25','27'@1:25_cluster_JPLW01000007|4c5234|0-369|3240|JPLW01000007_1306_0096,27_cluster_KF882511-Ristocetin|4c5234|0-369|3534|KF882511-Ristocetin_1440_0096
21:84,S,'03','04'@0.67;'03',T,'03','09'@0.33:03_cluster_AalbaDSM44262|839ff6|0-369|262|AalbaDSM44262_117_0096,20
20:'03',T,'03','09'@0.33;'09',T,'09',70@0.5:09_cluster_AOHO0100074|d94862|0-369|1123|AOHO0100074_484_0370,19
19:'09',T,'09',70@0.5;70,S,'40','51'@1:40_cluster_Vancomycin|7c826c|0-369|5178|Vancomycin_1977_0370,51_cluster_WAC4169cluster051|19a670|0-369|6764|WAC4169cluster051_2617_0370
07_cluster_AkerFH1893nogabecin|72c7b1|0-369|841|AkerFH1893nogabecin_362_0096:'69',T,'69',84@0.33;'69',TL,'69','07'@0.67
13:108,S,106,'69'@1;106,S,'10',104@1:10_cluster_ArectNRRLB16090|c24f07|0-373|1237|ArectNRRLB16090_525_0370,12
12:106,S,'10',104@1;104,S,'39','60'@1:39_cluster_UK68597|b346bc|0-373|5045|UK68597_1919_0370,60_cluster_AsubtropicusNRRLB24665|44bc9a|0-373|8030|AsubtropicusNRRLB24665_3106_0370
8:109,S,101,108@1;101,S,97,100@1:2,7
7:101,S,97,100@1;100,T,'11',100@1:11_cluster_AregGY080|a4b2be|0-369|1411|AregGY080_624_0096,6
6:100,T,'11',100@1;100,S,'18','26'@1:18_cluster_Chloroeremomycin-2|8e74bb|0-369|2446|Chloroeremomycin-1_984_0096,26_cluster_KaridNRRLB16535chlor|8e74bb|0-369|3391|KaridNRRLB16535chlor_1377_0096
2:101,S,97,100@1;97,SL,93,96@1;96,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|be23c8|0-369|554|AbalhimycinaFH1894_253_0370,14_cluster_Balhimycin|be23c8|0-369|1816|Balhimycin_731_0370
