1028:93,T,93,40@0.12:172,1027
1027:93,T,93,40@0.12;40,S,36,39@inf:843,1026
1026:40,S,36,39@inf;39,T,39,45@inf:904,1025
1025:39,T,39,45@inf;45,D,45,45@inf:937,1024
1024:45,D,45,45@inf;45,TTD,-1,45@inf:940,1023
1023:45,TTD,-1,45@inf;45,S,'10',43@inf:10_cluster_ArectNRRLB16090|9ee539|933-998|1316|10_cluster_ArectNRRLB16090-520-Item10-PCP_0,1022
1022:45,S,'10',43@inf;43,TTD,-1,43@inf:28_cluster_NcoxDSM45129|26d899|955-1022|3733|28_cluster_NcoxDSM45129-1495-Item17-PCP_0,1021
1021:43,TTD,-1,43@inf;43,S,'39','60'@inf:39_cluster_UK68597|e5e4cd|958-1025|5116|39_cluster_UK68597-1912-Item15-PCP_0,1020
1020:43,S,'39','60'@inf;'60',T,'60',32@inf:60_cluster_AsubtropicusNRRLB24665|294514|957-1023|8075|60_cluster_AsubtropicusNRRLB24665-3100-Item15-PCP_0,1019
1019:'60',T,'60',32@inf;32,T,'47',32@inf:947,1018
1018:32,T,'47',32@inf;32,TTD,-1,32@inf:01_cluster_A40926|2105e4|957-1024|63|01_cluster_A40926-23-Item17-PCP_0,1017
1017:32,TTD,-1,32@inf;32,TTD,32,-1@inf:977,1016
1016:32,TTD,32,-1@inf;-1,TLFD,-1,29@inf;29,S,'03','04'@-nan:988,1015
1015:29,S,'03','04'@-nan;'04',T,'04',19@-nan:04_cluster_AazureaDSM43854|40c465|1006-1070|493|04_cluster_AazureaDSM43854-159-Item13-PCP_0,1014
1014:'04',T,'04',19@-nan;19,T,35,19@-nan:992,1013
1013:19,T,35,19@-nan;19,T,'55',19@-nan:55_cluster_WAC05977|7779c3|947-1015|7430|55_cluster_WAC05977-2904-Item13-PCP_0,1012
1012:19,T,'55',19@-nan;19,T,25,19@-nan:1000,1011
1011:19,T,25,19@-nan;19,TTD,19,-1@-nan:1003,1010
1010:19,TTD,19,-1@-nan;-1,TLFD,-1,4@-nan;4,S,'53',2@-nan:1006,1009
1009:4,S,'53',2@-nan;2,S,'25','27'@-nan:25_cluster_JPLW01000007|f68926|947-1014|3300|25_cluster_JPLW01000007-1283-Item14-PCP_0,27_cluster_KF882511-Ristocetin|f68926|947-1014|3604|27_cluster_KF882511-Ristocetin-1416-Item14-PCP_0
1006:4,S,'53',2@-nan;'53',T,'06','53'@-nan:06_cluster_Ajap-Ristocetin|b7eff3|947-1015|777|06_cluster_Ajap-Ristocetin-286-Item14-PCP_0,53_cluster_WAC4197cluster073|a35ef6|947-1015|7179|53_cluster_WAC4197cluster073-2789-Item13-PCP_0
1003:19,TTD,19,-1@-nan;19,S,'08','52'@-nan:08_cluster_AlurRistocetin|b5adf0|947-1014|1047|08_cluster_AlurRistocetin-429-Item20-PCP_0,52_cluster_WAC4182cluster089|6721ad|947-1014|6994|52_cluster_WAC4182cluster089-2741-Item20-PCP_0
1000:19,T,25,19@-nan;25,TTD,-1,25@-nan:07_cluster_AkerFH1893nogabecin|5b689a|954-1021|899|07_cluster_AkerFH1893nogabecin-340-Item14-PCP_0,999
999:25,TTD,-1,25@-nan;25,S,'45',23@-nan:45_cluster_WAC1376cluster143|89a266|947-1015|5899|45_cluster_WAC1376cluster143-2261-Item19-PCP_0,998
998:25,S,'45',23@-nan;23,S,'44','46'@-nan:44_cluster_WAC1375|5eeb3d|951-1019|5679|44_cluster_WAC1375-2129-Item13-PCP_0,46_cluster_WAC1416cluster068|d6e140|951-1019|6090|46_cluster_WAC1416cluster068-2306-Item13-PCP_0
07_cluster_AkerFH1893nogabecin|5b689a|954-1021|899|07_cluster_AkerFH1893nogabecin-340-Item14-PCP_0:25,TTD,-1,25@-nan;-1,TLFD,-1,'07'@-nan
