100:55,TTD,-1,55@0.98:4,99
99:55,TTD,-1,55@0.98;55,S,'68',53@0.98:15,98
98:55,S,'68',53@0.98;53,S,'28',51@0.98:18,97
97:53,S,'28',51@0.98;51,T,21,51@0.045:45,96
96:51,T,21,51@0.045;51,T,'42',51@0.49:42_cluster_WAC00631|1bb7cb|0-366|5411|WAC00631_2057_0371,95
95:51,T,'42',51@0.49;51,S,49,'48'@0.98:71_cluster_Kistamicin|5126e2|0-360|9775|Kistamicin_3724_0409,94
94:51,S,49,'48'@0.98;'48',T,'48',79@0.001:48_cluster_WAC1424cluster109|d3ced4|0-359|6290|WAC1424cluster109_2466_0368,93
93:'48',T,'48',79@0.001;79,T,100,79@0.001:51,92
92:79,T,100,79@0.001;79,T,96,79@0.0011:58,91
91:79,T,96,79@0.0011;79,T,'11',79@0.0066:11_cluster_AregGY080|1d09c6|0-347|1406|AregGY080_619_0368,90
90:79,T,'11',79@0.0066;79,TTD,-1,79@0.033:03_cluster_AalbaDSM44262|848775|0-352|257|AalbaDSM44262_112_0368,89
89:79,TTD,-1,79@0.033;79,TTD,-1,79@0.055:04_cluster_AazureaDSM43854|ed6ac8|0-352|404|AazureaDSM43854_181_0368,88
88:79,TTD,-1,79@0.055;79,S,78,73@0.078:72,87
87:79,S,78,73@0.078;73,S,67,72@1:79,86
86:73,S,67,72@1;72,S,'07',70@1:07_cluster_AkerFH1893nogabecin|b70a66|0-350|836|AkerFH1893nogabecin_357_0368,85
85:72,S,'07',70@1;70,T,'09',70@0.5:09_cluster_AOHO0100074|3fe319|0-350|1118|AOHO0100074_479_0368,84
84:70,T,'09',70@0.5;70,S,'40','51'@1:40_cluster_Vancomycin|423e20|0-344|5173|Vancomycin_1972_0368,51_cluster_WAC4169cluster051|380945|0-350|6769|WAC4169cluster051_2622_0368
79:73,S,67,72@1;67,S,'06',65@1:06_cluster_Ajap-Ristocetin|623576|0-350|706|Ajap-Ristocetin_307_0368,78
78:67,S,'06',65@1;65,S,'53',63@1:53_cluster_WAC4197cluster073|499514|0-350|7111|WAC4197cluster073_2808_0368,77
77:65,S,'53',63@1;63,S,'25','27'@1:25_cluster_JPLW01000007|2da801|0-350|3236|JPLW01000007_1302_0368,27_cluster_KF882511-Ristocetin|2da801|0-350|3530|KF882511-Ristocetin_1436_0368
72:79,S,78,73@0.078;78,T,90,78@0.22:66,71
71:78,T,90,78@0.22;78,S,'55',76@1:55_cluster_WAC05977|b438c9|0-353|7379|WAC05977_2923_0368,70
