312:60,S,59,46@1:36,311
311:60,S,59,46@1;46,S,'67',44@1:127,310
310:46,S,'67',44@1;44,S,30,43@0.5:69_cluster_MchersinaDSM44151|60540f|5924-5936|9496|69_cluster_MchersinaDSM44151-3596-Item25-PCP-Item26-Cond_Fill_0,309
309:44,S,30,43@0.5;43,T,43,'67'@0.31:237,308
308:43,T,43,'67'@0.31;'67',T,'69','67'@0.31:69_cluster_MchersinaDSM44151|4931ca|1027-1076|9455|69_cluster_MchersinaDSM44151-3595-Item5-PCP-Item6-Cond_Fill_0,307
307:'67',T,'69','67'@0.31;'67',D,'67','67'@0.078:253,306
306:'67',D,'67','67'@0.078;'67',T,'67','69'@0.11:300,305
305:'67',T,'67','69'@0.11;'69',D,'69','69'@1:69_cluster_MchersinaDSM44151|60540f|2151-2198|9474|69_cluster_MchersinaDSM44151-3596-Item14-PCP-Item15-Cond_Fill_0,304
304:'69',D,'69','69'@1;'69',D,'69','69'@1:69_cluster_MchersinaDSM44151|89c115|3177-3223|9521|69_cluster_MchersinaDSM44151-3597-Item37-PCP-Item38-Cond_Fill_0,69_cluster_MchersinaDSM44151|60540f|5353-5398|9492|69_cluster_MchersinaDSM44151-3596-Item23-PCP-Item24-Cond_Fill_0
300:'67',T,'67','69'@0.11;'67',T,'69','67'@0.23:69_cluster_MchersinaDSM44151|60540f|1075-1122|9468|69_cluster_MchersinaDSM44151-3596-Item11-PCP-Item12-Cond_Fill_0,299
299:'67',T,'69','67'@0.23;'67',T,'67','49'@0.038:259,298
298:'67',T,'67','49'@0.038;'49',T,'49','68'@0.067:294,297
297:'49',T,'49','68'@0.067;'68',T,'68','69'@0.6:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|3082-3128|9284|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item18-PCP-Item19-Cond_Fill_0,69_cluster_MchersinaDSM44151|89c115|5288-5336|9533|69_cluster_MchersinaDSM44151-3597-Item43-PCP-Item44-Cond_Fill_0
294:'49',T,'49','68'@0.067;'49',T,'69','49'@0.24:69_cluster_MchersinaDSM44151|60540f|3230-3276|9480|69_cluster_MchersinaDSM44151-3596-Item17-PCP-Item18-Cond_Fill_0,293
293:'49',T,'69','49'@0.24;'49',T,'68','49'@0.37:68_cluster_HdaliensisNBRC106472.cluster001|77aaf4|2051-2097|9256|68_cluster_HdaliensisNBRC106472.cluster001-3532-Item6-PCP-Item7-Cond_Fill_0,292
292:'49',T,'68','49'@0.37;'49',T,'68','49'@0.69:270,291
