312:14,S,'13',12@0:6,311
311:14,S,'13',12@0;12,S,11,6@0:69,310
310:12,S,11,6@0;6,S,4,'70'@0:92,309
309:6,S,4,'70'@0;'70',T,43,'70'@0.00049:105,308
308:'70',T,43,'70'@0.00049;'70',T,'70','49'@0:236,307
307:'70',T,'70','49'@0;'49',T,'69','49'@0.00024:69_cluster_MchersinaDSM44151|4931ca|1027-1076|9455|69_cluster_MchersinaDSM44151-3595-Item5-PCP-Item6-Cond_Fill_0,306
306:'49',T,'69','49'@0.00024;'49',T,'67','49'@0.00034:252,305
305:'49',T,'67','49'@0.00034;'49',T,'49','69'@0.00095:299,304
304:'49',T,'49','69'@0.00095;'69',D,'69','69'@0.18:69_cluster_MchersinaDSM44151|60540f|2151-2198|9474|69_cluster_MchersinaDSM44151-3596-Item14-PCP-Item15-Cond_Fill_0,303
303:'69',D,'69','69'@0.18;'69',D,'69','69'@0.24:69_cluster_MchersinaDSM44151|89c115|3177-3223|9521|69_cluster_MchersinaDSM44151-3597-Item37-PCP-Item38-Cond_Fill_0,69_cluster_MchersinaDSM44151|60540f|5353-5398|9492|69_cluster_MchersinaDSM44151-3596-Item23-PCP-Item24-Cond_Fill_0
299:'49',T,'49','69'@0.00095;'49',T,'69','49'@0.0032:69_cluster_MchersinaDSM44151|60540f|1075-1122|9468|69_cluster_MchersinaDSM44151-3596-Item11-PCP-Item12-Cond_Fill_0,298
298:'49',T,'69','49'@0.0032;'49',T,'67','49'@0.0019:258,297
297:'49',T,'67','49'@0.0019;'49',T,'49','68'@0.0054:293,296
296:'49',T,'49','68'@0.0054;'68',T,'68','69'@0.22:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|3082-3128|9284|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item18-PCP-Item19-Cond_Fill_0,69_cluster_MchersinaDSM44151|89c115|5288-5336|9533|69_cluster_MchersinaDSM44151-3597-Item43-PCP-Item44-Cond_Fill_0
293:'49',T,'49','68'@0.0054;'49',T,'69','49'@0.032:69_cluster_MchersinaDSM44151|60540f|3230-3276|9480|69_cluster_MchersinaDSM44151-3596-Item17-PCP-Item18-Cond_Fill_0,292
292:'49',T,'69','49'@0.032;'49',T,'68','49'@0.073:68_cluster_HdaliensisNBRC106472.cluster001|77aaf4|2051-2097|9256|68_cluster_HdaliensisNBRC106472.cluster001-3532-Item6-PCP-Item7-Cond_Fill_0,291
291:'49',T,'68','49'@0.073;'49',T,'68','49'@0.11:269,290
290:'49',T,'68','49'@0.11;'49',D,'49','49'@0.16:49_cluster_WAC1438rc4d|d6be1d|4247-4295|6465|49_cluster_WAC1438rc4d-2521-Item48-PCP-Item49-Cond_Fill_0,289
289:'49',D,'49','49'@0.16;'49',D,'49','49'@0.11:285,288
288:'49',D,'49','49'@0.11;'49',D,'49','49'@0.25:49_cluster_WAC1438rc4d|f4aa9d|1061-1109|6548|49_cluster_WAC1438rc4d-2522-Item54-PCP-Item55-Cond_Fill_0,49_cluster_WAC1438rc4d|da5867|3171-3219|6490|49_cluster_WAC1438rc4d-2520-Item12-PCP-Item13-Cond_Fill_0
285:'49',D,'49','49'@0.11;'49',D,'49','49'@0.15:49_cluster_WAC1438rc4d|da5867|10679-10726|6532|49_cluster_WAC1438rc4d-2520-Item33-PCP-Item34-Cond_Fill_0,284
