94:47,TTD,47,-1@1:8,93
93:47,TTD,47,-1@1;-1,TLFD,-1,73@1;73,S,'47',71@1:13,92
92:73,S,'47',71@1;71,TTD,71,-1@0.75:26,91
91:71,TTD,71,-1@0.75;-1,DD,-1,-1@0.3:41,90
90:-1,DD,-1,-1@0.3;-1,TLFD,-1,36@0.19;36,TTD,-1,36@0.62:71_cluster_Kistamicin|7b9896|0-429|9771|Kistamicin_3720_0081,89
89:36,TTD,-1,36@0.62;36,S,35,32@1:45,88
88:36,S,35,32@1;32,TTD,-1,32@0.75:50,87
87:32,TTD,-1,32@0.75;32,TTD,-1,32@0.5:53,86
86:32,TTD,-1,32@0.5;32,S,'11',30@1:11_cluster_AregGY080|4d141d|0-427|1415|AregGY080_628_0081,85
85:32,S,'11',30@1;30,S,29,26@1:03_cluster_AalbaDSM44262|a4120c|0-408|266|AalbaDSM44262_121_0093,84
84:30,S,29,26@1;26,S,25,20@1:60,83
83:26,S,25,20@1;20,TTD,-1,20@1:04_cluster_AazureaDSM43854|1f40b5|0-404|413|AazureaDSM43854_190_0093,82
82:20,TTD,-1,20@1;20,S,19,16@1:66,81
81:20,S,19,16@1;16,SL,'55',14@1;14,S,'09',12@1:09_cluster_AOHO0100074|987a02|0-408|1127|AOHO0100074_488_0093,80
80:14,S,'09',12@1;12,TTD,-1,12@0.5:70,79
79:12,TTD,-1,12@0.5;12,S,11,6@0.5:07_cluster_AkerFH1893nogabecin|7c8244|0-404|845|AkerFH1893nogabecin_366_0093,78
78:12,S,11,6@0.5;6,S,'06',4@1:06_cluster_Ajap-Ristocetin|7d990f|0-404|715|Ajap-Ristocetin_316_0093,77
77:6,S,'06',4@1;4,S,'53',2@1:53_cluster_WAC4197cluster073|6c4ac0|0-404|7120|WAC4197cluster073_2817_0093,76
76:4,S,'53',2@1;2,S,'25','27'@1:25_cluster_JPLW01000007|350c77|0-404|3245|JPLW01000007_1311_0093,27_cluster_KF882511-Ristocetin|350c77|0-404|3539|KF882511-Ristocetin_1445_0093
07_cluster_AkerFH1893nogabecin|7c8244|0-404|845|AkerFH1893nogabecin_366_0093:12,S,11,6@0.5;11,SL,9,'07'@0.5
70:12,TTD,-1,12@0.5;-1,TLFD,-1,9@0.5;9,S,'40','51'@1:40_cluster_Vancomycin|06f719|0-408|5182|Vancomycin_1981_0093,51_cluster_WAC4169cluster051|5fd1d2|0-408|6760|WAC4169cluster051_2613_0093
66:20,S,19,16@1;19,S,'08','52'@1:08_cluster_AlurRistocetin|f26a4f|0-405|963|AlurRistocetin_401_0093,65
65:19,S,'08','52'@1;'52',TTD,-1,'52'@0.5:55_cluster_WAC05977|288b8a|0-405|7388|WAC05977_2932_0093,52_cluster_WAC4182cluster089|d7b221|0-405|6934|WAC4182cluster089_2711_0093
55_cluster_WAC05977|288b8a|0-405|7388|WAC05977_2932_0093:'52',TTD,-1,'52'@0.5;-1,TLFD,-1,'55'@0.5
04_cluster_AazureaDSM43854|1f40b5|0-404|413|AazureaDSM43854_190_0093:20,TTD,-1,20@1;-1,TLFD,-1,'04'@1
60:26,S,25,20@1;25,S,'45',23@1:45_cluster_WAC1376cluster143|a62daf|0-385|5821|WAC1376cluster143_2237_0093,59
59:25,S,'45',23@1;23,S,'44','46'@1:44_cluster_WAC1375|8bbf0b|0-404|5662|WAC1375_2152_0093,46_cluster_WAC1416cluster068|e3901e|0-404|5996|WAC1416cluster068_2329_0093
03_cluster_AalbaDSM44262|a4120c|0-408|266|AalbaDSM44262_121_0093:30,S,29,26@1;29,SL,'04','03'@1
53:32,TTD,-1,32@0.5;-1,TLFD,-1,39@0.5;39,S,'18','26'@1:18_cluster_Chloroeremomycin-2|af103b|0-432|2450|Chloroeremomycin-1_988_0081,26_cluster_KaridNRRLB16535chlor|af103b|0-432|3395|KaridNRRLB16535chlor_1381_0081
50:32,TTD,-1,32@0.75;-1,DD,-1,-1@0.12:48_cluster_WAC1424cluster109|2df7bf|0-438|6285|WAC1424cluster109_2461_0081,49
49:-1,DD,-1,-1@0.12;-1,DD,-1,-1@0.053:01_cluster_A40926|70cd0f|0-434|5|A40926_5_0081,28_cluster_NcoxDSM45129|d79c44|0-434|3654|NcoxDSM45129_1480_0081
28_cluster_NcoxDSM45129|d79c44|0-434|3654|NcoxDSM45129_1480_0081:-1,DD,-1,-1@0.053;-1,TLFD,-1,'28'@0.33
01_cluster_A40926|70cd0f|0-434|5|A40926_5_0081:-1,DD,-1,-1@0.053;-1,TLFD,-1,'01'@0.3
48_cluster_WAC1424cluster109|2df7bf|0-438|6285|WAC1424cluster109_2461_0081:-1,DD,-1,-1@0.12;-1,TLFD,-1,'48'@0.3
45:36,S,35,32@1;35,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|eb2924|0-434|558|AbalhimycinaFH1894_257_0081,14_cluster_Balhimycin|763424|0-434|1820|Balhimycin_735_0081
71_cluster_Kistamicin|7b9896|0-429|9771|Kistamicin_3720_0081:36,TTD,-1,36@0.62;-1,TLFD,-1,'71'@1
41:-1,DD,-1,-1@0.3;-1,TLFD,-1,107@0.18;107,TTD,107,-1@0.38:29,40
40:107,TTD,107,-1@0.38;-1,DD,-1,-1@0.12:36,39
39:-1,DD,-1,-1@0.12;-1,DD,-1,-1@0.07:62_cluster_SspCNQ329.cluster001|373d4a|0-434|8265|SspCNQ329_3206_0081,33_cluster_SspCNQ509|9f2909|0-434|4318|SspCNQ509_1685_0081
33_cluster_SspCNQ509|9f2909|0-434|4318|SspCNQ509_1685_0081:-1,DD,-1,-1@0.07;-1,TLFD,-1,'33'@0.34
62_cluster_SspCNQ329.cluster001|373d4a|0-434|8265|SspCNQ329_3206_0081:-1,DD,-1,-1@0.07;-1,TLFD,-1,'62'@0.34
36:-1,DD,-1,-1@0.12;-1,TLFD,-1,82@0.33;82,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|aaaf53|0-434|8565|SspCNQ865_3319_0081,35
35:82,S,'64','66'@1;'66',TTD,-1,'66'@0.5:65_cluster_SspCNT371.cluster001|0fb3b7|0-434|8716|SspCNT371_3375_0081,34
34:'66',TTD,-1,'66'@0.5;'66',TTD,-1,'66'@0.5:63_cluster_SspCNQ525.cluster001|644e48|0-434|8414|SspCNQ525_3263_0081,66_cluster_SspCNY243.cluster001|3d3eb7|0-434|8865|SspCNY243_3429_0081
63_cluster_SspCNQ525.cluster001|644e48|0-434|8414|SspCNQ525_3263_0081:'66',TTD,-1,'66'@0.5;-1,TLFD,-1,'63'@0.5
65_cluster_SspCNT371.cluster001|0fb3b7|0-434|8716|SspCNT371_3375_0081:'66',TTD,-1,'66'@0.5;-1,TLFD,-1,'65'@0.5
29:107,TTD,107,-1@0.38;107,S,'12','56'@1:12_cluster_ArifDSM43936-1|bf21a5|0-454|1520|ArifDSM43936-1_652_0081,56_cluster_WAC06369|bf21a5|0-454|7478|WAC06369_2945_0081
