40:14,S,'55',12@1:55_cluster_WAC05977|30bfb1|0-369|7383|WAC05977_2927_0370,39
39:14,S,'55',12@1;12,S,11,6@1:27,38
38:12,S,11,6@1;6,T,6,19@0.5:34,37
37:6,T,6,19@0.5;19,S,'52','08'@1:52_cluster_WAC4182cluster089|e2e3c8|0-369|6940|WAC4182cluster089_2717_0370,08_cluster_AlurRistocetin|3f6e12|0-369|968|AlurRistocetin_406_0096
34:6,T,6,19@0.5;6,S,'06',4@1:06_cluster_Ajap-Ristocetin|13e2ae|0-369|710|Ajap-Ristocetin_311_0096,33
33:6,S,'06',4@1;4,S,'53',2@1:53_cluster_WAC4197cluster073|4c5234|0-369|7115|WAC4197cluster073_2812_0096,32
32:4,S,'53',2@1;2,S,'25','27'@1:25_cluster_JPLW01000007|4c5234|0-369|3240|JPLW01000007_1306_0096,27_cluster_KF882511-Ristocetin|4c5234|0-369|3534|KF882511-Ristocetin_1440_0096
27:12,S,11,6@1;11,T,'04',11@0.5:04_cluster_AazureaDSM43854|cdd9f8|0-369|408|AazureaDSM43854_185_0096,26
26:11,T,'04',11@0.5;11,S,'07',9@1:18,25
25:11,S,'07',9@1;9,T,'03',9@0.5:03_cluster_AalbaDSM44262|839ff6|0-369|262|AalbaDSM44262_117_0096,24
24:9,T,'03',9@0.5;9,T,'09',9@0.5:09_cluster_AOHO0100074|d94862|0-369|1123|AOHO0100074_484_0370,23
23:9,T,'09',9@0.5;9,S,'40','51'@1:40_cluster_Vancomycin|7c826c|0-369|5178|Vancomycin_1977_0370,51_cluster_WAC4169cluster051|19a670|0-369|6764|WAC4169cluster051_2617_0370
18:11,S,'07',9@1;'07',TTD,'07',-1@0.7:07_cluster_AkerFH1893nogabecin|72c7b1|0-369|841|AkerFH1893nogabecin_362_0096,17
17:'07',TTD,'07',-1@0.7;-1,TFD,-1,35@0.058:7,16
16:-1,TFD,-1,35@0.058;35,TTD,35,-1@0.28:10,15
15:35,TTD,35,-1@0.28;-1,TFD,'11',-1@0.067:11_cluster_AregGY080|a4b2be|0-369|1411|AregGY080_624_0096,14
14:-1,TFD,'11',-1@0.067;-1,TLFD,-1,39@0.33;39,S,'18','26'@1:18_cluster_Chloroeremomycin-2|8e74bb|0-369|2446|Chloroeremomycin-1_984_0096,26_cluster_KaridNRRLB16535chlor|8e74bb|0-369|3391|KaridNRRLB16535chlor_1377_0096
10:35,TTD,35,-1@0.28;35,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|be23c8|0-369|554|AbalhimycinaFH1894_253_0370,14_cluster_Balhimycin|be23c8|0-369|1816|Balhimycin_731_0370
7:-1,TFD,-1,35@0.058;-1,TFD,-1,'39'@0.027:10_cluster_ArectNRRLB16090|c24f07|0-373|1237|ArectNRRLB16090_525_0370,6
6:-1,TFD,-1,'39'@0.027;'39',T,'39','60'@0.2:39_cluster_UK68597|b346bc|0-373|5045|UK68597_1919_0370,60_cluster_AsubtropicusNRRLB24665|44bc9a|0-373|8030|AsubtropicusNRRLB24665_3106_0370
10_cluster_ArectNRRLB16090|c24f07|0-373|1237|ArectNRRLB16090_525_0370:-1,TFD,-1,'39'@0.027;-1,TLFD,-1,'10'@0.31
