100:21,T,21,27@0.14:8,99
99:21,T,21,27@0.14;27,T,'02',27@0.79:21,98
98:27,T,'02',27@0.79;27,T,27,49@0.98:24,97
97:27,T,27,49@0.98;49,S,'01','71'@0.98:45,96
96:49,S,'01','71'@0.98;'71',T,'42','71'@0.98:42_cluster_WAC00631|1bb7cb|0-366|5411|WAC00631_2057_0371,95
95:'71',T,'42','71'@0.98;'71',T,'71',84@0.061:71_cluster_Kistamicin|5126e2|0-360|9775|Kistamicin_3724_0409,94
94:'71',T,'71',84@0.061;84,T,'48',84@0.061:48_cluster_WAC1424cluster109|d3ced4|0-359|6290|WAC1424cluster109_2466_0368,93
93:84,T,'48',84@0.061;84,T,100,84@0.12:51,92
92:84,T,100,84@0.12;84,T,96,84@0.12:58,91
91:84,T,96,84@0.12;84,T,'11',84@0.5:11_cluster_AregGY080|1d09c6|0-347|1406|AregGY080_619_0368,90
90:84,T,'11',84@0.5;84,S,'03','04'@1:03_cluster_AalbaDSM44262|848775|0-352|257|AalbaDSM44262_112_0368,89
89:84,S,'03','04'@1;'04',T,'04',78@0.25:04_cluster_AazureaDSM43854|ed6ac8|0-352|404|AazureaDSM43854_181_0368,88
88:'04',T,'04',78@0.25;78,T,78,73@0.25:72,87
87:78,T,78,73@0.25;73,S,67,72@1:79,86
86:73,S,67,72@1;72,S,'07',70@1:07_cluster_AkerFH1893nogabecin|b70a66|0-350|836|AkerFH1893nogabecin_357_0368,85
85:72,S,'07',70@1;70,T,'09',70@1:09_cluster_AOHO0100074|3fe319|0-350|1118|AOHO0100074_479_0368,84
84:70,T,'09',70@1;70,S,'40','51'@1:40_cluster_Vancomycin|423e20|0-344|5173|Vancomycin_1972_0368,51_cluster_WAC4169cluster051|380945|0-350|6769|WAC4169cluster051_2622_0368
79:73,S,67,72@1;67,S,'06',65@1:06_cluster_Ajap-Ristocetin|623576|0-350|706|Ajap-Ristocetin_307_0368,78
78:67,S,'06',65@1;65,S,'53',63@1:53_cluster_WAC4197cluster073|499514|0-350|7111|WAC4197cluster073_2808_0368,77
77:65,S,'53',63@1;63,S,'25','27'@1:25_cluster_JPLW01000007|2da801|0-350|3236|JPLW01000007_1302_0368,27_cluster_KF882511-Ristocetin|2da801|0-350|3530|KF882511-Ristocetin_1436_0368
72:78,T,78,73@0.25;78,T,90,78@0.5:66,71
71:78,T,90,78@0.5;78,S,'55',76@1:55_cluster_WAC05977|b438c9|0-353|7379|WAC05977_2923_0368,70
70:78,S,'55',76@1;76,S,'08','52'@1:08_cluster_AlurRistocetin|23183e|0-374|972|AlurRistocetin_410_0368,52_cluster_WAC4182cluster089|9eed5e|0-353|6944|WAC4182cluster089_2721_0368
66:78,T,90,78@0.5;90,S,'45',88@1:45_cluster_WAC1376cluster143|a31bb8|0-350|5826|WAC1376cluster143_2242_0368,65
65:90,S,'45',88@1;88,S,'44','46'@1:44_cluster_WAC1375|f68daf|0-350|5657|WAC1375_2147_0368,46_cluster_WAC1416cluster068|f68daf|0-350|5991|WAC1416cluster068_2324_0368
58:84,T,96,84@0.12;96,T,96,'29'@0.25:54,57
57:96,T,96,'29'@0.25;'29',T,'29','47'@0.49:29_cluster_pekiskomycin|043bd4|0-356|3791|pekiskomycin_1545_0368,47_cluster_WAC1420|088aeb|0-360|6184|WAC1420_2434_0368
54:96,T,96,'29'@0.25;96,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|f6ad56|0-340|549|AbalhimycinaFH1894_248_0368,14_cluster_Balhimycin|c4fe07|0-356|1811|Balhimycin_726_0368
51:84,T,100,84@0.12;100,S,'18','26'@1:18_cluster_Chloroeremomycin-2|c0dad0|0-363|2442|Chloroeremomycin-1_980_0368,26_cluster_KaridNRRLB16535chlor|d6a2ec|0-357|3387|KaridNRRLB16535chlor_1373_0368
45:49,S,'01','71'@0.98;'01',T,4,'01'@0.49:41,44
44:'01',T,4,'01'@0.49;'01',T,'01','28'@0.99:01_cluster_A40926|2648ed|0-343|39|A40926_39_0421,28_cluster_NcoxDSM45129|bb4deb|0-356|3650|NcoxDSM45129_1476_0421
41:'01',T,4,'01'@0.49;4,T,4,'10'@0.25:29,40
