34:43,S,'62',41@1:62_cluster_SspCNQ329.cluster001|7c2c30|1916-1946|8338|62_cluster_SspCNQ329.cluster001-3217-Item40-A_no_call-Item41-TE_Fill_0,33
33:43,S,'62',41@1;41,S,40,37@1:3,32
32:41,S,40,37@1;37,T,37,4@0.5:10,31
31:37,T,37,4@0.5;4,T,4,17@0.25:13,30
30:4,T,4,17@0.25;17,T,'42',17@0.25:18,29
29:17,T,'42',17@0.25;17,S,'35','50'@1:35_cluster_SspNRRLS1521-3|4d8679|3473-3500|4660|35_cluster_SspNRRLS1521-1-1760-Item19-A_nrp-Item20-TE_Fill_0,28
28:17,S,'35','50'@1;'50',T,20,'50'@1:22,27
27:'50',T,20,'50'@1;'50',T,'13','50'@1:13_cluster_AspOK074cluster1|2f3ccd|3461-3490|1761|13_cluster_AspOK074cluster1-691-Item39-A_nrp-Item40-TE_Fill_0,26
26:'50',T,'13','50'@1;'50',T,'70','50'@1:70_cluster_TLI55.cluster001|412004|9151-9187|9734|70_cluster_TLI55.cluster001-3659-Item36-A_no_call-Item37-TE_Fill_0,50_cluster_WAC01529|b2e10b|3488-3518|6726|50_cluster_WAC01529-2568-Item40-A_nrp-Item41-TE_Fill_0
22:'50',T,20,'50'@1;20,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|26e45e|3458-3489|4158|31_cluster_SluteocolorNRBC13826-1611-Item44-A_nrp-Item45-TE_Fill_0,32_cluster_Ssilaceus-3|0da9d1|3458-3489|4285|32_cluster_Ssilaceus-1-1656-Item13-A_nrp-Item14-TE_Fill_0
18:17,T,'42',17@0.25;'42',T,'42',27@0.5:42_cluster_WAC00631|01badb|1954-1989|5496|42_cluster_WAC00631-2043-Item34-A_nrp-Item35-TE_Fill_0,17
17:'42',T,'42',27@0.5;27,S,'57','59'@1:57_cluster_WAC06725|689653|1909-1940|7748|57_cluster_WAC06725-2979-Item34-A_no_call-Item35-TE_Fill_0,59_cluster_WAC06783|725a6d|1911-1940|7996|59_cluster_WAC06783-3060-Item34-A_nrp-Item35-TE_Fill_0
13:4,T,4,17@0.25;4,S,'61',2@1:61_cluster_FNTE|ff42bb|1876-1901|8220|61_cluster_FNTE-3138-Item31-A_no_call-Item32-TE_Fill_0,43_cluster_WAC01325|b58f24|1888-1913|5595|43_cluster_WAC01325-2081-Item31-A_nrp-Item32-TE_Fill_0
43_cluster_WAC01325|b58f24|1888-1913|5595|43_cluster_WAC01325-2081-Item31-A_nrp-Item32-TE_Fill_0:4,S,'61',2@1;2,SL,'54','43'@1
10:37,T,37,4@0.5;37,S,'63',35@1:63_cluster_SspCNQ525.cluster001|286c95|1905-1935|8528|63_cluster_SspCNQ525.cluster001-3273-Item42-A_no_call-Item43-TE_Fill_0,9
9:37,S,'63',35@1;35,S,'65',33@1:65_cluster_SspCNT371.cluster001|25c062|1905-1935|8829|65_cluster_SspCNT371.cluster001-3385-Item42-A_no_call-Item43-TE_Fill_0,8
8:35,S,'65',33@1;33,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|c6a231|1905-1935|8637|64_cluster_SspCNQ865.cluster001-3329-Item42-A_no_call-Item43-TE_Fill_0,66_cluster_SspCNY243.cluster001|fe4486|1905-1935|8988|66_cluster_SspCNY243.cluster001-3439-Item42-A_no_call-Item43-TE_Fill_0
3:41,S,40,37@1;40,S,'33','58'@1:33_cluster_SspCNQ509|511064|1907-1938|4442|33_cluster_SspCNQ509-1695-Item42-A_nrp-Item43-TE_Fill_0,58_cluster_WAC06738cluster004|67b8a2|1907-1938|7816|58_cluster_WAC06738cluster004-3024-Item39-A_nrp-Item40-TE_Fill_0
