868:93,S,92,79@0.98:376,867
867:93,S,92,79@0.98;79,S,'42',77@1:419,866
866:79,S,'42',77@1;77,S,76,73@1:540,865
865:77,S,76,73@1;73,S,'47',71@1:561,864
864:73,S,'47',71@1;71,T,107,71@1:564,863
863:71,T,107,71@1;71,T,107,71@1:567,862
862:71,T,107,71@1;71,T,107,71@1:578,861
861:71,T,107,71@1;71,S,70,63@0.63:617,860
860:71,S,70,63@0.63;63,T,'68',63@0.4:684,859
859:63,T,'68',63@0.4;63,S,61,'13'@0.63:707,858
858:63,S,61,'13'@0.63;'13',T,107,'13'@0.63:714,857
857:'13',T,107,'13'@0.63;'13',T,107,'13'@0.63:747,856
856:'13',T,107,'13'@0.63;'13',T,'13','67'@0.27:778,855
855:'13',T,'13','67'@0.27;'67',T,'69','67'@0.12:781,854
854:'67',T,'69','67'@0.12;'67',T,'67','49'@0.09:796,853
853:'67',T,'67','49'@0.09;'49',T,'68','49'@0.11:827,852
852:'49',T,'68','49'@0.11;'49',T,'49','67'@0.3:848,851
851:'49',T,'49','67'@0.3;'67',T,'67','69'@0.51:67_cluster_STLI053.cluster001|e171e6|302-497|9117|67_cluster_STLI053.cluster001-3498-Item33-Cond-Item34-A_no_call_Fill_0,69_cluster_MchersinaDSM44151|89c115|301-495|9505|69_cluster_MchersinaDSM44151-3597-Item29-Cond-Item30-A_nrp_Fill_0
848:'49',T,'49','67'@0.3;'49',D,'49','49'@1:844,847
847:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|da5867|5659-5849|6504|49_cluster_WAC1438rc4d-2520-Item19-Cond-Item20-A_thr_Fill_0,49_cluster_WAC1438rc4d|da5867|6744-6929|6510|49_cluster_WAC1438rc4d-2520-Item22-Cond-Item23-A_hpg_Fill_0
844:'49',D,'49','49'@1;'49',D,'49','49'@1:836,843
