44:24,S,'03',22@0.99:03_cluster_AalbaDSM44262|d92df6|0-276|254|AalbaDSM44262_109_0524,43
43:24,S,'03',22@0.99;22,S,16,21@0.99:5,42
42:22,S,16,21@0.99;21,TTD,21,-1@0.68:28,41
41:21,TTD,21,-1@0.68;-1,TFD,35,-1@0.052:33,40
40:-1,TFD,35,-1@0.052;-1,TFD,-1,39@0.093:36,39
39:-1,TFD,-1,39@0.093;39,S,'18','26'@1:18_cluster_Chloroeremomycin-2|2ce03e|0-276|2439|Chloroeremomycin-1_977_0524,26_cluster_KaridNRRLB16535chlor|2ce03e|0-276|3384|KaridNRRLB16535chlor_1370_0524
36:-1,TFD,-1,39@0.093;-1,TFD,'29',-1@0.067:29_cluster_pekiskomycin|52235c|0-279|3787|pekiskomycin_1541_0524,47_cluster_WAC1420|e5bc52|0-274|6180|WAC1420_2430_0524
47_cluster_WAC1420|e5bc52|0-274|6180|WAC1420_2430_0524:-1,TFD,'29',-1@0.067;-1,TLFD,-1,'47'@0.33
33:-1,TFD,35,-1@0.052;35,T,'11',35@0.2:11_cluster_AregGY080|3837a3|0-276|1403|AregGY080_616_0524,32
32:35,T,'11',35@0.2;35,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|ac6503|0-284|546|AbalhimycinaFH1894_245_0524,14_cluster_Balhimycin|ac6503|0-284|1808|Balhimycin_723_0524
28:21,TTD,21,-1@0.68;21,S,'04',19@1:04_cluster_AazureaDSM43854|e1fd07|0-274|401|AazureaDSM43854_178_0524,27
27:21,S,'04',19@1;19,TTD,19,-1@0.43:11,26
26:19,TTD,19,-1@0.43;-1,TFD,-1,29@0.1:20,25
25:-1,TFD,-1,29@0.1;29,S,'45',27@1:45_cluster_WAC1376cluster143|71f13e|0-277|5829|WAC1376cluster143_2245_0524,24
24:29,S,'45',27@1;27,S,'44','46'@1:44_cluster_WAC1375|510f77|0-277|5654|WAC1375_2144_0524,46_cluster_WAC1416cluster068|323a58|0-312|5988|WAC1416cluster068_2321_0524
20:-1,TFD,-1,29@0.1;-1,TFD,-1,6@0.13:07_cluster_AkerFH1893nogabecin|abfa38|0-274|833|AkerFH1893nogabecin_354_0524,19
19:-1,TFD,-1,6@0.13;6,S,'06',4@1:06_cluster_Ajap-Ristocetin|f26f58|0-276|703|Ajap-Ristocetin_304_0524,18
18:6,S,'06',4@1;4,S,'53',2@1:53_cluster_WAC4197cluster073|14b3d7|0-276|7108|WAC4197cluster073_2805_0524,17
17:4,S,'53',2@1;2,S,'25','27'@1:25_cluster_JPLW01000007|14b3d7|0-276|3233|JPLW01000007_1299_0524,27_cluster_KF882511-Ristocetin|14b3d7|0-276|3527|KF882511-Ristocetin_1433_0524
07_cluster_AkerFH1893nogabecin|abfa38|0-274|833|AkerFH1893nogabecin_354_0524:-1,TFD,-1,6@0.13;-1,TLFD,-1,'07'@0.63
11:19,TTD,19,-1@0.43;19,S,'08','52'@1:08_cluster_AlurRistocetin|10a524|0-276|975|AlurRistocetin_413_0524,10
10:19,S,'08','52'@1;'52',T,'52','55'@0.5:52_cluster_WAC4182cluster089|8c4963|0-276|6947|WAC4182cluster089_2724_0524,55_cluster_WAC05977|0aaa7b|0-276|7376|WAC05977_2920_0524
5:22,S,16,21@0.99;16,SL,14,'09'@0.49;'09',TTD,'09',-1@0.25:09_cluster_AOHO0100074|14d541|0-276|1115|AOHO0100074_476_0524,4
4:'09',TTD,'09',-1@0.25;-1,TLFD,-1,9@0.75;9,S,'40','51'@1:40_cluster_Vancomycin|659e79|0-276|5170|Vancomycin_1969_0524,51_cluster_WAC4169cluster051|b84c22|0-276|6772|WAC4169cluster051_2625_0524
