418:93,TTD,-1,93@1:14,417
417:93,TTD,-1,93@1;93,TTD,-1,93@1:21,416
416:93,TTD,-1,93@1;93,S,92,79@1:158,415
415:93,S,92,79@1;79,S,'42',77@1:161,414
414:79,S,'42',77@1;77,S,73,76@1:384,413
413:77,S,73,76@1;76,T,76,53@0.02:391,412
412:76,T,76,53@0.02;53,S,51,'61'@0.02:404,411
411:53,S,51,'61'@0.02;'61',T,'42','61'@0.0098:42_cluster_WAC00631|27de41|2120-2427|5438|42_cluster_WAC00631-2040-Item7-E_0,410
410:'61',T,'42','61'@0.0098;'61',T,'54','61'@0.0098:54_cluster_WAC05379-1|edff73|1626-1932|7243|54_cluster_WAC05379-1-2847-Item6-E_0,409
409:'61',T,'54','61'@0.0098;'61',T,'43','61'@0.0098:43_cluster_WAC01325|536b71|1621-1927|5612|43_cluster_WAC01325-2078-Item6-E_0,61_cluster_FNTE|5a217a|1618-1925|8237|61_cluster_FNTE-3135-Item6-E_0
404:53,S,51,'61'@0.02;51,T,76,51@0.074:394,403
403:51,T,76,51@0.074;51,T,51,76@0.2:399,402
402:51,T,51,76@0.2;76,S,'57','59'@1:57_cluster_WAC06725|451761|4524-4800|7732|57_cluster_WAC06725-2978-Item27-E_0,59_cluster_WAC06783|42685d|4524-4800|7980|59_cluster_WAC06783-3059-Item27-E_0
399:51,T,51,76@0.2;51,S,'54','43'@0.98:54_cluster_WAC05379-3|ba39af|4461-4737|7286|54_cluster_WAC05379-1-2851-Item14-E_0,398
398:51,S,'54','43'@0.98;'43',T,'61','43'@0.49:61_cluster_FNTE|83000e|4455-4733|8206|61_cluster_FNTE-3137-Item25-E_0,43_cluster_WAC01325|b6db0d|4455-4731|5581|43_cluster_WAC01325-2080-Item25-E_0
394:51,T,76,51@0.074;76,S,'57','59'@1:57_cluster_WAC06725|09ed46|1120-1424|7683|57_cluster_WAC06725-2976-Item4-E_0,59_cluster_WAC06783|64e4a6|1104-1408|7930|59_cluster_WAC06783-3057-Item4-E_0
391:76,T,76,53@0.02;76,D,76,76@0.3:387,390
390:76,D,76,76@0.3;76,S,'57','59'@1:57_cluster_WAC06725|09ed46|2644-2951|7691|57_cluster_WAC06725-2976-Item8-E_0,59_cluster_WAC06783|64e4a6|2628-2935|7938|59_cluster_WAC06783-3057-Item8-E_0
387:76,D,76,76@0.3;76,S,'57','59'@1:57_cluster_WAC06725|451761|2578-2890|7722|57_cluster_WAC06725-2978-Item23-E_0,59_cluster_WAC06783|42685d|2578-2890|7970|59_cluster_WAC06783-3059-Item23-E_0
384:77,S,73,76@1;73,T,73,45@0.1:288,383
383:73,T,73,45@0.1;45,TTD,-1,45@0.21:71_cluster_Kistamicin|011102|1072-1353|9854|71_cluster_Kistamicin-3711-Item9-E_0,382
382:45,TTD,-1,45@0.21;45,TTD,45,-1@0.41:378,381
381:45,TTD,45,-1@0.41;-1,DD,-1,-1@0.17:71_cluster_Kistamicin|8e9844|2070-2373|9803|71_cluster_Kistamicin-3712-Item17-E_0,71_cluster_Kistamicin|492fcd|1210-1505|9845|71_cluster_Kistamicin-3710-Item5-E_0
71_cluster_Kistamicin|492fcd|1210-1505|9845|71_cluster_Kistamicin-3710-Item5-E_0:-1,DD,-1,-1@0.17;-1,TLFD,-1,'71'@0.5
71_cluster_Kistamicin|8e9844|2070-2373|9803|71_cluster_Kistamicin-3712-Item17-E_0:-1,DD,-1,-1@0.17;-1,TLFD,-1,'71'@0.5
378:45,TTD,45,-1@0.41;45,T,45,107@0.094:348,377
377:45,T,45,107@0.094;107,T,107,66@0.077:365,376
376:107,T,107,66@0.077;66,T,'70',66@0.19:70_cluster_TLI55.cluster001|1dcea7|1051-1525|9668|70_cluster_TLI55.cluster001-3658-Item4-E_0,375
375:66,T,'70',66@0.19;66,S,'35','50'@1:35_cluster_SspNRRLS1521-3|4d8679|1050-1362|4649|35_cluster_SspNRRLS1521-1-1760-Item14-E_0,374
374:66,S,'35','50'@1;'50',T,'50',69@0.18:50_cluster_WAC01529|b2e10b|1059-1371|6715|50_cluster_WAC01529-2568-Item35-E_0,373
373:'50',T,'50',69@0.18;69,T,'13',69@0.18:13_cluster_AspOK074cluster1|2f3ccd|1055-1368|1750|13_cluster_AspOK074cluster1-691-Item34-E_0,372
372:69,T,'13',69@0.18;69,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|26e45e|1050-1362|4147|31_cluster_SluteocolorNRBC13826-1611-Item39-E_0,32_cluster_Ssilaceus-3|0da9d1|1050-1362|4274|32_cluster_Ssilaceus-1-1656-Item8-E_0
365:107,T,107,66@0.077;107,D,107,107@0.14:355,364
364:107,D,107,107@0.14;107,D,107,107@0.2:358,363
363:107,D,107,107@0.2;107,S,'56','12'@0.52:56_cluster_WAC06369|e01984|1083-1391|7564|56_cluster_WAC06369-2951-Item27-E_0,362
362:107,S,'56','12'@0.52;'12',T,'12','56'@0.26:12_cluster_ArifDSM43936-2|6da040|2858-3171|1556|12_cluster_ArifDSM43936-1-657-Item9-E_0,56_cluster_WAC06369|394215|3128-3441|7589|56_cluster_WAC06369-2952-Item39-E_0
358:107,D,107,107@0.2;107,S,'12','56'@1:12_cluster_ArifDSM43936-3|b905de|5727-6044|1618|12_cluster_ArifDSM43936-1-659-Item17-E_0,56_cluster_WAC06369|3856d8|5703-6020|7551|56_cluster_WAC06369-2950-Item21-E_0
355:107,D,107,107@0.14;107,D,107,107@0.25:351,354
354:107,D,107,107@0.25;107,S,'12','56'@1:12_cluster_ArifDSM43936-3|b905de|2702-3006|1602|12_cluster_ArifDSM43936-1-659-Item9-E_0,56_cluster_WAC06369|3856d8|2678-2982|7535|56_cluster_WAC06369-2950-Item13-E_0
351:107,D,107,107@0.25;107,S,'12','56'@1:12_cluster_ArifDSM43936-3|b905de|4188-4492|1610|12_cluster_ArifDSM43936-1-659-Item13-E_0,56_cluster_WAC06369|3856d8|4164-4468|7543|56_cluster_WAC06369-2950-Item17-E_0
348:45,T,45,107@0.094;45,S,43,'10'@1:344,347
