92:101,S,97,100@0.41:32,91
91:101,S,97,100@0.41;100,T,96,100@0.41:35,90
90:100,T,96,100@0.41;100,T,'29',100@0.38:38,89
89:100,T,'29',100@0.38;100,T,100,51@1:26_cluster_KaridNRRLB16535chlor|0047c0|0-321|3363|KaridNRRLB16535chlor_1349_0499,88
88:100,T,100,51@1;51,S,'48',49@1:48_cluster_WAC1424cluster109|bf8bfe|0-265|6283|WAC1424cluster109_2459_0499,87
87:51,S,'48',49@1;49,D,49,49@1:01_cluster_A40926|3ca8c0|0-321|36|A40926_36_0499,86
86:49,D,49,49@1;49,T,49,6@0.5:71_cluster_Kistamicin|1cd265|0-324|9777|Kistamicin_3726_0501,85
85:49,T,49,6@0.5;6,T,'67',6@0.071:49,84
84:6,T,'67',6@0.071;6,S,'70',4@1:78,83
83:6,S,'70',4@1;4,S,2,'61'@0.35:43_cluster_WAC01325|2e7ea3|0-293|5513|WAC01325_2076_0407,82
82:4,S,2,'61'@0.35;'61',T,'54','61'@0.35:54_cluster_WAC05379-1|70959e|0-293|7225|WAC05379-1_2845_0407,61_cluster_FNTE|f1054f|0-313|8118|FNTE_3132_0407
43_cluster_WAC01325|2e7ea3|0-293|5513|WAC01325_2076_0407:4,S,2,'61'@0.35;2,SL,'54','43'@0.65
78:6,S,'70',4@1;'70',T,43,'70'@0.12:72,77
77:'70',T,43,'70'@0.12;'70',T,'70','10'@0.5:70_cluster_TLI55.cluster001|71d3a3|0-300|9625|TLI55_3668_0443,76
76:'70',T,'70','10'@0.5;'10',T,'39','10'@0.5:39_cluster_UK68597|f98911|0-329|5059|UK68597_1933_0462,10_cluster_ArectNRRLB16090|9561e2|0-328|1256|ArectNRRLB16090_544_0462
72:'70',T,43,'70'@0.12;43,T,'68',43@0.12:52,71
71:43,T,'68',43@0.12;43,T,43,27@0.25:67,70
70:43,T,43,27@0.25;27,S,'57','59'@1:57_cluster_WAC06725|00b6bc|0-331|7654|WAC06725_2974_0482,59_cluster_WAC06783|ebe571|0-322|7900|WAC06783_3055_0482
67:43,T,43,27@0.25;43,T,'42',43@0.5:42_cluster_WAC00631|7f17c2|0-331|5392|WAC00631_2038_0482,66
66:43,T,'42',43@0.5;43,S,'62',41@1:62_cluster_SspCNQ329.cluster001|b2002a|0-274|8258|SspCNQ329_3199_0622,65
65:43,S,'62',41@1;41,S,37,40@1:61,64
64:41,S,37,40@1;40,S,'33','58'@1:33_cluster_SspCNQ509|274c97|0-204|4311|SspCNQ509_1678_0622,58_cluster_WAC06738cluster004|896b4b|0-294|7766|WAC06738cluster004_3008_0482
61:41,S,37,40@1;37,S,'63',35@1:63_cluster_SspCNQ525.cluster001|b83858|0-274|8407|SspCNQ525_3256_0622,60
