92:21,S,20,17@1:2,91
91:21,S,20,17@1;17,T,17,9@1:7,90
90:17,T,17,9@1;9,S,'02','49'@1:02_cluster_A47934|4dfef9|0-225|127|A47934_55_0124,89
89:9,S,'02','49'@1;'49',T,'62','49'@1:19,88
88:'49',T,'62','49'@1;'49',T,'70','49'@1:70_cluster_TLI55.cluster001|0b0ac6|0-217|9629|TLI55_3672_0135,87
87:'49',T,'70','49'@1;'49',T,'49',49@0.12:49_cluster_WAC1438rc4d|db22ac|0-218|6401|WAC1438rc4d_2509_0134,86
86:'49',T,'49',49@0.12;49,T,58,49@0.062:26,85
85:49,T,58,49@0.062;49,T,'68',49@0.25:68_cluster_HdaliensisNBRC106472.cluster001|db664f|0-210|9219|HdaliensisNBRC106472_3551_0136,84
84:49,T,'68',49@0.25;49,T,'10',49@0.25:30,83
83:49,T,'10',49@0.25;49,S,'71','01'@1:71_cluster_Kistamicin|2540eb|0-220|9770|Kistamicin_3719_0131,82
82:49,S,'71','01'@1;'01',T,'01',84@0.25:48,81
81:'01',T,'01',84@0.25;84,T,'11',84@0.25:11_cluster_AregGY080|c4924a|0-220|1414|AregGY080_627_0114,80
80:84,T,'11',84@0.25;84,T,73,84@0.5:62,79
79:84,T,73,84@0.5;84,S,'04','03'@1:69,78
78:84,S,'04','03'@1;'03',T,76,'03'@1:74,77
77:'03',T,76,'03'@1;'03',T,'03','09'@1:03_cluster_AalbaDSM44262|f0b7bc|0-220|265|AalbaDSM44262_120_0114,09_cluster_AOHO0100074|1b8271|0-220|1126|AOHO0100074_487_0114
74:'03',T,76,'03'@1;76,S,'52','08'@1:52_cluster_WAC4182cluster089|def24a|0-220|6935|WAC4182cluster089_2712_0114,73
73:76,S,'52','08'@1;'08',T,'08','55'@1:08_cluster_AlurRistocetin|b6300a|0-220|964|AlurRistocetin_402_0114,55_cluster_WAC05977|1542f2|0-220|7387|WAC05977_2931_0114
69:84,S,'04','03'@1;'04',T,'04',90@1:04_cluster_AazureaDSM43854|ed4ae8|0-220|412|AazureaDSM43854_189_0114,68
68:'04',T,'04',90@1;90,S,'45',88@1:45_cluster_WAC1376cluster143|5a0c8e|0-220|5822|WAC1376cluster143_2238_0114,67
67:90,S,'45',88@1;88,S,'44','46'@1:44_cluster_WAC1375|85d3ef|0-220|5661|WAC1375_2151_0114,46_cluster_WAC1416cluster068|7ebebd|0-220|5995|WAC1416cluster068_2328_0114
62:84,T,73,84@0.5;73,S,72,67@1:54,61
61:73,S,72,67@1;67,S,'06',65@1:06_cluster_Ajap-Ristocetin|a999d9|0-220|714|Ajap-Ristocetin_315_0114,60
60:67,S,'06',65@1;65,S,'53',63@1:53_cluster_WAC4197cluster073|4e55d3|0-220|7119|WAC4197cluster073_2816_0114,59
59:65,S,'53',63@1;63,S,'25','27'@1:25_cluster_JPLW01000007|680390|0-220|3244|JPLW01000007_1310_0114,27_cluster_KF882511-Ristocetin|680390|0-220|3538|KF882511-Ristocetin_1444_0114
54:73,S,72,67@1;72,S,'07',70@1:07_cluster_AkerFH1893nogabecin|91eef7|0-220|844|AkerFH1893nogabecin_365_0114,53
53:72,S,'07',70@1;70,S,'40','51'@1:40_cluster_Vancomycin|2c4ab9|0-220|5181|Vancomycin_1980_0114,51_cluster_WAC4169cluster051|7d2426|0-220|6761|WAC4169cluster051_2614_0114
48:'01',T,'01',84@0.25;'01',T,96,'01'@0.25:44,47
47:'01',T,96,'01'@0.25;'01',T,'01','28'@1:01_cluster_A40926|e259d9|0-213|6|A40926_6_0114,28_cluster_NcoxDSM45129|fadb5d|0-222|3655|NcoxDSM45129_1481_0114
44:'01',T,96,'01'@0.25;96,T,96,'29'@0.062:38,43
43:96,T,96,'29'@0.062;'29',T,'48','29'@0.25:48_cluster_WAC1424cluster109|2f5be0|0-224|6286|WAC1424cluster109_2462_0114,42
