90:63,S,'13',61@0.54:34,89
89:63,S,'13',61@0.54;61,SL,60,55@0.54;55,S,53,'70'@0.54:53,88
88:55,S,53,'70'@0.54;'70',T,'70',107@0.54:84,87
87:'70',T,'70',107@0.54;107,S,'12','56'@1:12_cluster_ArifDSM43936-4|cadd10|0-427|1631|ArifDSM43936-1_665_0241,56_cluster_WAC06369|cadd10|0-427|7490|WAC06369_2957_0241
84:'70',T,'70',107@0.54;'70',T,89,'70'@0.54:66,83
83:'70',T,89,'70'@0.54;'70',T,'68','70'@0.54:68_cluster_HdaliensisNBRC106472.cluster001|2756f6|0-360|9196|HdaliensisNBRC106472_3528_0411,82
82:'70',T,'68','70'@0.54;'70',T,'70','10'@0.27:70_cluster_TLI55.cluster001|52f027|0-417|9598|TLI55_3641_0266,81
81:'70',T,'70','10'@0.27;'10',T,'10','60'@0.14:10_cluster_ArectNRRLB16090|8badd4|0-376|1227|ArectNRRLB16090_515_0276,80
80:'10',T,'10','60'@0.14;'60',T,'60','39'@0.068:60_cluster_AsubtropicusNRRLB24665|1770ff|0-391|8014|AsubtropicusNRRLB24665_3090_0316,79
79:'60',T,'60','39'@0.068;'39',T,'39',35@0.3:73,78
78:'39',T,'39',35@0.3;35,T,'02',35@0.5:02_cluster_A47934|08ffdd|0-367|132|A47934_60_0386,77
77:35,T,'02',35@0.5;35,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|fc5655|0-356|525|AbalhimycinaFH1894_224_0276,14_cluster_Balhimycin|f785ed|0-247|1786|Balhimycin_701_0276
73:'39',T,'39',35@0.3;'39',T,'39','47'@0.73:39_cluster_UK68597|d66d77|0-414|5028|UK68597_1902_0276,47_cluster_WAC1420|92722b|0-296|6156|WAC1420_2406_0276
66:'70',T,89,'70'@0.54;89,S,'33','58'@0.77:33_cluster_SspCNQ509|9b8757|0-413|4304|SspCNQ509_1671_0258,65
65:89,S,'33','58'@0.77;'58',T,'58','62'@0.39:58_cluster_WAC06738cluster004|e1c77f|0-413|7757|WAC06738cluster004_2999_0258,64
64:'58',T,'58','62'@0.39;'62',T,'62',84@0.5:62_cluster_SspCNQ329.cluster001|21ccd0|0-419|8252|SspCNQ329_3193_0258,63
63:'62',T,'62',84@0.5;84,S,'65',82@0.89:65_cluster_SspCNT371.cluster001|5447b7|0-419|8702|SspCNT371_3361_0258,62
62:84,S,'65',82@0.89;82,T,'63',82@0.89:63_cluster_SspCNQ525.cluster001|6957a5|0-419|8400|SspCNQ525_3249_0258,61
61:82,T,'63',82@0.89;82,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|49ab71|0-419|8551|SspCNQ865_3305_0258,66_cluster_SspCNY243.cluster001|49ab71|0-419|8851|SspCNY243_3415_0258
53:55,S,53,'70'@0.54;53,T,53,92@0.54:39,52
52:53,T,53,92@0.54;92,S,'62',90@1:62_cluster_SspCNQ329.cluster001|6711c2|0-389|8285|SspCNQ329_3226_0342,51
51:92,S,'62',90@1;90,S,89,86@1:43,50
50:90,S,89,86@1;86,S,84,'63'@0.39:65_cluster_SspCNT371.cluster001|9db3b7|0-389|8735|SspCNT371_3394_0342,49
49:86,S,84,'63'@0.39;'63',T,'63',82@0.39:63_cluster_SspCNQ525.cluster001|e1bfd8|0-389|8433|SspCNQ525_3282_0342,48
48:'63',T,'63',82@0.39;82,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|b7fbde|0-389|8584|SspCNQ865_3338_0342,66_cluster_SspCNY243.cluster001|b7fbde|0-389|8884|SspCNY243_3448_0342
65_cluster_SspCNT371.cluster001|9db3b7|0-389|8735|SspCNT371_3394_0342:86,S,84,'63'@0.39;84,SL,82,'65'@0.61
43:90,S,89,86@1;89,S,'33','58'@1:33_cluster_SspCNQ509|907743|0-389|4337|SspCNQ509_1704_0342,58_cluster_WAC06738cluster004|d5d364|0-389|7793|WAC06738cluster004_3035_0342
39:53,T,53,92@0.54;53,SL,'61',51@0.27;51,S,'43','54'@0.65:43_cluster_WAC01325|794e23|0-396|5533|WAC01325_2096_0321,38
38:51,S,'43','54'@0.65;'54',T,'61','54'@0.65:61_cluster_FNTE|3e854d|0-396|8140|FNTE_3154_0321,54_cluster_WAC05379-4|8cf6db|0-369|7319|WAC05379-1_2869_0321
34:63,S,'13',61@0.54;'13',T,98,'13'@0.54:6,33
33:'13',T,98,'13'@0.54;'13',T,'70','13'@0.54:70_cluster_TLI55.cluster001|465ad9|0-440|9614|TLI55_3657_0223,32
32:'13',T,'70','13'@0.54;'13',T,'42','13'@0.54:42_cluster_WAC00631|0d585e|0-446|5387|WAC00631_2033_0209,31
31:'13',T,'42','13'@0.54;'13',T,92,'13'@0.54:21,30
30:'13',T,92,'13'@0.54;'13',T,'13',66@0.54:13_cluster_AspOK074cluster1|ef3dfe|0-453|1679|AspOK074cluster1_684_0201,29
29:'13',T,'13',66@0.54;66,S,'50','35'@0.66:50_cluster_WAC01529|db4e48|0-435|6620|WAC01529_2564_0201,28
28:66,S,'50','35'@0.66;'35',T,'35',69@0.66:35_cluster_SspNRRLS1521-1|68633a|0-431|4591|SspNRRLS1521-1_1755_0201,27
27:'35',T,'35',69@0.66;69,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|2099e0|0-414|4043|SluteocolorNRBC13826_1607_0201,32_cluster_Ssilaceus-1|5b45aa|0-440|4184|Ssilaceus-1_1650_0201
21:'13',T,92,'13'@0.54;92,S,'62',90@1:62_cluster_SspCNQ329.cluster001|3f262c|0-432|8268|SspCNQ329_3209_0231,20
