44:24,S,'03',22@1:03_cluster_AalbaDSM44262|8776c9|0-396|256|AalbaDSM44262_111_0314,43
43:24,S,'03',22@1;22,S,16,21@1:5,42
42:22,S,16,21@1;21,S,19,'04'@1:20,41
41:21,S,19,'04'@1;'04',T,29,'04'@1:25,40
40:'04',T,29,'04'@1;'04',T,'04',35@0.12:04_cluster_AazureaDSM43854|124c54|0-396|403|AazureaDSM43854_180_0314,39
39:'04',T,'04',35@0.12;35,T,'11',35@0.12:11_cluster_AregGY080|01beae|0-396|1405|AregGY080_618_0314,38
38:35,T,'11',35@0.12;35,T,35,'29'@0.12:34,37
37:35,T,35,'29'@0.12;'29',T,'29','47'@0.5:29_cluster_pekiskomycin|c3f3c0|0-399|3790|pekiskomycin_1544_0314,47_cluster_WAC1420|b32459|0-399|6183|WAC1420_2433_0314
34:35,T,35,'29'@0.12;35,T,35,39@0.5:30,33
33:35,T,35,39@0.5;39,S,'18','26'@1:18_cluster_Chloroeremomycin-2|170e4e|0-397|2441|Chloroeremomycin-1_979_0314,26_cluster_KaridNRRLB16535chlor|170e4e|0-397|3386|KaridNRRLB16535chlor_1372_0314
30:35,T,35,39@0.5;35,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|073f76|0-396|548|AbalhimycinaFH1894_247_0314,14_cluster_Balhimycin|073f76|0-396|1810|Balhimycin_725_0314
25:'04',T,29,'04'@1;29,S,'45',27@1:45_cluster_WAC1376cluster143|3b5abf|0-396|5827|WAC1376cluster143_2243_0314,24
24:29,S,'45',27@1;27,S,'44','46'@1:44_cluster_WAC1375|d0f87a|0-396|5656|WAC1375_2146_0314,46_cluster_WAC1416cluster068|d0f87a|0-396|5990|WAC1416cluster068_2323_0314
20:21,S,19,'04'@1;19,T,12,19@1:14,19
19:19,T,12,19@1;19,S,'52','08'@1:52_cluster_WAC4182cluster089|e989ef|0-396|6945|WAC4182cluster089_2722_0314,18
18:19,S,'52','08'@1;'08',T,'08','55'@1:08_cluster_AlurRistocetin|c49416|0-396|973|AlurRistocetin_411_0314,55_cluster_WAC05977|b5eda0|0-396|7378|WAC05977_2922_0314
14:19,T,12,19@1;12,S,11,6@1:07_cluster_AkerFH1893nogabecin|117cf3|0-396|835|AkerFH1893nogabecin_356_0314,13
13:12,S,11,6@1;6,S,'06',4@1:06_cluster_Ajap-Ristocetin|863214|0-396|705|Ajap-Ristocetin_306_0314,12
12:6,S,'06',4@1;4,S,'53',2@1:53_cluster_WAC4197cluster073|1d82e8|0-396|7110|WAC4197cluster073_2807_0314,11
11:4,S,'53',2@1;2,S,'25','27'@1:25_cluster_JPLW01000007|1bb3fb|0-396|3235|JPLW01000007_1301_0314,27_cluster_KF882511-Ristocetin|1bb3fb|0-396|3529|KF882511-Ristocetin_1435_0314
07_cluster_AkerFH1893nogabecin|117cf3|0-396|835|AkerFH1893nogabecin_356_0314:12,S,11,6@1;11,SL,9,'07'@1
5:22,S,16,21@1;16,SL,14,'09'@1;'09',T,'09',9@1:09_cluster_AOHO0100074|65dc7a|0-396|1117|AOHO0100074_478_0314,4
4:'09',T,'09',9@1;9,S,'40','51'@1:40_cluster_Vancomycin|a09abc|0-396|5172|Vancomycin_1971_0314,51_cluster_WAC4169cluster051|e5ce40|0-396|6770|WAC4169cluster051_2623_0314
