418:30,S,'42',28@1:20,417
417:30,S,'42',28@1;28,S,27,24@1:27,416
416:28,S,27,24@1;24,S,'47',22@1:250,415
415:24,S,'47',22@1;22,T,'42',22@0.33:253,414
414:22,T,'42',22@0.33;22,T,22,27@0.18:390,413
413:22,T,22,27@0.18;27,T,4,27@0.11:405,412
412:27,T,4,27@0.11;27,D,27,27@0.26:408,411
411:27,D,27,27@0.26;27,S,'57','59'@1:57_cluster_WAC06725|451761|1038-1345|7714|57_cluster_WAC06725-2978-Item19-E_0,59_cluster_WAC06783|42685d|1038-1345|7962|59_cluster_WAC06783-3059-Item19-E_0
408:27,D,27,27@0.26;27,S,'57','59'@1:57_cluster_WAC06725|20c8cf|1030-1336|7701|57_cluster_WAC06725-2977-Item13-E_0,59_cluster_WAC06783|108337|1060-1366|7949|59_cluster_WAC06783-3058-Item13-E_0
405:27,T,4,27@0.11;4,D,4,4@0.15:399,404
404:4,D,4,4@0.15;4,S,'61',2@1:61_cluster_FNTE|83000e|2539-2846|8196|61_cluster_FNTE-3137-Item21-E_0,403
403:4,S,'61',2@1;2,S,'43','54'@1:43_cluster_WAC01325|b6db0d|2537-2846|5571|43_cluster_WAC01325-2080-Item21-E_0,54_cluster_WAC05379-3|ba39af|2543-2852|7276|54_cluster_WAC05379-1-2851-Item10-E_0
399:4,D,4,4@0.15;4,S,'61',2@0.19:393,398
398:4,S,'61',2@0.19;2,T,'61',2@0.094:61_cluster_FNTE|83000e|1040-1347|8188|61_cluster_FNTE-3137-Item17-E_0,397
397:2,T,'61',2@0.094;2,S,'43','54'@1:43_cluster_WAC01325|b6db0d|1040-1345|5563|43_cluster_WAC01325-2080-Item17-E_0,54_cluster_WAC05379-3|ba39af|1047-1352|7268|54_cluster_WAC05379-1-2851-Item6-E_0
393:4,S,'61',2@0.19;'61',T,'43','61'@0.18:43_cluster_WAC01325|e1a992|1029-1331|5623|43_cluster_WAC01325-2079-Item11-E_0,61_cluster_FNTE|890b38|1029-1332|8175|61_cluster_FNTE-3136-Item11-E_0
390:22,T,22,27@0.18;22,T,'42',22@0.17:258,389
389:22,T,'42',22@0.17;22,T,22,43@0.23:305,388
388:22,T,22,43@0.23;43,S,41,'62'@0.018:318,387
387:43,S,41,'62'@0.018;'62',T,'62',41@0.0091:331,386
386:'62',T,'62',41@0.0091;41,S,37,40@0.25:358,385
385:41,S,37,40@0.25;40,D,40,40@0.0093:371,384
384:40,D,40,40@0.0093;40,T,'62',40@0.077:62_cluster_SspCNQ329.cluster001|f73c1e|1043-1357|8306|62_cluster_SspCNQ329.cluster001-3216-Item25-E_0,383
383:40,T,'62',40@0.077;40,T,35,40@0.13:379,382
382:40,T,35,40@0.13;40,S,'33','58'@1:33_cluster_SspCNQ509|436ed9|1044-1355|4410|33_cluster_SspCNQ509-1694-Item27-E_0,58_cluster_WAC06738cluster004|d9a549|1044-1355|7871|58_cluster_WAC06738cluster004-3023-Item24-E_0
379:40,T,35,40@0.13;35,S,'65',33@0.69:65_cluster_SspCNT371.cluster001|f326c5|1044-1360|8798|65_cluster_SspCNT371.cluster001-3384-Item27-E_0,378
378:35,S,'65',33@0.69;33,T,'63',33@0.34:63_cluster_SspCNQ525.cluster001|4ed3e5|1044-1360|8497|63_cluster_SspCNQ525.cluster001-3272-Item27-E_0,377
377:33,T,'63',33@0.34;33,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|180773|1043-1359|8606|64_cluster_SspCNQ865.cluster001-3328-Item27-E_0,66_cluster_SspCNY243.cluster001|731b10|1043-1364|8957|66_cluster_SspCNY243.cluster001-3438-Item27-E_0
371:40,D,40,40@0.0093;40,T,35,40@0.092:365,370
370:40,T,35,40@0.092;40,T,'62',40@0.28:62_cluster_SspCNQ329.cluster001|200519|1052-1358|8378|62_cluster_SspCNQ329.cluster001-3214-Item16-E_0,369
369:40,T,'62',40@0.28;40,S,'33','58'@1:33_cluster_SspCNQ509|646e66|1051-1357|4388|33_cluster_SspCNQ509-1692-Item17-E_0,58_cluster_WAC06738cluster004|9587f7|1037-1343|7849|58_cluster_WAC06738cluster004-3021-Item14-E_0
365:40,T,35,40@0.092;35,S,'65',33@0.84:65_cluster_SspCNT371.cluster001|19b0b6|1051-1357|8776|65_cluster_SspCNT371.cluster001-3382-Item17-E_0,364
364:35,S,'65',33@0.84;33,T,'63',33@0.42:63_cluster_SspCNQ525.cluster001|a42d5d|1051-1357|8475|63_cluster_SspCNQ525.cluster001-3270-Item17-E_0,363
363:33,T,'63',33@0.42;33,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|e38985|1051-1357|8679|64_cluster_SspCNQ865.cluster001-3326-Item17-E_0,66_cluster_SspCNY243.cluster001|ca1de8|1065-1371|8935|66_cluster_SspCNY243.cluster001-3436-Item17-E_0
358:41,S,37,40@0.25;37,S,35,'63'@0.19:338,357
357:37,S,35,'63'@0.19;'63',T,'63',40@0.029:345,356
356:'63',T,'63',40@0.029;40,T,40,'62'@0.13:352,355
355:40,T,40,'62'@0.13;'62',D,'62','62'@0.25:62_cluster_SspCNQ329.cluster001|f73c1e|2579-2887|8314|62_cluster_SspCNQ329.cluster001-3216-Item29-E_0,62_cluster_SspCNQ329.cluster001|d9cd3f|1041-1347|8387|62_cluster_SspCNQ329.cluster001-3215-Item20-E_0
352:40,T,40,'62'@0.13;40,D,40,40@0.26:348,351
351:40,D,40,40@0.26;40,S,'58','33'@1:58_cluster_WAC06738cluster004|bcc467|1035-1342|7858|58_cluster_WAC06738cluster004-3022-Item18-E_0,33_cluster_SspCNQ509|68d264|1041-1348|4397|33_cluster_SspCNQ509-1693-Item21-E_0
