20:104,S,102,'68'@0.8:4,19
19:104,S,102,'68'@0.8;'68',T,'10','68'@0.12:7,18
18:'68',T,'10','68'@0.12;'68',TTD,-1,'68'@0.37:02_cluster_A47934|3641a9|0-528|147|A47934_75_0123,17
17:'68',TTD,-1,'68'@0.37;'68',T,'67','68'@0.37:67_cluster_STLI053.cluster001|af01a5|0-522|9021|STLI053_3490_0124,16
16:'68',T,'67','68'@0.37;'68',T,'69','68'@0.37:69_cluster_MchersinaDSM44151|f9c9c8|0-529|9413|MchersinaDSM44151_3593_0124,15
15:'68',T,'69','68'@0.37;'68',TTD,'68',-1@0.51:68_cluster_HdaliensisNBRC106472.cluster001|ad47ea|0-530|9206|HdaliensisNBRC106472_3538_0124,14
14:'68',TTD,'68',-1@0.51;-1,TFD,'39',-1@0.079:39_cluster_UK68597|9b8e88|0-527|5060|UK68597_1934_0124,10_cluster_ArectNRRLB16090|abd733|0-461|1259|ArectNRRLB16090_547_0190
10_cluster_ArectNRRLB16090|abd733|0-461|1259|ArectNRRLB16090_547_0190:-1,TFD,'39',-1@0.079;-1,TLFD,-1,'10'@0.32
02_cluster_A47934|3641a9|0-528|147|A47934_75_0123:'68',TTD,-1,'68'@0.37;-1,TLFD,-1,'02'@0.55
7:'68',T,'10','68'@0.12;'10',T,'10','39'@0.13:10_cluster_ArectNRRLB16090|8e5d33|0-530|1254|ArectNRRLB16090_542_0123,39_cluster_UK68597|87a8df|0-530|5057|UK68597_1931_0123
4:104,S,102,'68'@0.8;102,S,'48',100@1:48_cluster_WAC1424cluster109|ec6e6f|0-513|6294|WAC1424cluster109_2470_0123,3
3:102,S,'48',100@1;100,S,98,'28'@1:01_cluster_A40926|572d1f|0-531|11|A40926_11_0123,28_cluster_NcoxDSM45129|c81651|0-529|3658|NcoxDSM45129_1484_0123
01_cluster_A40926|572d1f|0-531|11|A40926_11_0123:100,S,98,'28'@1;98,SL,'71','01'@1
