118:43,S,'62',41@1:62_cluster_SspCNQ329.cluster001|7c2c30|1947-2173|8339|62_cluster_SspCNQ329.cluster001-3217-Item41-TE_0,117
117:43,S,'62',41@1;41,S,37,40@1:7,116
116:41,S,37,40@1;40,T,40,17@0.12:10,115
115:40,T,40,17@0.12;17,T,58,17@0.12:13,114
114:17,T,58,17@0.12;17,T,'70',17@0.25:70_cluster_TLI55.cluster001|412004|9188-9430|9735|70_cluster_TLI55.cluster001-3659-Item37-TE_0,113
113:17,T,'70',17@0.25;17,T,17,49@0.15:23,112
112:17,T,17,49@0.15;49,S,'01','71'@0.035:42,111
111:49,S,'01','71'@0.035;'71',T,'42','71'@0.017:49,110
110:'71',T,'42','71'@0.017;'71',T,'71',73@0.0087:71_cluster_Kistamicin|c2bb94|1539-1754|9822|71_cluster_Kistamicin-3713-Item26-TE_0,109
109:'71',T,'71',73@0.0087;73,T,'01',73@0.0022:55,108
108:73,T,'01',73@0.0022;73,T,'02',73@0.23:58,107
107:73,T,'02',73@0.23;73,S,72,67@1:83,106
106:73,S,72,67@1;67,T,'29',67@0.5:86,105
105:67,T,'29',67@0.5;67,T,90,67@1:91,104
104:67,T,90,67@1;67,T,67,76@1:96,103
103:67,T,67,76@1;76,S,'52','08'@1:52_cluster_WAC4182cluster089|e7dbb3|1616-1843|7028|52_cluster_WAC4182cluster089-2740-Item6-TE_0,102
102:76,S,'52','08'@1;'08',T,'53','08'@1:53_cluster_WAC4197cluster073|45ffd8|1616-1843|7208|53_cluster_WAC4197cluster073-2790-Item27-TE_0,101
101:'08',T,'53','08'@1;'08',T,'08','55'@1:08_cluster_AlurRistocetin|0f4616|1645-1872|1033|08_cluster_AlurRistocetin-428-Item6-TE_0,55_cluster_WAC05977|27f9dd|1616-1843|7459|55_cluster_WAC05977-2905-Item27-TE_0
96:67,T,67,76@1;67,S,'06',65@1:06_cluster_Ajap-Ristocetin|41a04d|1616-1843|729|06_cluster_Ajap-Ristocetin-288-Item28-TE_0,95
95:67,S,'06',65@1;65,SL,'53',63@1;63,S,'25','27'@1:25_cluster_JPLW01000007|e66a00|1616-1843|3329|25_cluster_JPLW01000007-1284-Item28-TE_0,27_cluster_KF882511-Ristocetin|e66a00|1616-1843|3633|27_cluster_KF882511-Ristocetin-1417-Item28-TE_0
91:67,T,90,67@1;90,S,'45',88@1:45_cluster_WAC1376cluster143|2f68bd|1590-1817|5882|45_cluster_WAC1376cluster143-2259-Item6-TE_0,90
