868:109,S,108,95@1:142,867
867:109,S,108,95@1;95,TTD,95,-1@0.67:859,866
866:95,TTD,95,-1@0.67;-1,TFD,107,-1@0.11:862,865
865:-1,TFD,107,-1@0.11;-1,TLFD,-1,107@0.44;107,S,'12','56'@1:12_cluster_ArifDSM43936-4|04fca8|430-636|1642|12_cluster_ArifDSM43936-1-661-Item2-Cond-Item3-A_nrp_Fill_0,56_cluster_WAC06369|6e6f2f|5479-5685|7625|56_cluster_WAC06369-2953-Item56-Cond-Item57-A_nrp_Fill_0
862:-1,TFD,107,-1@0.11;107,S,'12','56'@1:12_cluster_ArifDSM43936-2|6da040|1059-1248|1545|12_cluster_ArifDSM43936-1-657-Item3-Cond-Item4-A_thr_Fill_0,56_cluster_WAC06369|394215|1329-1518|7578|56_cluster_WAC06369-2952-Item33-Cond-Item34-A_thr_Fill_0
859:95,TTD,95,-1@0.67;95,TTD,-1,95@0.65:165,858
858:95,TTD,-1,95@0.65;95,S,93,'67'@0.65:790,857
857:95,S,93,'67'@0.65;'67',T,'68','67'@0.34:68_cluster_HdaliensisNBRC106472.cluster001|77aaf4|2377-2557|9258|68_cluster_HdaliensisNBRC106472.cluster001-3532-Item7-Cond-Item8-A_asp_Fill_0,856
856:'67',T,'68','67'@0.34;'67',TTD,-1,'67'@0.48:804,855
855:'67',TTD,-1,'67'@0.48;'67',TTD,'67',-1@0.41:829,854
854:'67',TTD,'67',-1@0.41;-1,TFD,-1,'67'@0.045:850,853
853:-1,TFD,-1,'67'@0.045;'67',T,'67','69'@0.25:67_cluster_STLI053.cluster001|4e2fef|2510-2689|9088|67_cluster_STLI053.cluster001-3497-Item19-Cond-Item20-A_no_call_Fill_0,69_cluster_MchersinaDSM44151|60540f|1419-1599|9470|69_cluster_MchersinaDSM44151-3596-Item12-Cond-Item13-A_nrp_Fill_0
850:-1,TFD,-1,'67'@0.045;-1,TFD,'49',-1@0.096:832,849
849:-1,TFD,'49',-1@0.096;-1,TFD,'49',-1@0.14:49_cluster_WAC1438rc4d|f4aa9d|4603-4784|6568|49_cluster_WAC1438rc4d-2522-Item64-Cond-Item65-A_phe_Fill_0,848
848:-1,TFD,'49',-1@0.14;-1,TFD,'49',-1@0.11:836,847
847:-1,TFD,'49',-1@0.11;-1,TFD,'49',-1@0.14:49_cluster_WAC1438rc4d|da5867|4580-4762|6498|49_cluster_WAC1438rc4d-2520-Item16-Cond-Item17-A_nrp_Fill_0,846
846:-1,TFD,'49',-1@0.14;-1,TFD,'49',-1@0.095:842,845
845:-1,TFD,'49',-1@0.095;-1,TFD,'49',-1@0.088:49_cluster_WAC1438rc4d|d6be1d|2464-2645|6455|49_cluster_WAC1438rc4d-2521-Item43-Cond-Item44-A_nrp_Fill_0,49_cluster_WAC1438rc4d|d6be1d|4592-4786|6467|49_cluster_WAC1438rc4d-2521-Item49-Cond-Item50-A_ser_Fill_0
49_cluster_WAC1438rc4d|d6be1d|4592-4786|6467|49_cluster_WAC1438rc4d-2521-Item49-Cond-Item50-A_ser_Fill_0:-1,TFD,'49',-1@0.088;-1,TLFD,-1,'49'@0.42
842:-1,TFD,'49',-1@0.095;'49',D,'49','49'@0.17:49_cluster_WAC1438rc4d|f4aa9d|6743-6936|6580|49_cluster_WAC1438rc4d-2522-Item70-Cond-Item71-A_ser_Fill_0,841
841:'49',D,'49','49'@0.17;'49',D,'49','49'@0.23:49_cluster_WAC1438rc4d|da5867|11020-11202|6534|49_cluster_WAC1438rc4d-2520-Item34-Cond-Item35-A_ser_Fill_0,49_cluster_WAC1438rc4d|f4aa9d|1404-1601|6550|49_cluster_WAC1438rc4d-2522-Item55-Cond-Item56-A_ser_Fill_0
836:-1,TFD,'49',-1@0.11;'49',D,'49','49'@0.25:49_cluster_WAC1438rc4d|da5867|9952-10133|6528|49_cluster_WAC1438rc4d-2520-Item31-Cond-Item32-A_hpg_Fill_0,49_cluster_WAC1438rc4d|d6be1d|1382-1566|6449|49_cluster_WAC1438rc4d-2521-Item40-Cond-Item41-A_nrp_Fill_0
832:-1,TFD,'49',-1@0.096;'49',D,'49','49'@0.25:49_cluster_WAC1438rc4d|da5867|2449-2630|6486|49_cluster_WAC1438rc4d-2520-Item10-Cond-Item11-A_nrp_Fill_0,49_cluster_WAC1438rc4d|da5867|3514-3698|6492|49_cluster_WAC1438rc4d-2520-Item13-Cond-Item14-A_asp_Fill_0
829:'67',TTD,'67',-1@0.41;'67',D,'67','67'@0.085:815,828
828:'67',D,'67','67'@0.085;'67',TTD,'67',-1@0.4:67_cluster_STLI053.cluster001|4e2fef|1415-1605|9082|67_cluster_STLI053.cluster001-3497-Item16-Cond-Item17-A_glu_Fill_0,827
827:'67',TTD,'67',-1@0.4;-1,TFD,-1,'69'@0.094:823,826
826:-1,TFD,-1,'69'@0.094;'69',D,'69','69'@0.25:69_cluster_MchersinaDSM44151|89c115|3515-3692|9523|69_cluster_MchersinaDSM44151-3597-Item38-Cond-Item39-A_nrp_Fill_0,69_cluster_MchersinaDSM44151|60540f|2491-2668|9476|69_cluster_MchersinaDSM44151-3596-Item15-Cond-Item16-A_thr_Fill_0
823:-1,TFD,-1,'69'@0.094;-1,TFD,'67',-1@0.041:819,822
822:-1,TFD,'67',-1@0.041;-1,TFD,'67',-1@0.067:67_cluster_STLI053.cluster001|3a97f0|1376-1556|9069|67_cluster_STLI053.cluster001-3496-Item10-Cond-Item11-A_asp_Fill_0,69_cluster_MchersinaDSM44151|4931ca|1371-1549|9457|69_cluster_MchersinaDSM44151-3595-Item6-Cond-Item7-A_asn_Fill_0
69_cluster_MchersinaDSM44151|4931ca|1371-1549|9457|69_cluster_MchersinaDSM44151-3595-Item6-Cond-Item7-A_asn_Fill_0:-1,TFD,'67',-1@0.067;-1,TLFD,-1,'69'@0.34
819:-1,TFD,'67',-1@0.041;'67',T,'69','67'@0.2:69_cluster_MchersinaDSM44151|89c115|5631-5810|9535|69_cluster_MchersinaDSM44151-3597-Item44-Cond-Item45-A_val_Fill_0,67_cluster_STLI053.cluster001|e171e6|5639-5825|9147|67_cluster_STLI053.cluster001-3498-Item48-Cond-Item49-A_val_Fill_0
815:'67',D,'67','67'@0.085;'67',T,'69','67'@0.065:811,814
814:'67',T,'69','67'@0.065;'67',D,'67','67'@0.26:67_cluster_STLI053.cluster001|e171e6|3515-3692|9135|67_cluster_STLI053.cluster001-3498-Item42-Cond-Item43-A_no_call_Fill_0,67_cluster_STLI053.cluster001|e171e6|7774-7963|9159|67_cluster_STLI053.cluster001-3498-Item54-Cond-Item55-A_leu_Fill_0
811:'67',T,'69','67'@0.065;'69',T,'69','67'@0.12:807,810
810:'69',T,'69','67'@0.12;'67',D,'67','67'@0.26:67_cluster_STLI053.cluster001|4e2fef|3584-3764|9094|67_cluster_STLI053.cluster001-3497-Item22-Cond-Item23-A_no_call_Fill_0,67_cluster_STLI053.cluster001|e171e6|1392-1572|9123|67_cluster_STLI053.cluster001-3498-Item36-Cond-Item37-A_hpg_Fill_0
807:'69',T,'69','67'@0.12;'69',D,'69','69'@0.26:69_cluster_MchersinaDSM44151|89c115|1391-1568|9511|69_cluster_MchersinaDSM44151-3597-Item32-Cond-Item33-A_hpg_Fill_0,69_cluster_MchersinaDSM44151|60540f|3567-3748|9482|69_cluster_MchersinaDSM44151-3596-Item18-Cond-Item19-A_hpg_Fill_0
804:'67',TTD,-1,'67'@0.48;-1,TFD,'69',-1@0.13:69_cluster_MchersinaDSM44151|89c115|7764-7950|9547|69_cluster_MchersinaDSM44151-3597-Item50-Cond-Item51-A_hpg_Fill_0,803
803:-1,TFD,'69',-1@0.13;-1,TFD,'68',-1@0.14:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|4450-4622|9292|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item22-Cond-Item23-A_no_call_Fill_0,802
802:-1,TFD,'68',-1@0.14;-1,TFD,'68',-1@0.094:798,801
801:-1,TFD,'68',-1@0.094;-1,TFD,'68',-1@0.088:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|3413-3592|9286|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item19-Cond-Item20-A_no_call_Fill_0,68_cluster_HdaliensisNBRC106472.cluster001|4de7cc|3412-3594|9353|68_cluster_HdaliensisNBRC106472.cluster001-3548-Item52-Cond-Item53-A_tyr_Fill_0
68_cluster_HdaliensisNBRC106472.cluster001|4de7cc|3412-3594|9353|68_cluster_HdaliensisNBRC106472.cluster001-3548-Item52-Cond-Item53-A_tyr_Fill_0:-1,TFD,'68',-1@0.088;-1,TLFD,-1,'68'@0.42
798:-1,TFD,'68',-1@0.094;'68',D,'68','68'@0.17:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|6518-6691|9304|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item28-Cond-Item29-A_no_call_Fill_0,797
797:'68',D,'68','68'@0.17;'68',D,'68','68'@0.23:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|10615-10803|9328|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item40-Cond-Item41-A_asp_Fill_0,68_cluster_HdaliensisNBRC106472.cluster001|4de7cc|5448-5631|9365|68_cluster_HdaliensisNBRC106472.cluster001-3548-Item58-Cond-Item59-A_asp_Fill_0
790:95,S,93,'67'@0.65;93,TTD,93,-1@1:750,789
789:93,TTD,93,-1@1;-1,TFD,70,-1@0.1:773,788
788:-1,TFD,70,-1@0.1;-1,TFD,'70',-1@0.075:70_cluster_TLI55.cluster001|1dcea7|1978-2155|9671|70_cluster_TLI55.cluster001-3658-Item5-Cond-Item6-A_no_call_Fill_0,787
787:-1,TFD,'70',-1@0.075;-1,TLFD,-1,92@0.34;92,S,'62',90@1:62_cluster_SspCNQ329.cluster001|288edd|1086-1261|8356|62_cluster_SspCNQ329.cluster001-3213-Item5-Cond-Item6-A_no_call_Fill_0,786
786:92,S,'62',90@1;90,S,89,86@1:778,785
785:90,S,89,86@1;86,SL,'63',84@0.4;84,S,82,'65'@0.4:781,784
784:84,S,82,'65'@0.4;'65',T,'63','65'@0.2:63_cluster_SspCNQ525.cluster001|47a90b|1085-1261|8451|63_cluster_SspCNQ525.cluster001-3269-Item5-Cond-Item6-A_no_call_Fill_0,65_cluster_SspCNT371.cluster001|e00a01|1085-1261|8752|65_cluster_SspCNT371.cluster001-3381-Item5-Cond-Item6-A_no_call_Fill_0
781:84,S,82,'65'@0.4;82,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|1efe89|1085-1261|8655|64_cluster_SspCNQ865.cluster001-3325-Item5-Cond-Item6-A_no_call_Fill_0,66_cluster_SspCNY243.cluster001|26108b|1031-1207|8911|66_cluster_SspCNY243.cluster001-3435-Item5-Cond-Item6-A_no_call_Fill_0
778:90,S,89,86@1;89,S,'33','58'@1:33_cluster_SspCNQ509|c57782|941-1117|4364|33_cluster_SspCNQ509-1691-Item5-Cond-Item6-A_nrp_Fill_0,58_cluster_WAC06738cluster004|1bd006|950-1125|7828|58_cluster_WAC06738cluster004-3020-Item3-Cond-Item4-A_nrp_Fill_0
773:-1,TFD,70,-1@0.1;70,TTD,-1,70@0.51:763,772
772:70,TTD,-1,70@0.51;70,S,69,66@1:766,771
771:70,S,69,66@1;66,T,'13',66@0.5:13_cluster_AspOK074cluster1|2f3ccd|1845-2032|1753|13_cluster_AspOK074cluster1-691-Item35-Cond-Item36-A_nrp_Fill_0,770
770:66,T,'13',66@0.5;66,S,'35','50'@1:35_cluster_SspNRRLS1521-3|4d8679|1837-2025|4652|35_cluster_SspNRRLS1521-1-1760-Item15-Cond-Item16-A_nrp_Fill_0,50_cluster_WAC01529|b2e10b|1846-2034|6718|50_cluster_WAC01529-2568-Item36-Cond-Item37-A_nrp_Fill_0
766:70,S,69,66@1;69,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|26e45e|1838-2024|4150|31_cluster_SluteocolorNRBC13826-1611-Item40-Cond-Item41-A_nrp_Fill_0,32_cluster_Ssilaceus-3|0da9d1|1838-2024|4277|32_cluster_Ssilaceus-1-1656-Item9-Cond-Item10-A_nrp_Fill_0
763:70,TTD,-1,70@0.51;-1,TFD,-1,89@0.081:757,762
